window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,2.73,-0.0003,1.0,inf,0.0003,2,3.36,10003.05
2,21,-1.271,-0.0009,0.5,0.444,-0.0005,2,-4.68,9998.03
3,21,0.98,-0.0003,1.0,inf,0.0001,1,1.0,9998.93
4,21,3.061,-0.0003,1.0,inf,0.0004,1,4.17,10002.99
5,21,7.872,-0.0002,1.0,inf,0.0008,1,7.82,10010.63
6,21,3.241,-0.0005,0.5,36.826,0.0005,2,4.99,10015.3
7,21,4.152,-0.0001,1.0,inf,0.0004,2,4.11,10019.18
8,21,-2.711,-0.0006,0.25,0.456,-0.0004,4,-3.2,10015.63
9,21,-2.655,-0.0013,0.4,0.528,-0.0009,10,-8.53,10006.68
10,21,3.225,-0.0001,0.8,4.744,0.0003,5,3.42,10009.97
11,21,-0.138,-0.0003,0.5,0.918,-0.0,2,-0.06,10009.8
12,21,5.021,-0.0002,1.0,inf,0.0007,3,7.16,10016.59
13,21,2.366,-0.0004,0.8,2.143,0.0004,5,4.03,10020.17
14,21,7.328,-0.0007,1.0,inf,0.0017,2,16.93,10036.81
15,21,-3.569,-0.0012,0.3333,0.032,-0.0008,3,-7.61,10028.96
16,21,0.031,-0.0006,0.3333,1.056,0.0,3,0.34,10028.92
17,21,5.489,-0.0005,0.75,26.643,0.0019,4,18.83,10047.38
18,21,4.07,-0.0005,1.0,inf,0.0008,1,7.63,10054.8
19,21,1.278,-0.0009,1.0,inf,0.0006,1,6.33,10060.83
20,21,-0.566,-0.0014,0.3333,0.875,-0.0002,3,-1.44,10058.82
21,21,1.157,-0.0006,0.6667,1.613,0.0002,6,2.8,10061.07
22,21,4.165,-0.0003,1.0,inf,0.0006,4,5.94,10066.51
23,21,-0.906,-0.0013,0.5,0.624,-0.0003,2,-2.77,10063.33
24,21,6.943,-0.0003,0.5,inf,0.002,2,20.0,10082.82
25,21,3.83,-0.0003,1.0,inf,0.0005,2,5.58,10087.95
26,21,2.849,-0.0004,1.0,inf,0.0004,1,4.2,10091.95
27,21,-2.938,-0.0011,0.5,0.337,-0.0007,2,-6.49,10084.95
28,21,4.242,-0.0003,1.0,inf,0.0007,2,6.85,10091.51
29,21,4.129,-0.0004,1.0,inf,0.0006,1,5.67,10097.03
30,21,3.129,-0.0002,0.5,4.234,0.0005,4,5.31,10102.02
31,21,-9.698,-0.0025,0.0,0.0,-0.0025,4,-24.99,10076.38
32,21,-2.005,-0.0011,0.2,0.598,-0.0005,5,-4.21,10071.77
33,21,1.765,-0.0009,0.6667,1.531,0.0005,6,5.84,10076.96
34,21,-6.548,-0.0019,0.2,0.025,-0.0018,5,-17.71,10058.61
35,21,0.389,-0.0006,0.5,1.165,0.0001,4,0.9,10059.25
36,21,-0.284,-0.001,0.5,0.942,-0.0001,4,-0.44,10058.56
37,21,1.956,-0.0006,0.5,1.643,0.0003,4,3.69,10061.93
38,21,-4.936,-0.0013,0.0,0.0,-0.0012,5,-11.8,10049.7
39,21,-4.752,-0.0009,0.3333,0.178,-0.0008,6,-7.75,10041.5
40,21,2.658,-0.0003,0.5,3.252,0.0003,6,3.62,10044.76
41,21,-4.301,-0.0003,0.25,0.136,-0.0002,4,-2.2,10042.45
42,21,2.004,-0.0002,0.5,2.561,0.0002,2,1.88,10044.22
43,21,3.861,-0.0001,0.75,6.581,0.0002,4,1.72,10045.81
44,21,1.692,-0.0002,0.6667,inf,0.0001,3,1.52,10047.18
45,21,2.84,-0.0002,0.4,2.034,0.0002,5,2.41,10049.36
46,21,3.36,-0.0002,0.5,3.711,0.0005,2,4.91,10054.05
47,21,6.82,-0.0002,0.6667,inf,0.001,3,9.67,10063.48
48,21,-6.252,-0.0003,0.1667,0.035,-0.0003,6,-2.3,10060.91
49,21,1.556,-0.0003,1.0,inf,0.0002,2,2.0,10062.73
50,21,0.81,-0.0004,0.5,1.505,0.0001,2,1.33,10063.86
51,21,-6.27,-0.0006,0.25,0.004,-0.0005,4,-5.09,10058.48
52,21,-2.336,-0.0006,0.0,0.0,-0.0003,2,-3.02,10055.27
53,21,8.591,-0.0,0.6,46.148,0.0003,5,3.42,10058.49
54,21,9.536,-0.0001,1.0,inf,0.0008,2,7.89,10066.17
55,21,3.78,-0.0002,0.3333,4.651,0.0005,3,5.24,10071.04
56,21,1.552,-0.0004,0.6,5.907,0.0002,5,2.83,10073.33
57,21,4.972,-0.0001,1.0,inf,0.0002,4,2.11,10075.27
58,21,-4.237,-0.0007,0.0,0.0,-0.0005,3,-4.93,10070.11
59,21,1.945,-0.0001,0.4,2.087,0.0001,5,1.28,10070.98
60,21,3.388,-0.0001,0.75,7.329,0.0002,4,2.32,10072.77
61,21,0.927,-0.0003,0.8,1.643,0.0001,5,1.09,10073.58
62,21,-0.459,-0.0003,0.4,0.927,-0.0001,5,-0.26,10072.97
63,21,1.591,-0.0002,0.25,3.652,0.0001,4,1.57,10074.33
64,21,-0.929,-0.0002,0.25,0.604,-0.0001,4,-0.17,10073.78
65,21,2.812,-0.0006,0.6667,2.028,0.0006,3,6.25,10079.51
66,21,1.182,-0.0003,0.5,4.041,0.0002,2,1.63,10080.9
67,21,2.841,-0.0004,0.5,8.085,0.0004,2,4.14,10084.89
68,21,-3.792,-0.0009,0.25,0.229,-0.0007,4,-6.67,10077.79
69,21,-1.452,-0.0007,0.5,0.225,-0.0004,2,-3.5,10074.03
70,21,3.074,-0.0001,0.8,4.932,0.0004,5,3.72,10077.64
71,21,0.58,-0.0001,0.5,1.468,0.0,2,0.59,10078.1
72,21,5.797,-0.0002,1.0,inf,0.0006,2,6.11,10083.94
73,21,1.938,-0.0004,1.0,inf,0.0003,2,3.13,10086.72
74,21,0.517,-0.0004,1.0,inf,0.0001,1,0.72,10087.29
75,21,9.75,-0.0003,1.0,inf,0.0012,1,11.63,10098.7
76,21,2.207,-0.0009,1.0,inf,0.0008,1,8.23,10106.69
77,21,0.544,-0.0008,0.5,1.269,0.0001,2,1.18,10107.63
78,21,-0.026,-0.0005,0.6667,1.057,-0.0,3,0.24,10107.45
79,21,-1.004,-0.0005,0.0,0.0,-0.0002,1,-1.71,10105.58
80,21,1.529,-0.0003,1.0,inf,0.0002,1,2.47,10107.93
