window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,0.896,-0.0002,0.25,2.109,0.0001,4,1.28,10001.07
2,21,-5.324,-0.0002,0.25,0.035,-0.0002,4,-1.78,9999.01
3,21,2.457,-0.0004,1.0,inf,0.0005,1,4.95,10003.78
4,21,10.792,-0.0001,1.0,inf,0.001,1,9.95,10013.53
5,21,-5.668,-0.0019,0.0,0.0,-0.0019,4,-18.39,9994.26
6,21,4.199,-0.0003,0.5,8.413,0.0008,4,7.91,10001.83
7,21,2.048,-0.0004,0.6667,4.809,0.0003,3,3.0,10004.27
8,21,-0.323,-0.0006,0.5,0.793,-0.0001,2,-0.89,10003.13
9,21,0.98,-0.0003,1.0,inf,0.0001,1,1.17,10004.18
10,21,1.764,-0.0001,0.3333,2.011,0.0001,3,1.19,10005.22
11,21,7.645,-0.0002,1.0,inf,0.0009,2,9.11,10013.86
12,21,0.171,-0.0008,0.75,1.32,0.0,4,0.66,10013.81
13,21,5.204,-0.0005,0.5,10.448,0.0013,2,13.57,10026.98
14,21,5.69,-0.0001,0.4,9.556,0.0019,5,19.74,10046.19
15,21,-1.654,-0.0009,0.5,0.68,-0.0004,10,-4.03,10041.84
16,21,-3.631,-0.0008,0.5,0.242,-0.0005,6,-4.35,10037.07
17,21,-2.535,-0.0005,0.3333,0.186,-0.0003,3,-3.04,10033.77
18,21,1.694,-0.0011,0.5,6.962,0.0006,2,6.53,10040.0
19,21,3.409,-0.0001,1.0,inf,0.0003,2,2.57,10042.35
20,21,10.516,-0.0005,0.6667,inf,0.0028,3,28.88,10070.66
21,21,-3.015,-0.0019,0.6,0.414,-0.0012,5,-11.5,10058.55
22,21,5.701,-0.0004,1.0,inf,0.001,3,9.95,10068.17
23,21,5.091,-0.0007,1.0,inf,0.0023,3,23.09,10090.82
24,21,4.07,-0.0005,1.0,inf,0.0008,1,7.6,10098.22
25,21,1.278,-0.0009,1.0,inf,0.0006,1,6.26,10104.17
26,21,-1.172,-0.0018,0.3333,0.71,-0.0005,3,-4.44,10099.02
27,21,0.644,-0.0007,0.75,1.329,0.0002,4,1.8,10100.46
28,21,6.959,-0.0002,0.75,14.197,0.001,4,10.45,10110.33
29,21,-1.269,-0.0016,0.3333,0.51,-0.0005,3,-4.72,10105.0
30,21,6.956,-0.0003,0.5,inf,0.002,2,20.77,10125.31
31,21,4.224,-0.0001,1.0,inf,0.0005,2,4.83,10129.72
32,21,2.849,-0.0005,1.0,inf,0.0006,1,5.86,10135.31
33,21,-3.268,-0.0014,0.5,0.287,-0.0009,2,-8.87,10125.84
34,21,3.901,-0.0004,1.0,inf,0.0008,2,7.76,10133.26
35,21,3.605,-0.0003,1.0,inf,0.0004,2,3.81,10136.83
36,21,2.099,-0.0004,0.6667,6.097,0.0004,3,4.8,10141.26
