window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
2,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9999.58
3,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9999.44
4,21,-3.642,-0.0001,0.0,inf,-0.0001,1,0.0,9998.83
5,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9998.55
6,21,0.0,0.0,0.0,inf,0.0,0,0.0,9998.55
7,21,0.0,0.0,0.0,inf,0.0,0,0.0,9998.55
8,21,0.0,0.0,0.0,inf,0.0,0,0.0,9998.55
9,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9998.2
10,21,0.0,0.0,0.0,inf,0.0,0,0.0,9998.2
11,21,0.0,0.0,0.0,inf,0.0,0,0.0,9998.2
12,21,0.0,0.0,0.0,inf,0.0,0,0.0,9998.2
13,21,0.0,0.0,0.0,inf,0.0,0,0.0,9998.2
14,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9998.07
15,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9998.03
16,21,0.0,0.0,0.0,inf,0.0,0,0.0,9998.03
17,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9997.77
18,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9997.62
19,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9997.33
20,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9997.27
21,21,0.0,0.0,0.0,inf,0.0,0,0.0,9997.27
22,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9996.93
23,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9996.61
24,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9996.13
25,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9995.66
26,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9995.5
27,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9995.3
28,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9994.9
29,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9994.59
30,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9994.3
31,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9993.92
32,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9993.45
33,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9993.06
34,21,0.0,0.0,0.0,inf,0.0,0,0.0,9993.06
35,21,0.0,0.0,0.0,inf,0.0,0,0.0,9993.06
36,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9992.77
37,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9992.6
38,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9992.49
39,21,0.0,0.0,0.0,inf,0.0,0,0.0,9992.49
40,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9992.26
41,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9992.16
42,21,0.0,0.0,0.0,inf,0.0,0,0.0,9992.16
43,21,0.0,0.0,0.0,inf,0.0,0,0.0,9992.16
44,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9992.04
45,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9991.91
46,21,0.0,0.0,0.0,inf,0.0,0,0.0,9991.91
47,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9991.8
48,21,0.0,0.0,0.0,inf,0.0,0,0.0,9991.8
49,21,0.0,0.0,0.0,inf,0.0,0,0.0,9991.8
50,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9991.66
51,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9991.57
52,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9991.47
53,21,0.0,0.0,0.0,inf,0.0,0,0.0,9991.47
54,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9991.34
55,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9991.24
56,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9991.09
57,21,0.0,0.0,0.0,inf,0.0,0,0.0,9991.09
58,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9990.82
59,21,0.0,0.0,0.0,inf,0.0,0,0.0,9990.82
60,21,0.0,0.0,0.0,inf,0.0,0,0.0,9990.82
61,21,0.0,0.0,0.0,inf,0.0,0,0.0,9990.82
62,21,0.0,0.0,0.0,inf,0.0,0,0.0,9990.82
63,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9990.72
64,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9990.38
65,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9990.02
66,21,0.0,0.0,0.0,inf,0.0,0,0.0,9990.02
67,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9989.78
68,21,0.0,0.0,0.0,inf,0.0,0,0.0,9989.78
69,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9989.7
70,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9989.29
71,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9989.1
72,21,0.0,0.0,0.0,inf,0.0,0,0.0,9989.1
73,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9988.66
74,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9988.23
75,21,-3.642,-0.0001,0.0,inf,-0.0001,1,0.0,9987.7
76,21,0.0,0.0,0.0,inf,0.0,0,0.0,9987.7
77,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9987.33
78,21,-3.642,-0.0001,0.0,inf,-0.0001,1,0.0,9986.69
79,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9986.37
80,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9986.22
81,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9986.02
82,21,0.0,0.0,0.0,inf,0.0,0,0.0,9986.02
83,21,0.0,0.0,0.0,inf,0.0,0,0.0,9986.02
84,21,-3.642,-0.0001,0.0,inf,-0.0001,1,0.0,9985.47
85,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9985.2
86,21,-3.642,-0.0,0.0,inf,-0.0,1,0.0,9984.85
