window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,2.676,-0.0003,1.0,inf,0.0004,1,4.03,10003.93
2,21,-8.313,-0.0001,0.25,0.006,-0.0001,4,-0.55,10002.98
3,21,1.902,-0.0008,0.5,19.335,0.0006,2,6.4,10009.02
4,21,10.793,-0.0001,1.0,inf,0.0013,1,12.88,10021.64
5,21,-4.48,-0.0028,0.0,0.0,-0.0024,2,-23.65,9997.3
6,21,5.047,-0.0005,0.5,15.187,0.0014,2,13.67,10010.65
7,21,-0.815,-0.0008,0.3333,0.839,-0.0001,3,-0.74,10009.06
8,21,-1.517,-0.0011,0.5,0.393,-0.0007,2,-6.42,10002.24
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.75,10003.82
10,21,3.061,-0.0004,1.0,inf,0.0005,1,5.18,10008.86
11,21,8.534,-0.0001,1.0,inf,0.0009,2,8.72,10017.15
12,21,3.823,-0.0009,1.0,inf,0.001,2,10.5,10027.04
13,21,3.594,-0.0009,0.3333,2.927,0.0014,3,14.24,10040.48
14,21,-3.298,-0.0017,0.25,0.262,-0.0009,4,-8.63,10031.39
15,21,-2.285,-0.0014,0.4,0.569,-0.0009,10,-8.38,10022.55
16,21,0.573,-0.0004,0.5,1.294,0.0001,6,1.25,10023.55
17,21,2.615,-0.0003,0.6,6.085,0.0004,5,4.96,10027.82
18,21,8.532,-0.0005,0.6,6.107,0.0024,5,24.82,10051.48
19,21,3.717,-0.0006,0.75,3.586,0.0013,4,13.72,10064.35
20,21,6.957,-0.0012,1.0,inf,0.0028,2,28.84,10092.7
21,21,-3.751,-0.0028,0.5,0.249,-0.002,6,-19.64,10072.21
22,21,0.469,-0.001,0.3333,1.21,0.0002,3,2.04,10073.6
23,21,3.661,-0.0008,0.75,6.108,0.0019,4,19.71,10092.62
24,21,4.071,-0.0007,1.0,inf,0.0012,1,11.71,10104.02
25,21,1.279,-0.0012,1.0,inf,0.0008,1,8.5,10112.11
26,21,-0.977,-0.0024,0.3333,0.759,-0.0006,3,-4.87,10106.28
27,21,-0.28,-0.001,0.3333,0.92,-0.0001,3,-0.73,10104.92
28,21,3.569,-0.0004,1.0,inf,0.0007,2,7.45,10112.0
29,21,-1.615,-0.0021,0.75,0.432,-0.0007,4,-6.76,10104.28
30,21,6.938,-0.0005,0.5,inf,0.0027,2,27.68,10131.21
31,21,3.763,-0.0011,1.0,inf,0.0015,1,14.7,10145.45
32,21,2.849,-0.0008,1.0,inf,0.0008,1,8.15,10153.22
33,21,-2.911,-0.0018,0.5,0.341,-0.001,2,-10.24,10142.16
34,21,4.909,-0.0005,1.0,inf,0.0013,1,12.99,10154.91
35,21,4.131,-0.0007,1.0,inf,0.0011,1,11.3,10165.91
36,21,2.589,-0.0005,0.6,3.676,0.0008,5,8.68,10173.76
37,21,-9.662,-0.0041,0.0,0.0,-0.0041,4,-40.4,10132.3
38,21,-1.527,-0.0012,0.4,0.721,-0.0004,5,-3.58,10128.17
39,21,1.967,-0.0015,0.7143,1.592,0.0009,7,10.53,10137.56
40,21,-6.344,-0.0024,0.0,0.0,-0.0023,4,-23.11,10113.82
41,21,-1.889,-0.0013,0.3333,0.328,-0.0005,3,-5.26,10108.32
42,21,-0.528,-0.0007,0.4286,0.889,-0.0001,7,-0.7,10107.21
43,21,1.968,-0.0003,0.25,2.086,0.0003,4,3.07,10109.99
44,21,-4.561,-0.0007,0.25,0.11,-0.0006,4,-6.26,10103.47
45,21,-5.106,-0.0012,0.4,0.14,-0.001,5,-9.76,10093.21
46,21,2.108,-0.0004,0.6,1.836,0.0003,5,3.09,10096.0
47,21,-2.445,-0.0004,0.5,0.376,-0.0003,4,-2.46,10093.38
48,21,-0.751,-0.0002,0.5,0.94,-0.0,6,-0.07,10093.04
49,21,3.861,-0.0001,0.5,3.24,0.0003,4,3.21,10096.01
50,21,4.141,-0.0004,0.5,29.968,0.0008,2,8.27,10104.1
51,21,5.025,-0.0001,0.75,5.011,0.0004,4,4.74,10108.55
52,21,1.277,-0.0003,0.5,4.524,0.0001,2,1.56,10109.96
