window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,2.676,-0.0002,1.0,inf,0.0003,1,2.69,10002.62
2,21,-8.313,-0.0001,0.25,0.006,-0.0001,4,-0.37,10001.99
3,21,1.902,-0.0005,0.5,19.339,0.0004,2,4.27,10006.02
4,21,10.792,-0.0001,1.0,inf,0.0009,1,8.58,10014.43
5,21,-4.48,-0.0019,0.0,0.0,-0.0016,2,-15.76,9998.21
6,21,5.048,-0.0003,0.5,15.194,0.0009,2,9.11,10007.11
7,21,-0.815,-0.0005,0.3333,0.839,-0.0001,3,-0.49,10006.05
8,21,-1.517,-0.0007,0.5,0.393,-0.0004,2,-4.28,10001.51
9,21,0.98,-0.0003,1.0,inf,0.0001,1,1.17,10002.56
10,21,3.357,-0.0003,0.3333,3.064,0.0005,3,5.16,10007.28
11,21,8.534,-0.0001,1.0,inf,0.0006,2,5.81,10012.81
12,21,3.823,-0.0006,1.0,inf,0.0007,2,7.0,10019.4
13,21,3.595,-0.0006,0.3333,2.929,0.0009,3,9.49,10028.36
14,21,-3.237,-0.0011,0.2,0.271,-0.0006,5,-5.49,10022.52
15,21,-2.285,-0.001,0.4,0.569,-0.0006,10,-5.58,10016.63
16,21,0.573,-0.0003,0.5,1.294,0.0001,6,0.83,10017.3
17,21,2.922,-0.0002,0.6667,2.771,0.0003,6,3.93,10020.67
18,21,8.533,-0.0003,0.6,6.111,0.0016,5,16.54,10036.43
19,21,3.717,-0.0004,0.75,3.588,0.0009,4,9.13,10045.0
20,21,6.956,-0.0008,1.0,inf,0.0019,2,19.18,10063.86
21,21,-3.751,-0.0019,0.5,0.249,-0.0013,6,-13.05,10050.24
22,21,0.469,-0.0007,0.3333,1.211,0.0001,3,1.36,10051.17
23,21,3.66,-0.0006,0.75,6.111,0.0013,4,13.11,10063.82
24,21,4.07,-0.0005,1.0,inf,0.0008,1,7.79,10071.4
25,21,1.277,-0.0008,1.0,inf,0.0006,1,5.65,10076.78
26,21,-1.199,-0.0017,0.5,0.732,-0.0005,4,-4.0,10071.96
27,21,-0.223,-0.0008,0.4,0.983,-0.0001,5,-0.16,10071.18
28,21,3.569,-0.0003,1.0,inf,0.0005,2,4.95,10075.89
29,21,-0.904,-0.0011,0.6,0.85,-0.0002,5,-1.58,10073.57
30,21,6.938,-0.0003,0.5,inf,0.0018,2,18.4,10091.47
31,21,3.762,-0.0007,1.0,inf,0.001,1,9.76,10100.93
32,21,2.849,-0.0005,1.0,inf,0.0005,1,5.41,10106.09
33,21,-2.91,-0.0012,0.5,0.341,-0.0007,2,-6.79,10098.75
34,21,4.909,-0.0003,1.0,inf,0.0009,1,8.62,10107.21
35,21,4.13,-0.0005,1.0,inf,0.0007,1,7.5,10114.51
36,21,2.435,-0.0004,0.6667,2.172,0.0005,6,5.57,10119.42
37,21,-9.663,-0.0027,0.0,0.0,-0.0027,4,-26.81,10091.91
38,21,-1.523,-0.0008,0.4,0.721,-0.0003,5,-2.38,10089.16
39,21,1.967,-0.001,0.7143,1.593,0.0006,7,7.0,10095.4
40,21,-6.355,-0.0016,0.0,0.0,-0.0016,5,-15.47,10079.38
41,21,-1.622,-0.0009,0.3333,0.37,-0.0003,3,-3.01,10076.2
42,21,-0.529,-0.0005,0.4286,0.889,-0.0001,7,-0.47,10075.47
43,21,1.968,-0.0002,0.25,2.087,0.0002,4,2.04,10077.32
44,21,-4.561,-0.0004,0.25,0.11,-0.0004,4,-4.16,10072.99
45,21,-3.7,-0.0008,0.1667,0.44,-0.0005,6,-5.12,10067.46
46,21,2.108,-0.0003,0.6,1.837,0.0002,5,2.05,10069.31
47,21,-2.445,-0.0003,0.5,0.376,-0.0002,4,-1.64,10067.57
48,21,-0.751,-0.0001,0.5,0.94,-0.0,6,-0.05,10067.34
49,21,3.861,-0.0001,0.5,3.24,0.0002,4,2.13,10069.32
50,21,4.141,-0.0003,0.5,29.976,0.0005,2,5.5,10074.7
51,21,5.025,-0.0001,0.75,5.012,0.0003,4,3.15,10077.66
52,21,1.277,-0.0002,0.5,4.524,0.0001,2,1.04,10078.59
53,21,3.019,-0.0001,0.75,inf,0.0002,4,1.94,10080.24
54,21,-3.932,-0.0002,0.25,0.055,-0.0002,4,-1.51,10078.54
55,21,3.15,-0.0002,0.5,3.382,0.0003,4,3.03,10081.29
56,21,-1.343,-0.0005,0.3333,0.564,-0.0002,3,-1.7,10079.29
57,21,-0.226,-0.0001,0.6,1.133,-0.0,5,0.17,10079.18
58,21,-3.37,-0.0002,0.0,0.0,-0.0002,4,-1.77,10077.2
59,21,3.912,-0.0001,0.5,3.854,0.0003,4,3.04,10079.98
60,21,-2.216,-0.0004,0.5,0.54,-0.0002,4,-1.49,10078.11
61,21,5.698,-0.0002,0.6667,5.764,0.0007,3,7.04,10084.84
62,21,5.767,-0.0003,0.6667,inf,0.001,3,10.57,10094.89
63,21,2.073,-0.0003,0.5,28.165,0.0002,2,2.71,10097.34
64,21,-2.382,-0.0008,0.25,0.566,-0.0004,4,-3.56,10093.38
65,21,3.719,-0.0002,0.6,2.561,0.0003,5,3.03,10095.87
66,21,4.765,-0.0002,0.6667,10.717,0.0004,3,4.01,10099.48
67,21,-1.034,-0.0009,0.5,0.642,-0.0002,4,-2.08,10096.93
68,21,-3.792,-0.0003,0.25,0.304,-0.0003,8,-3.13,10093.43
69,21,1.625,-0.0003,0.3333,1.833,0.0002,6,2.4,10095.34
70,21,-0.804,-0.0003,0.6,0.837,-0.0001,5,-0.3,10094.42
71,21,3.803,-0.0006,0.6667,2.595,0.0009,3,9.12,10102.97
72,21,-0.719,-0.0009,0.3333,0.65,-0.0002,3,-1.88,10100.49
73,21,3.53,-0.0005,0.6667,5.958,0.0007,3,7.01,10107.16
74,21,-3.097,-0.0011,0.25,0.335,-0.0007,4,-7.01,10099.57
75,21,-1.307,-0.001,0.5,0.253,-0.0005,2,-5.18,10093.98
76,21,3.985,-0.0004,0.6,4.138,0.0011,5,11.79,10105.47
77,21,6.493,-0.0001,1.0,inf,0.0008,2,7.89,10113.21
78,21,6.169,-0.0004,0.5,inf,0.0016,2,16.17,10128.9
79,21,2.322,-0.0004,1.0,inf,0.0003,2,3.14,10131.69
80,21,0.517,-0.0004,1.0,inf,0.0001,1,0.7,10132.25
81,21,10.765,-0.0001,0.6667,15.503,0.0008,3,8.36,10140.13
82,21,0.115,-0.0008,0.6667,1.085,0.0,3,0.53,10140.21
83,21,2.65,-0.0005,0.6667,3.478,0.0004,3,4.39,10144.3
84,21,-0.027,-0.0007,0.5,1.035,-0.0,2,0.19,10144.1
85,21,-1.004,-0.0006,0.0,0.0,-0.0002,1,-2.19,10141.72
86,21,1.529,-0.0003,1.0,inf,0.0003,1,2.72,10144.3
