window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,2.676,-0.0003,1.0,inf,0.0004,1,4.03,10003.93
2,21,-8.313,-0.0001,0.25,0.006,-0.0001,4,-0.55,10002.98
3,21,1.902,-0.0008,0.5,19.335,0.0006,2,6.4,10009.02
4,21,10.793,-0.0001,1.0,inf,0.0013,1,12.88,10021.64
5,21,-4.48,-0.0028,0.0,0.0,-0.0024,2,-23.65,9997.3
6,21,5.047,-0.0005,0.5,15.187,0.0014,2,13.67,10010.65
7,21,-0.815,-0.0008,0.3333,0.839,-0.0001,3,-0.74,10009.06
8,21,-1.517,-0.0011,0.5,0.393,-0.0007,2,-6.42,10002.24
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.75,10003.82
10,21,3.357,-0.0004,0.3333,3.063,0.0007,3,7.74,10010.89
11,21,8.534,-0.0001,1.0,inf,0.0009,2,8.72,10019.18
12,21,3.823,-0.0009,1.0,inf,0.001,2,10.5,10029.07
13,21,3.594,-0.0009,0.3333,2.927,0.0014,3,14.24,10042.51
14,21,-3.237,-0.0017,0.2,0.271,-0.0009,5,-8.24,10033.74
15,21,-2.285,-0.0014,0.4,0.569,-0.0009,10,-8.38,10024.9
16,21,0.573,-0.0004,0.5,1.294,0.0001,6,1.25,10025.9
17,21,2.922,-0.0003,0.6667,2.771,0.0005,6,5.9,10030.95
18,21,8.532,-0.0005,0.6,6.107,0.0024,5,24.83,10054.62
19,21,3.717,-0.0006,0.75,3.586,0.0013,4,13.72,10067.49
20,21,6.957,-0.0012,1.0,inf,0.0028,2,28.84,10095.85
21,21,-3.751,-0.0028,0.5,0.249,-0.002,6,-19.64,10075.36
22,21,0.469,-0.001,0.3333,1.21,0.0002,3,2.04,10076.75
23,21,3.661,-0.0008,0.75,6.108,0.0019,4,19.71,10095.78
24,21,4.071,-0.0007,1.0,inf,0.0012,1,11.72,10107.18
25,21,1.279,-0.0012,1.0,inf,0.0008,1,8.5,10115.27
26,21,-1.199,-0.0025,0.5,0.732,-0.0007,4,-6.03,10108.01
27,21,-0.224,-0.0013,0.4,0.982,-0.0001,5,-0.24,10106.83
28,21,3.569,-0.0004,1.0,inf,0.0007,2,7.45,10113.92
29,21,-0.905,-0.0016,0.6,0.85,-0.0003,5,-2.38,10110.43
30,21,6.938,-0.0005,0.5,inf,0.0027,2,27.7,10137.38
31,21,3.763,-0.0011,1.0,inf,0.0015,1,14.7,10151.63
32,21,2.849,-0.0008,1.0,inf,0.0008,1,8.15,10159.41
33,21,-2.911,-0.0018,0.5,0.341,-0.001,2,-10.24,10148.34
34,21,4.909,-0.0005,1.0,inf,0.0013,1,12.99,10161.1
35,21,4.131,-0.0007,1.0,inf,0.0011,1,11.31,10172.11
36,21,2.435,-0.0005,0.6667,2.172,0.0007,6,8.41,10179.52
37,21,-9.662,-0.0041,0.0,0.0,-0.0041,4,-40.43,10138.03
38,21,-1.523,-0.0012,0.4,0.72,-0.0004,5,-3.59,10133.88
39,21,1.967,-0.0015,0.7143,1.592,0.0009,7,10.54,10143.27
40,21,-6.355,-0.0024,0.0,0.0,-0.0024,5,-23.31,10119.14
41,21,-1.621,-0.0013,0.3333,0.369,-0.0005,3,-4.53,10114.36
42,21,-0.528,-0.0007,0.4286,0.889,-0.0001,7,-0.7,10113.25
43,21,1.968,-0.0003,0.25,2.086,0.0003,4,3.07,10116.03
44,21,-4.561,-0.0007,0.25,0.11,-0.0006,4,-6.26,10109.51
45,21,-3.701,-0.0012,0.1667,0.44,-0.0008,6,-7.71,10101.18
46,21,2.108,-0.0004,0.6,1.836,0.0003,5,3.09,10103.97
47,21,-2.445,-0.0004,0.5,0.376,-0.0003,4,-2.46,10101.34
48,21,-0.751,-0.0002,0.5,0.94,-0.0,6,-0.07,10101.0
49,21,3.861,-0.0001,0.5,3.24,0.0003,4,3.21,10103.98
50,21,4.141,-0.0004,0.5,29.968,0.0008,2,8.28,10112.08
51,21,5.025,-0.0001,0.75,5.011,0.0004,4,4.75,10116.53
52,21,1.277,-0.0003,0.5,4.524,0.0001,2,1.56,10117.94
