window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.625,-0.0003,1.0,inf,0.0006,2,5.87,10005.77
2,21,5.617,-0.0,1.0,inf,0.0,1,0.38,10006.14
3,21,2.126,-0.0008,1.0,inf,0.0007,1,7.21,10013.05
4,21,10.793,-0.0001,1.0,inf,0.0013,1,12.89,10025.67
5,21,-4.48,-0.0028,0.0,0.0,-0.0024,2,-23.66,10001.32
6,21,5.634,-0.0005,1.0,inf,0.0015,2,14.74,10015.81
7,21,3.678,-0.0004,1.0,inf,0.0007,1,6.97,10022.53
8,21,-1.517,-0.0011,0.5,0.393,-0.0007,2,-6.43,10015.7
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.76,10017.28
10,21,3.357,-0.0004,0.3333,3.063,0.0007,3,7.75,10024.36
11,21,7.872,-0.0003,1.0,inf,0.0013,1,12.58,10036.63
12,21,5.742,-0.0009,1.0,inf,0.0016,1,16.47,10052.69
13,21,3.919,-0.0013,1.0,inf,0.0018,1,18.31,10070.58
14,21,4.643,-0.0006,0.4,3.308,0.0012,5,12.93,10082.94
15,21,-2.285,-0.0014,0.4,0.569,-0.0009,10,-8.42,10074.06
16,21,0.471,-0.0004,0.4,1.247,0.0001,5,1.06,10074.89
17,21,3.178,-0.0004,0.3333,2.348,0.0005,3,5.61,10080.16
18,21,2.589,-0.0017,0.3333,4.269,0.0016,3,15.96,10095.49
19,21,3.641,-0.0006,0.6667,3.76,0.0011,3,11.57,10106.45
20,21,6.957,-0.0012,1.0,inf,0.0028,2,28.96,10134.92
21,21,-3.3,-0.0022,0.3333,0.032,-0.0013,3,-12.8,10121.71
22,21,2.369,-0.0005,0.3333,2.999,0.0007,3,7.86,10129.07
23,21,5.519,-0.0008,0.6667,114.3,0.0031,3,31.17,10159.8
24,21,4.071,-0.0007,1.0,inf,0.0012,1,11.79,10171.27
25,21,1.279,-0.0012,1.0,inf,0.0008,1,8.56,10179.41
26,21,-1.199,-0.0025,0.5,0.732,-0.0007,4,-6.07,10172.1
27,21,0.056,-0.0013,0.25,1.056,0.0,4,0.7,10172.14
28,21,5.412,-0.0003,0.5,15.218,0.001,2,10.62,10182.43
29,21,-0.31,-0.0016,0.3333,0.949,-0.0001,3,-0.82,10180.8
30,21,6.938,-0.0005,0.5,inf,0.0027,2,27.89,10207.93
31,21,3.763,-0.0011,1.0,inf,0.0015,1,14.81,10222.28
32,21,2.849,-0.0008,1.0,inf,0.0008,1,8.21,10230.11
33,21,-2.911,-0.0018,0.5,0.341,-0.001,2,-10.32,10218.96
34,21,4.909,-0.0005,1.0,inf,0.0013,1,13.08,10231.81
35,21,4.131,-0.0007,1.0,inf,0.0011,1,11.39,10242.9
36,21,1.781,-0.001,0.5,4.591,0.0007,2,6.98,10249.62
