window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,7,3.974,-0.0003,1.0,inf,0.0003,1,3.23,10003.13
2,7,2.516,-0.0,1.0,inf,0.0,1,0.3,10003.39
3,7,-4.776,-0.0001,0.0,0.0,-0.0001,2,-0.97,10002.31
4,7,0.0,0.0,0.0,inf,0.0,0,0.0,10002.31
5,7,8.17,-0.0,1.0,inf,0.0001,2,1.12,10003.31
6,7,5.882,-0.0001,1.0,inf,0.0002,1,2.21,10005.23
7,7,-10.884,-0.0006,0.0,0.0,-0.0006,1,-5.52,9999.41
8,7,15.278,-0.0,1.0,inf,0.0005,1,4.73,10003.92
9,7,-1.798,-0.0001,0.0,0.0,-0.0,1,-0.28,10003.44
10,7,21.974,-0.0,1.0,inf,0.0004,1,4.39,10007.57
11,7,10.161,-0.0001,1.0,inf,0.0003,1,3.12,10010.34
12,7,8.884,-0.0001,1.0,inf,0.0007,1,6.61,10016.54
13,7,-4.186,-0.0009,0.0,0.0,-0.0006,1,-5.59,10010.61
14,7,-0.194,-0.0009,0.5,0.996,-0.0,2,-0.03,10010.01
15,7,-18.447,-0.0006,0.0,0.0,-0.0006,2,-6.13,10003.45
16,7,6.867,-0.0005,1.0,inf,0.0008,1,8.42,10011.66
17,7,6.085,-0.0001,1.0,inf,0.0001,1,1.46,10013.02
18,7,-3.7,-0.0002,0.0,0.0,-0.0001,1,-0.92,10012.01
19,7,3.951,-0.0002,1.0,inf,0.0002,1,1.81,10013.58
20,7,0.001,-0.0003,0.0,inf,0.0,1,0.0,10013.31
21,7,-8.068,-0.0003,0.0,0.0,-0.0002,2,-1.67,10011.24
22,7,-5.71,-0.0011,0.5,0.372,-0.0007,2,-6.65,10004.19
23,7,-0.819,-0.0005,0.0,0.0,-0.0001,1,-0.89,10003.14
24,7,-2.787,-0.0006,0.5,0.436,-0.0003,2,-2.55,10000.27
25,7,5.219,-0.0002,1.0,inf,0.0003,1,3.46,10003.55
26,7,5.491,-0.0001,1.0,inf,0.0002,1,1.53,10004.94
27,7,-5.285,-0.0008,0.0,0.0,-0.0005,1,-5.18,9999.44
28,7,0.4,-0.0004,0.5,1.126,0.0,2,0.47,9999.58
29,7,8.359,-0.0,1.0,inf,0.0002,1,1.87,10001.37
30,7,8.772,-0.0001,1.0,inf,0.0004,1,3.73,10004.92
