window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.625,-0.0004,1.0,inf,0.0008,2,7.83,10007.69
2,21,5.617,-0.0,1.0,inf,0.0001,1,0.5,10008.18
3,21,2.127,-0.0011,1.0,inf,0.001,1,9.62,10017.4
4,21,10.793,-0.0001,1.0,inf,0.0017,1,17.19,10034.24
5,21,-4.48,-0.0037,0.0,0.0,-0.0032,2,-31.57,10001.75
6,21,5.634,-0.0006,1.0,inf,0.002,2,19.65,10021.08
7,21,3.678,-0.0005,1.0,inf,0.0009,1,9.3,10030.05
8,21,-1.517,-0.0014,0.5,0.393,-0.0009,2,-8.58,10020.94
9,21,0.98,-0.0006,1.0,inf,0.0002,1,2.34,10023.04
10,21,3.357,-0.0005,0.3333,3.063,0.001,3,10.34,10032.49
11,21,7.873,-0.0003,1.0,inf,0.0017,1,16.78,10048.87
12,21,5.741,-0.0012,1.0,inf,0.0022,1,21.99,10070.31
13,21,3.921,-0.0017,1.0,inf,0.0024,1,24.45,10094.2
14,21,4.643,-0.0008,0.4,3.307,0.0016,5,17.28,10110.72
15,21,-2.285,-0.0019,0.4,0.569,-0.0012,10,-11.26,10098.84
16,21,0.471,-0.0006,0.4,1.247,0.0001,5,1.41,10099.95
17,21,3.178,-0.0006,0.3333,2.348,0.0007,3,7.49,10106.99
18,21,2.59,-0.0022,0.3333,4.266,0.0021,3,21.33,10127.48
19,21,3.641,-0.0008,0.6667,3.758,0.0015,3,15.47,10142.14
20,21,6.958,-0.0016,1.0,inf,0.0038,2,38.75,10180.24
21,21,-3.3,-0.0029,0.3333,0.032,-0.0017,3,-17.14,10162.55
22,21,2.369,-0.0007,0.3333,2.998,0.001,3,10.51,10172.41
23,21,5.52,-0.0011,0.6667,114.212,0.0041,3,41.74,10213.56
24,21,4.072,-0.001,1.0,inf,0.0015,1,15.8,10228.94
25,21,1.28,-0.0016,1.0,inf,0.0011,1,11.47,10239.86
26,21,-1.2,-0.0033,0.5,0.732,-0.0009,4,-8.15,10230.05
27,21,0.056,-0.0017,0.25,1.056,0.0,4,0.94,10230.1
28,21,5.411,-0.0004,0.5,15.213,0.0014,2,14.24,10243.9
29,21,-0.31,-0.0021,0.3333,0.948,-0.0002,3,-1.11,10241.71
30,21,6.937,-0.0006,0.5,inf,0.0036,2,37.41,10278.1
31,21,3.764,-0.0014,1.0,inf,0.0019,1,19.88,10297.36
32,21,2.85,-0.001,1.0,inf,0.0011,1,11.03,10307.88
33,21,-2.911,-0.0024,0.5,0.341,-0.0014,2,-13.86,10292.9
34,21,4.909,-0.0007,1.0,inf,0.0017,1,17.57,10310.15
35,21,4.132,-0.0009,1.0,inf,0.0015,1,15.3,10325.04
36,21,1.782,-0.0013,0.5,4.591,0.0009,2,9.38,10334.07
37,21,-9.662,-0.0054,0.0,0.0,-0.0054,4,-54.69,10277.94
38,21,1.591,-0.0006,0.5,1.61,0.0005,4,5.83,10283.15
39,21,2.317,-0.0025,0.5,2.297,0.0017,4,18.13,10300.35
40,21,-6.355,-0.0032,0.0,0.0,-0.0032,5,-31.55,10267.68
41,21,-1.621,-0.0017,0.3333,0.369,-0.0006,3,-6.12,10261.21
42,21,0.096,-0.0012,0.1667,1.073,0.0,6,0.62,10261.4
