window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.474,-0.0003,0.5,4.602,0.0007,4,7.52,10007.27
2,21,5.617,-0.0,1.0,inf,0.0,1,0.38,10007.64
3,21,2.126,-0.0008,1.0,inf,0.0007,1,7.21,10014.55
4,21,10.793,-0.0001,1.0,inf,0.0013,1,12.89,10027.18
5,21,-4.249,-0.0024,0.0,0.0,-0.002,3,-19.68,10006.61
6,21,3.995,-0.0005,0.6667,3.013,0.0009,3,9.61,10015.72
7,21,3.678,-0.0004,1.0,inf,0.0007,1,6.97,10022.44
8,21,-1.517,-0.0011,0.5,0.393,-0.0007,2,-6.43,10015.61
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.76,10017.19
10,21,3.357,-0.0004,0.3333,3.063,0.0007,3,7.75,10024.27
11,21,7.872,-0.0003,1.0,inf,0.0013,1,12.58,10036.54
12,21,0.768,-0.001,0.3333,1.185,0.0002,3,1.79,10037.69
13,21,3.919,-0.0013,1.0,inf,0.0018,1,18.28,10055.55
14,21,4.643,-0.0006,0.4,3.308,0.0012,5,12.91,10067.9
15,21,-2.285,-0.0014,0.4,0.569,-0.0009,10,-8.41,10059.03
16,21,0.887,-0.0004,0.4,1.488,0.0002,5,1.74,10060.56
17,21,3.178,-0.0004,0.3333,2.348,0.0005,3,5.6,10065.82
18,21,2.159,-0.0017,0.3333,3.05,0.0013,3,13.99,10079.08
19,21,2.328,-0.0011,0.3333,3.242,0.001,3,10.03,10088.5
20,21,6.957,-0.0012,1.0,inf,0.0028,2,28.9,10116.92
21,21,-2.697,-0.0022,0.25,0.282,-0.0011,4,-10.62,10105.75
22,21,1.033,-0.0008,0.25,1.533,0.0003,4,4.09,10109.08
23,21,5.519,-0.0008,0.6667,114.3,0.0031,3,31.11,10139.75
24,21,4.071,-0.0007,1.0,inf,0.0012,1,11.77,10151.2
25,21,1.279,-0.0012,1.0,inf,0.0008,1,8.54,10159.33
26,21,-1.199,-0.0025,0.5,0.732,-0.0007,4,-6.05,10152.04
27,21,0.056,-0.0013,0.25,1.056,0.0,4,0.7,10152.08
28,21,5.412,-0.0003,0.5,15.218,0.001,2,10.6,10162.35
29,21,-1.556,-0.0023,0.3333,0.658,-0.0008,3,-7.83,10153.53
30,21,6.938,-0.0005,0.5,inf,0.0027,2,27.82,10180.59
