window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,4.742,-0.0003,1.0,inf,0.0008,2,7.74,10007.64
2,21,5.617,-0.0,1.0,inf,0.0,1,0.38,10008.01
3,21,2.126,-0.0008,1.0,inf,0.0007,1,7.21,10014.93
4,21,10.793,-0.0001,1.0,inf,0.0013,1,12.89,10027.56
5,21,-4.48,-0.0028,0.0,0.0,-0.0024,2,-23.66,10003.21
6,21,6.726,-0.0005,1.0,inf,0.0018,2,17.58,10020.58
7,21,3.678,-0.0004,1.0,inf,0.0007,1,6.97,10027.31
8,21,-1.517,-0.0011,0.5,0.393,-0.0007,2,-6.43,10020.48
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.76,10022.06
10,21,3.576,-0.0004,0.5,3.116,0.0008,2,7.95,10029.68
11,21,7.872,-0.0003,1.0,inf,0.0013,1,12.58,10041.96
12,21,5.742,-0.0009,1.0,inf,0.0016,1,16.48,10058.03
13,21,3.919,-0.0013,1.0,inf,0.0018,1,18.32,10075.93
14,21,-3.291,-0.0012,0.0,0.0,-0.0007,3,-6.36,10069.28
15,21,-2.237,-0.0014,0.4286,0.497,-0.0009,7,-8.47,10060.48
16,21,2.192,-0.0003,0.5,2.476,0.0004,4,4.08,10064.39
17,21,4.479,-0.0005,0.6667,4.225,0.001,3,9.89,10074.02
18,21,1.357,-0.0017,1.0,inf,0.0009,1,9.16,10082.85
19,21,2.058,-0.001,1.0,inf,0.0008,1,8.3,10090.92
20,21,8.208,-0.0012,1.0,inf,0.0037,2,37.42,10127.69
21,21,-3.3,-0.0022,0.3333,0.032,-0.0013,3,-12.79,10114.49
22,21,0.899,-0.0009,1.0,inf,0.0003,1,2.91,10117.22
23,21,5.519,-0.0008,0.6667,114.3,0.0031,3,31.13,10147.91
24,21,4.071,-0.0007,1.0,inf,0.0012,1,11.78,10159.37
25,21,1.279,-0.0012,1.0,inf,0.0008,1,8.55,10167.5
26,21,-0.078,-0.0019,0.0,0.0,-0.0,1,-0.35,10166.89
27,21,-0.12,-0.0013,0.3333,0.986,-0.0001,3,-0.17,10166.09
28,21,5.069,-0.0004,1.0,inf,0.0011,1,10.68,10176.6
29,21,-0.31,-0.0016,0.3333,0.949,-0.0001,3,-0.82,10174.97
30,21,7.03,-0.0005,1.0,inf,0.0028,1,28.35,10202.87
31,21,3.763,-0.0011,1.0,inf,0.0015,1,14.8,10217.21
32,21,2.849,-0.0008,1.0,inf,0.0008,1,8.21,10225.04
33,21,-2.911,-0.0018,0.5,0.341,-0.001,2,-10.31,10213.9
34,21,4.909,-0.0005,1.0,inf,0.0013,1,13.08,10226.74
35,21,4.131,-0.0007,1.0,inf,0.0011,1,11.38,10237.82
36,21,1.781,-0.001,0.5,4.591,0.0007,2,6.98,10244.53
37,21,-9.662,-0.0041,0.0,0.0,-0.0041,4,-40.69,10202.78
38,21,4.381,-0.0004,0.6667,4.215,0.0009,3,9.53,10212.01
39,21,1.53,-0.0019,0.6667,1.828,0.0008,3,8.62,10220.18
40,21,-6.355,-0.0024,0.0,0.0,-0.0024,5,-23.49,10195.86
41,21,-1.621,-0.0013,0.3333,0.369,-0.0005,3,-4.56,10191.04
42,21,-1.268,-0.0009,0.25,0.51,-0.0003,4,-2.91,10187.88
43,21,5.318,-0.0003,0.5,527.724,0.0007,2,7.51,10195.29
44,21,1.125,-0.0002,0.3333,1.439,0.0001,3,0.8,10195.99
45,21,-3.57,-0.0015,0.0,0.0,-0.0009,4,-9.29,10186.25
46,21,0.955,-0.0006,0.6667,1.597,0.0001,3,1.56,10187.68
47,21,-0.999,-0.0005,0.5,0.171,-0.0001,2,-1.18,10186.43
48,21,5.384,-0.0002,0.3333,17.704,0.0006,3,6.23,10192.55
