window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,6.148,-0.0004,0.5,9.34,0.0019,2,19.62,10019.13
2,21,5.92,-0.0004,1.0,inf,0.001,1,10.01,10028.91
3,21,-0.082,-0.0004,0.0,0.0,-0.0,1,-0.09,10028.71
4,21,-4.903,-0.0055,0.0,0.0,-0.0054,4,-53.23,9973.79
5,21,-2.553,-0.0014,0.0,0.0,-0.0007,2,-6.85,9966.62
6,21,-2.37,-0.0024,0.25,0.356,-0.001,4,-9.04,9957.03
7,21,3.54,-0.0002,1.0,inf,0.0003,2,3.41,9960.35
8,21,-3.382,-0.0001,0.0,0.0,-0.0001,2,-0.84,9959.47
9,21,2.126,-0.0007,1.0,inf,0.0007,1,6.66,9965.86
10,21,10.793,-0.0001,1.0,inf,0.0017,1,16.74,9982.26
11,21,-4.385,-0.0022,0.0,0.0,-0.0019,2,-18.41,9963.3
12,21,5.246,-0.0004,0.5,44.151,0.0011,2,11.24,9974.28
13,21,3.678,-0.0004,1.0,inf,0.0006,1,6.07,9980.14
14,21,-1.507,-0.0008,0.5,0.395,-0.0005,2,-4.82,9975.02
15,21,0.98,-0.0003,1.0,inf,0.0001,1,0.97,9975.89
16,21,4.035,-0.0004,0.3333,4.131,0.0011,3,11.08,9986.36
17,21,7.873,-0.0004,1.0,inf,0.0018,1,17.96,10003.89
18,21,5.743,-0.0006,1.0,inf,0.001,1,10.47,10014.1
19,21,3.918,-0.001,1.0,inf,0.0014,1,14.28,10028.05
20,21,-2.886,-0.0023,0.1667,0.452,-0.0013,6,-12.37,10014.82
21,21,-2.182,-0.0012,0.4,0.612,-0.0007,10,-6.72,10007.67
22,21,1.189,-0.0004,0.4,1.656,0.0003,5,2.73,10010.16
23,21,4.566,-0.0003,0.3333,3.322,0.0006,3,6.21,10016.11
24,21,2.686,-0.0016,0.3333,4.733,0.0016,3,15.82,10031.35
25,21,2.475,-0.0007,0.6667,2.697,0.0008,3,8.45,10039.16
26,21,7.401,-0.0012,1.0,inf,0.0031,2,31.76,10070.38
27,21,-3.196,-0.0025,0.3333,0.046,-0.0015,3,-14.34,10055.55
28,21,2.551,-0.0006,0.3333,3.279,0.001,3,10.22,10065.2
29,21,5.59,-0.0008,0.6667,82.416,0.0031,3,31.15,10095.89
30,21,4.071,-0.0007,1.0,inf,0.0011,1,10.63,10106.23
31,21,1.279,-0.0013,1.0,inf,0.0009,1,9.51,10115.28
32,21,-0.62,-0.0023,0.5,0.886,-0.0003,4,-2.29,10111.77
33,21,-0.356,-0.0015,0.25,0.925,-0.0002,4,-1.13,10109.89
34,21,7.632,-0.0002,0.5,39.972,0.0021,2,21.55,10130.99
35,21,-1.864,-0.0029,0.3333,0.614,-0.0012,3,-10.96,10118.81
36,21,6.926,-0.0004,0.5,inf,0.0024,2,24.39,10142.46
37,21,3.763,-0.0009,1.0,inf,0.0012,1,11.92,10154.01
38,21,2.85,-0.0009,1.0,inf,0.0009,1,9.36,10162.93
39,21,-3.391,-0.002,0.5,0.269,-0.0013,2,-12.98,10149.11
40,21,4.909,-0.0005,1.0,inf,0.0012,1,12.39,10161.28
41,21,4.131,-0.0007,1.0,inf,0.0011,1,11.23,10172.22
42,21,0.527,-0.0011,0.5,1.352,0.0002,2,2.64,10174.39
43,21,-9.365,-0.0037,0.0,0.0,-0.0037,4,-36.56,10136.87
44,21,-0.029,-0.001,0.3333,1.021,-0.0,3,0.12,10136.7
45,21,1.675,-0.0017,0.5,1.938,0.0008,4,8.66,10144.85
46,21,-5.437,-0.0013,0.0,0.0,-0.0012,5,-12.2,10132.17
47,21,-1.832,-0.0011,0.3333,0.304,-0.0004,3,-4.31,10127.65
48,21,-0.036,-0.0008,0.1667,1.017,-0.0,6,0.09,10127.49
49,21,-0.163,-0.0002,0.3333,0.986,-0.0,3,-0.03,10127.34
50,21,2.142,-0.0002,0.25,2.099,0.0002,4,2.22,10129.36
51,21,-0.326,-0.0005,0.4,0.968,-0.0001,5,-0.21,10128.78
52,21,-0.663,-0.0005,0.6667,0.677,-0.0001,3,-0.77,10127.9
53,21,-0.937,-0.0006,0.25,0.75,-0.0002,4,-1.41,10126.3
54,21,0.828,-0.0005,0.6667,1.344,0.0001,3,1.52,10127.63
55,21,-0.263,-0.0002,0.3333,0.965,-0.0,3,-0.08,10127.42
56,21,2.36,-0.0004,0.3333,2.53,0.0005,3,5.07,10132.21
57,21,1.518,-0.0001,0.5,3.057,0.0001,2,0.99,10133.1
58,21,5.048,-0.0,0.5,108.459,0.0004,2,3.89,10136.89
59,21,4.087,-0.0003,0.3333,6.079,0.0008,3,8.49,10145.04
60,21,-3.562,-0.0008,0.0,0.0,-0.0005,2,-5.16,10139.65
61,21,-4.441,-0.0008,0.0,0.0,-0.0006,2,-5.97,10133.44
62,21,1.174,-0.0005,0.5,1.851,0.0002,2,2.42,10135.62
63,21,7.201,-0.0001,1.0,inf,0.0005,2,4.67,10140.15
64,21,-3.57,-0.0003,0.0,0.0,-0.0002,2,-1.78,10138.28
65,21,4.385,-0.0003,0.6667,4.08,0.0008,3,8.49,10146.48
66,21,6.655,-0.0003,1.0,inf,0.0011,2,11.22,10157.35
67,21,5.978,-0.0003,0.5,28.777,0.0013,2,13.09,10170.15
68,21,3.23,-0.0011,1.0,inf,0.0016,1,16.41,10186.16
69,21,0.312,-0.0001,1.0,inf,0.0,1,0.2,10186.3
70,21,-2.473,-0.0016,0.3333,0.43,-0.0008,3,-7.93,10177.69
71,21,5.554,-0.0005,0.5,15.436,0.0012,2,12.58,10189.76
72,21,9.574,-0.0001,0.5,68.501,0.0015,2,15.55,10205.03
73,21,-1.098,-0.002,0.3333,0.667,-0.0006,3,-5.43,10198.75
74,21,2.401,-0.0008,0.6667,2.341,0.001,3,10.44,10208.5
75,21,3.78,-0.001,0.6667,2.716,0.0016,3,16.8,10224.35
76,21,3.801,-0.0001,1.0,inf,0.0002,1,2.26,10226.55
77,21,3.933,-0.0012,0.6667,2.701,0.0018,3,18.94,10244.39
78,21,0.144,-0.0014,1.0,inf,0.0001,1,0.69,10244.77
79,21,1.475,-0.0009,1.0,inf,0.0006,1,5.72,10250.24
80,21,-3.656,-0.002,0.0,0.0,-0.0014,2,-13.83,10235.85
81,21,-1.313,-0.0018,0.5,0.251,-0.0009,2,-9.01,10226.12
82,21,3.877,-0.0006,0.6,3.588,0.0014,5,14.55,10240.25
83,21,6.494,-0.0002,1.0,inf,0.0009,2,9.79,10249.85
84,21,6.15,-0.0005,0.5,inf,0.002,2,21.23,10270.36
85,21,2.392,-0.0009,1.0,inf,0.0007,1,7.67,10277.67
86,21,0.518,-0.001,1.0,inf,0.0002,1,1.7,10279.02
87,21,9.75,-0.0004,1.0,inf,0.0014,1,14.46,10293.21
88,21,0.075,-0.0017,0.6667,1.045,0.0,3,0.66,10293.15
89,21,0.618,-0.0012,0.25,1.225,0.0002,4,2.34,10294.85
90,21,3.084,-0.0006,0.5,15.799,0.0007,2,7.26,10301.75
91,21,-1.003,-0.0011,0.0,0.0,-0.0004,1,-4.24,10297.12
92,21,1.529,-0.0004,1.0,inf,0.0003,1,3.56,10300.5
