window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,4.648,-0.0002,1.0,inf,0.0005,2,5.27,10005.12
2,21,-5.519,-0.0002,0.0,0.0,-0.0002,2,-2.05,10002.99
3,21,0.599,-0.0006,1.0,inf,0.0001,1,1.43,10004.16
4,21,-1.442,-0.0001,0.5,1.079,-0.0001,2,0.07,10003.62
5,21,-4.481,-0.0034,0.0,0.0,-0.0029,2,-28.72,9973.98
6,21,7.904,-0.0002,0.5,63.471,0.0015,2,14.88,9988.48
7,21,-3.515,-0.0,0.0,0.0,-0.0,1,-0.29,9988.17
8,21,-1.037,-0.0006,0.5,0.389,-0.0003,2,-2.98,9984.91
9,21,3.076,-0.0002,1.0,inf,0.0003,1,2.56,9987.34
10,21,-0.586,-0.001,0.5,0.863,-0.0002,2,-1.35,9985.48
11,21,-8.223,-0.0004,0.0,0.0,-0.0004,2,-3.97,9981.32
12,21,4.973,-0.0007,1.0,inf,0.001,1,9.95,9990.93
13,21,2.2,-0.0008,1.0,inf,0.0005,1,5.26,9995.9
14,21,-4.442,-0.0014,0.0,0.0,-0.001,3,-9.43,9986.16
15,21,-2.124,-0.0014,0.2727,0.653,-0.0007,11,-6.38,9979.27
16,21,3.53,-0.0003,0.6,2.386,0.0006,5,6.13,9985.12
17,21,1.768,-0.0006,0.3333,1.958,0.0005,3,4.77,9989.48
18,21,-0.582,-0.001,0.0,0.0,-0.0002,1,-1.87,9987.48
19,21,4.034,-0.0003,1.0,inf,0.0007,1,7.09,9994.4
20,21,9.505,-0.0004,0.5,48.903,0.0026,2,25.81,10019.73
21,21,-3.535,-0.0021,0.3333,0.161,-0.0013,3,-12.66,10006.61
22,21,3.283,-0.0004,0.3333,3.564,0.0008,3,7.96,10014.12
23,21,6.45,-0.0001,0.6667,17.466,0.0006,3,6.18,10020.18
24,21,2.781,-0.0005,1.0,inf,0.0006,1,6.24,10026.09
25,21,0.705,-0.0009,1.0,inf,0.0003,1,2.72,10028.47
26,21,2.603,-0.0006,0.3333,1.967,0.0005,3,5.94,10033.72
27,21,2.074,-0.0007,0.5,1.949,0.0006,2,6.34,10039.56
28,21,6.562,-0.0003,1.0,inf,0.0014,1,14.09,10053.39
29,21,-1.419,-0.0018,0.5,0.582,-0.0006,2,-5.48,10047.24
30,21,3.142,-0.0015,1.0,inf,0.0015,1,15.28,10061.82
31,21,2.834,-0.0022,1.0,inf,0.002,1,20.03,10081.06
32,21,2.791,-0.001,1.0,inf,0.001,1,9.87,10090.37
33,21,-3.467,-0.0023,0.5,0.338,-0.0014,2,-14.1,10075.35
34,21,5.361,-0.0003,1.0,inf,0.0011,1,11.41,10086.53
35,21,5.342,-0.0001,1.0,inf,0.0003,1,2.58,10089.0
36,21,1.23,-0.0007,0.3333,1.551,0.0003,3,3.83,10092.22
37,21,-9.597,-0.0027,0.0,0.0,-0.0027,4,-26.65,10064.5
38,21,1.892,-0.0006,0.5,17.237,0.0004,2,4.75,10068.98
39,21,2.417,-0.0009,0.6667,2.165,0.0007,3,6.83,10075.38
40,21,-6.202,-0.0024,0.0,0.0,-0.0023,3,-22.94,10051.7
41,21,-0.942,-0.0015,0.5,0.422,-0.0003,2,-3.19,10048.22
42,21,-3.097,-0.0014,0.25,0.219,-0.0008,4,-7.6,10040.21
43,21,1.439,-0.0003,0.25,1.561,0.0001,4,1.37,10041.43
44,21,-0.833,-0.0005,0.0,0.0,-0.0001,1,-1.23,10040.11
45,21,-3.833,-0.0014,0.0,0.0,-0.0009,4,-8.65,10031.01
46,21,2.834,-0.0009,1.0,inf,0.0009,2,8.92,10039.76
47,21,-1.775,-0.0003,0.0,0.0,-0.0001,2,-1.47,10038.21
48,21,-1.26,-0.0001,0.5,0.24,-0.0,2,-0.25,10037.93
49,21,-5.097,-0.0003,0.0,0.0,-0.0003,3,-2.56,10035.28
50,21,4.271,-0.0004,0.5,10.475,0.0009,2,9.59,10044.61
51,21,-3.853,-0.0006,0.0,0.0,-0.0005,3,-4.79,10039.61
52,21,-1.762,-0.0001,0.0,0.0,-0.0001,1,-0.54,10039.03
53,21,-2.345,-0.0004,0.0,0.0,-0.0002,1,-2.31,10036.62
54,21,5.387,-0.0003,1.0,inf,0.0005,1,4.96,10041.46
55,21,-4.073,-0.0002,0.0,0.0,-0.0002,2,-1.45,10039.89
56,21,2.001,-0.0003,0.5,2.263,0.0003,2,3.58,10043.16
57,21,-5.666,-0.001,0.0,0.0,-0.0009,2,-8.89,10033.94
58,21,3.708,-0.0001,1.0,inf,0.0001,1,0.97,10034.89
59,21,-5.861,-0.0004,0.3333,0.176,-0.0003,3,-2.81,10031.95
60,21,-1.581,-0.0003,0.5,0.606,-0.0001,2,-1.08,10030.69
61,21,5.44,-0.0002,1.0,inf,0.0008,1,7.69,10038.19
62,21,4.267,-0.0004,1.0,inf,0.0011,1,11.35,10049.25
63,21,3.095,-0.0,1.0,inf,0.0,1,0.02,10049.27
64,21,-3.943,-0.0007,0.0,0.0,-0.0007,2,-6.59,10042.45
65,21,4.816,-0.0002,1.0,inf,0.0004,1,4.32,10046.64
66,21,7.475,-0.0001,1.0,inf,0.0004,1,4.36,10050.88
67,21,-0.102,-0.0005,0.0,0.0,-0.0,1,-0.12,10050.65
68,21,-0.502,-0.0003,0.5,0.806,-0.0,2,-0.28,10050.21
69,21,4.986,-0.0001,1.0,inf,0.0002,1,1.55,10051.72
70,21,3.297,-0.0004,1.0,inf,0.0008,1,7.55,10058.93
71,21,5.661,-0.0,1.0,inf,0.0,1,0.29,10059.22
72,21,-3.116,-0.0013,0.5,0.015,-0.0011,2,-10.69,10048.14
73,21,2.696,-0.0007,1.0,inf,0.0008,1,7.79,10055.66
74,21,-3.96,-0.0017,0.0,0.0,-0.0011,2,-11.31,10043.84
75,21,-0.65,-0.0011,0.5,0.687,-0.0003,2,-2.34,10040.97
76,21,3.168,-0.0007,0.75,3.963,0.0015,4,15.85,10056.24
77,21,6.935,-0.0004,0.6667,7.631,0.0022,3,22.97,10078.5
78,21,7.588,-0.0004,1.0,inf,0.0018,1,18.42,10096.6
79,21,2.27,-0.0005,1.0,inf,0.0004,1,3.81,10100.19
80,21,2.4,-0.0002,1.0,inf,0.0002,1,2.41,10102.47
81,21,8.107,-0.0003,1.0,inf,0.0009,1,9.0,10111.23
82,21,-0.715,-0.0014,0.5,0.784,-0.0003,2,-2.75,10107.81
83,21,-0.593,-0.0021,0.5,0.842,-0.0003,2,-2.41,10104.67
84,21,0.173,-0.0015,1.0,inf,0.0001,1,0.67,10104.77
85,21,-0.409,-0.0004,0.0,0.0,-0.0001,1,-0.52,10104.1
86,21,0.561,-0.0004,1.0,inf,0.0001,1,0.99,10104.91
