window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.148,-0.0004,0.5,18.215,0.0007,2,6.64,10006.44
2,21,-4.134,-0.0005,0.0,0.0,-0.0004,2,-4.2,10002.02
3,21,2.127,-0.0008,1.0,inf,0.0008,1,7.64,10009.34
4,21,10.793,-0.0001,1.0,inf,0.0014,1,14.18,10023.23
5,21,-4.226,-0.0028,0.0,0.0,-0.0025,2,-24.18,9998.29
6,21,5.49,-0.0005,0.5,93.413,0.0016,2,16.53,10014.51
7,21,3.678,-0.0005,1.0,inf,0.0009,1,8.79,10022.99
8,21,-0.687,-0.0008,0.5,0.616,-0.0003,2,-2.93,10019.7
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.74,10021.27
10,21,4.13,-0.0003,0.3333,4.631,0.0008,3,9.07,10029.64
11,21,7.873,-0.0003,1.0,inf,0.0017,1,16.86,10046.1
12,21,5.741,-0.0011,1.0,inf,0.002,1,19.86,10065.46
13,21,3.92,-0.0015,1.0,inf,0.0021,1,21.62,10086.59
14,21,6.128,-0.0004,0.4,9.528,0.0031,5,31.89,10117.67
15,21,-2.058,-0.0015,0.4,0.584,-0.0009,10,-8.3,10108.92
16,21,-0.519,-0.001,0.4,0.85,-0.0002,5,-1.21,10107.3
17,21,1.37,-0.0014,0.3333,1.799,0.0005,3,5.15,10111.91
18,21,2.723,-0.0018,0.3333,4.949,0.0017,3,17.38,10128.66
19,21,4.791,-0.0005,0.6667,6.179,0.0016,3,16.97,10144.93
20,21,5.907,-0.0015,1.0,inf,0.003,2,30.13,10174.56
21,21,-3.63,-0.0019,0.3333,0.034,-0.0013,3,-12.51,10161.66
22,21,5.387,-0.0007,1.0,inf,0.002,2,20.23,10181.56
23,21,4.819,-0.001,0.5,2020.778,0.0033,2,33.38,10214.48
24,21,4.071,-0.0007,1.0,inf,0.0011,1,10.88,10225.06
25,21,1.279,-0.0013,1.0,inf,0.001,1,9.75,10234.34
26,21,-0.918,-0.0025,0.5,0.793,-0.0006,4,-4.74,10228.28
27,21,0.158,-0.0014,0.5,1.092,0.0001,4,1.29,10228.84
28,21,8.463,-0.0,0.5,692.645,0.0013,2,12.91,10241.55
29,21,0.281,-0.0018,0.3333,1.113,0.0001,3,2.01,10242.59
30,21,6.956,-0.0006,0.5,inf,0.0034,2,34.55,10276.37
31,21,3.764,-0.0013,1.0,inf,0.0017,1,17.93,10293.75
32,21,2.85,-0.0008,1.0,inf,0.0009,1,9.01,10302.34
33,21,-2.76,-0.0019,0.5,0.365,-0.0011,2,-10.73,10290.69
34,21,4.909,-0.0006,1.0,inf,0.0015,1,15.27,10305.68
35,21,4.13,-0.0005,1.0,inf,0.0008,1,7.74,10313.22
36,21,2.034,-0.0009,0.5,8.668,0.0007,2,7.61,10320.6
37,21,-9.84,-0.0048,0.0,0.0,-0.0048,4,-48.62,10270.71
38,21,1.66,-0.0009,0.5,1.651,0.0007,4,8.25,10278.17
39,21,2.271,-0.0024,0.5,2.287,0.0016,4,17.27,10294.61
40,21,-5.926,-0.0028,0.0,0.0,-0.0028,5,-27.57,10266.05
41,21,-1.626,-0.0016,0.3333,0.374,-0.0006,3,-5.51,10260.23
42,21,3.486,-0.0004,0.75,4.509,0.0008,4,8.04,10268.03
43,21,0.197,-0.0006,0.3333,1.101,0.0,3,0.58,10268.3
44,21,1.06,-0.0004,0.25,1.461,0.0002,4,1.92,10269.83
