window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.565,-0.0003,0.5,126.775,0.0006,2,5.78,10005.68
2,21,-4.374,-0.0001,0.0,0.0,-0.0001,2,-0.57,10005.09
3,21,2.126,-0.0008,1.0,inf,0.0007,1,7.21,10012.0
4,21,10.793,-0.0001,1.0,inf,0.0013,1,12.88,10024.62
5,21,-4.48,-0.0028,0.0,0.0,-0.0024,2,-23.66,10000.27
6,21,5.544,-0.0005,0.5,139.629,0.0014,2,14.53,10014.55
7,21,3.678,-0.0004,1.0,inf,0.0007,1,6.97,10021.27
8,21,-1.517,-0.0011,0.5,0.393,-0.0007,2,-6.43,10014.44
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.76,10016.02
10,21,3.357,-0.0004,0.3333,3.063,0.0007,3,7.75,10023.1
11,21,7.872,-0.0003,1.0,inf,0.0013,1,12.57,10035.37
12,21,5.742,-0.0009,1.0,inf,0.0016,1,16.47,10051.43
13,21,3.919,-0.0013,1.0,inf,0.0018,1,18.3,10069.31
14,21,4.643,-0.0006,0.4,3.308,0.0012,5,12.93,10081.67
15,21,-2.285,-0.0014,0.4,0.569,-0.0009,10,-8.42,10072.79
16,21,0.471,-0.0004,0.4,1.247,0.0001,5,1.06,10073.62
17,21,3.178,-0.0004,0.3333,2.348,0.0005,3,5.61,10078.89
18,21,2.589,-0.0017,0.3333,4.269,0.0016,3,15.96,10094.22
19,21,3.641,-0.0006,0.6667,3.76,0.0011,3,11.56,10105.18
20,21,6.957,-0.0012,1.0,inf,0.0028,2,28.95,10133.64
21,21,-3.3,-0.0022,0.3333,0.032,-0.0013,3,-12.79,10120.43
22,21,4.321,-0.0005,1.0,inf,0.0012,2,12.24,10132.48
23,21,4.849,-0.0008,0.5,13935.497,0.0027,2,27.28,10159.42
24,21,4.071,-0.0007,1.0,inf,0.0012,1,11.79,10170.89
25,21,1.279,-0.0012,1.0,inf,0.0008,1,8.56,10179.03
26,21,-1.199,-0.0025,0.5,0.732,-0.0007,4,-6.07,10171.72
27,21,0.056,-0.0013,0.25,1.056,0.0,4,0.7,10171.76
28,21,5.412,-0.0003,0.5,15.218,0.001,2,10.62,10182.05
29,21,-0.31,-0.0016,0.3333,0.949,-0.0001,3,-0.82,10180.42
30,21,6.938,-0.0005,0.5,inf,0.0027,2,27.89,10207.55
31,21,3.763,-0.0011,1.0,inf,0.0015,1,14.81,10221.9
32,21,2.849,-0.0008,1.0,inf,0.0008,1,8.21,10229.73
