window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,42,2.984,-0.0003,1.0,inf,0.0007,3,7.08,10006.89
2,42,4.505,-0.0008,1.0,inf,0.0024,2,24.6,10030.99
3,42,-0.496,-0.004,0.25,0.839,-0.0005,4,-4.56,10025.38
4,42,-0.742,-0.0019,0.5,0.462,-0.0006,2,-6.03,10018.86
5,42,1.86,-0.0008,1.0,inf,0.0008,1,7.77,10026.45
6,42,6.752,-0.0007,1.0,inf,0.0026,2,26.33,10052.23
7,42,2.421,-0.0013,0.2,4.085,0.0022,5,22.49,10073.96
8,42,-1.521,-0.0014,0.3846,0.611,-0.0009,13,-8.4,10065.0
9,42,0.776,-0.0007,0.3333,1.332,0.0002,6,2.47,10066.92
10,42,6.581,-0.0008,0.6,11.022,0.0041,5,42.16,10108.19
11,42,-0.996,-0.0022,0.5,0.563,-0.0006,4,-5.79,10101.97
12,42,4.508,-0.0008,0.75,140.237,0.0038,4,38.95,10140.26
13,42,0.255,-0.0026,0.5,1.19,0.0003,4,4.38,10143.22
14,42,0.473,-0.0013,0.6,1.282,0.0003,5,3.5,10145.93
15,42,2.208,-0.0016,0.5,2.039,0.0016,4,16.65,10161.49
16,42,3.029,-0.0011,1.0,inf,0.0023,1,23.8,10184.82
17,42,-0.851,-0.0033,0.5,0.773,-0.0008,4,-7.01,10176.39
18,42,1.539,-0.0017,1.0,inf,0.0015,1,15.31,10191.4
19,42,-2.396,-0.0044,0.375,0.57,-0.0022,8,-21.04,10168.61
20,42,-1.252,-0.0027,0.25,0.67,-0.0013,8,-11.64,10155.48
21,42,-0.542,-0.0013,0.2222,0.836,-0.0003,9,-2.32,10152.55
22,42,1.432,-0.0005,0.375,1.684,0.0003,8,3.66,10155.77
23,42,-0.486,-0.0019,0.375,0.877,-0.0003,8,-2.18,10152.84
24,42,3.844,-0.0002,0.5,4.487,0.0007,6,7.03,10159.64
25,42,1.989,-0.0004,0.4,2.447,0.0005,5,5.76,10165.07
26,42,2.14,-0.0004,0.5,2.362,0.0004,4,3.89,10168.72
27,42,2.256,-0.0004,0.4,2.853,0.0006,5,6.43,10174.8
28,42,-1.225,-0.0014,0.25,0.57,-0.0005,4,-4.73,10169.5
29,42,-1.341,-0.0001,0.5,0.452,-0.0,2,-0.3,10169.18
30,42,3.359,-0.0001,0.5,6.207,0.0007,4,7.21,10176.2
31,42,2.543,-0.0004,0.3333,4.636,0.0006,3,6.3,10182.09
32,42,2.854,-0.0003,1.0,inf,0.0006,2,6.65,10188.54
33,42,6.479,-0.0005,0.6667,48.426,0.0024,3,24.66,10212.72
34,42,-2.607,-0.0026,0.4,0.274,-0.0016,5,-16.26,10195.75
35,42,3.116,-0.0004,0.6667,4.476,0.0012,3,12.03,10207.36
36,42,3.462,-0.0009,0.5,3.009,0.0023,4,24.11,10230.44
37,42,-1.001,-0.0019,0.0,0.0,-0.0007,2,-6.67,10223.24
38,42,-0.889,-0.0044,0.375,0.74,-0.0013,8,-12.39,10209.32
39,42,5.885,-0.0003,1.0,inf,0.0021,3,21.68,10230.43
40,42,1.634,-0.001,1.0,inf,0.001,1,10.42,10240.53
41,42,4.394,-0.0008,0.75,3.953,0.0023,4,23.85,10263.61
42,42,1.056,-0.0011,0.4,1.456,0.0006,5,7.29,10269.78
43,42,-1.108,-0.0017,0.5,0.143,-0.0008,2,-7.54,10261.7
