window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.65,-0.0003,1.0,inf,0.0006,2,5.93,10005.87
2,21,5.617,-0.0,1.0,inf,0.0,1,0.38,10006.24
3,21,2.126,-0.0008,1.0,inf,0.0007,1,7.21,10013.3
4,21,10.793,-0.0001,1.0,inf,0.0013,1,12.89,10026.06
5,21,-4.462,-0.0027,0.0,0.0,-0.0024,2,-23.5,10002.21
6,21,5.665,-0.0005,1.0,inf,0.0015,2,14.85,10016.94
7,21,3.678,-0.0004,1.0,inf,0.0007,1,6.97,10023.79
8,21,-1.481,-0.0011,0.5,0.396,-0.0006,2,-6.34,10017.25
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.76,10018.92
10,21,3.575,-0.0004,0.3333,3.148,0.0008,3,7.92,10026.51
11,21,7.872,-0.0003,1.0,inf,0.0013,1,12.58,10038.94
12,21,5.742,-0.0009,1.0,inf,0.0016,1,16.48,10055.21
13,21,3.919,-0.0013,1.0,inf,0.0018,1,18.31,10073.31
14,21,4.8,-0.0006,0.4,3.378,0.0013,5,13.15,10086.18
15,21,-2.181,-0.0014,0.4,0.577,-0.0008,10,-8.21,10077.74
16,21,0.576,-0.0004,0.4,1.272,0.0001,5,1.15,10078.77
17,21,3.353,-0.0004,0.3333,2.397,0.0006,3,5.74,10084.34
18,21,2.655,-0.0017,0.3333,4.363,0.0016,3,16.21,10100.23
19,21,3.77,-0.0006,0.6667,3.845,0.0011,3,11.75,10111.68
20,21,7.006,-0.0012,1.0,inf,0.0029,2,29.15,10140.58
21,21,-3.248,-0.0021,0.3333,0.033,-0.0013,3,-12.64,10127.73
22,21,2.442,-0.0005,0.3333,3.027,0.0008,3,7.96,10135.44
23,21,5.545,-0.0008,0.6667,116.412,0.0031,3,31.37,10166.59
24,21,4.071,-0.0007,1.0,inf,0.0012,1,11.8,10178.23
25,21,1.279,-0.0012,1.0,inf,0.0008,1,8.56,10186.59
26,21,-1.053,-0.0024,0.5,0.75,-0.0006,4,-5.59,10180.38
27,21,0.194,-0.0012,0.25,1.083,0.0001,4,1.02,10181.07
28,21,5.474,-0.0003,0.5,15.341,0.001,2,10.72,10191.63
29,21,-0.194,-0.0016,0.3333,0.964,-0.0001,3,-0.57,10190.65
30,21,6.987,-0.0005,0.5,inf,0.0027,2,28.15,10218.43
31,21,3.763,-0.0011,1.0,inf,0.0015,1,14.82,10233.02
32,21,2.849,-0.0008,1.0,inf,0.0008,1,8.22,10241.05
33,21,-2.858,-0.0017,0.5,0.346,-0.001,2,-10.13,10230.51
34,21,4.909,-0.0005,1.0,inf,0.0013,1,13.1,10243.49
35,21,4.131,-0.0007,1.0,inf,0.0011,1,11.4,10254.74
36,21,1.818,-0.001,0.5,4.661,0.0007,2,7.02,10261.63
37,21,-9.656,-0.004,0.0,0.0,-0.004,4,-40.38,10220.71
38,21,1.743,-0.0004,0.5,1.641,0.0004,4,4.49,10224.97
39,21,2.423,-0.0018,0.5,2.34,0.0013,4,13.84,10238.46
40,21,-6.267,-0.0023,0.0,0.0,-0.0023,5,-23.22,10214.82
41,21,-1.568,-0.0013,0.3333,0.374,-0.0004,3,-4.48,10210.21
42,21,0.21,-0.0009,0.1667,1.095,0.0,6,0.59,10210.64
43,21,2.588,-0.0003,0.5,2.362,0.0004,4,3.86,10214.41
44,21,1.126,-0.0002,0.25,1.456,0.0001,4,0.82,10215.12
45,21,-2.694,-0.0012,0.1667,0.569,-0.0006,6,-5.93,10208.88
46,21,1.014,-0.0006,0.6667,1.63,0.0002,3,1.63,10210.45
47,21,6.138,-0.0001,0.6667,11.847,0.0006,3,5.86,10216.25
48,21,4.809,-0.0002,0.25,54.766,0.0005,4,4.8,10221.0
49,21,3.601,-0.0001,0.3333,3.81,0.0002,3,1.9,10222.85
50,21,3.854,-0.0004,0.3333,9.384,0.0008,3,7.8,10230.55
51,21,2.691,-0.0001,0.5,5.858,0.0002,2,1.73,10232.23
52,21,5.121,-0.0,0.5,105.364,0.0007,2,6.89,10239.03
53,21,4.826,-0.0002,0.3333,17.47,0.0008,3,8.11,10247.06
54,21,-1.549,-0.0001,0.0,0.0,-0.0,2,-0.38,10246.66
55,21,-1.643,-0.0005,0.5,0.153,-0.0002,2,-1.78,10244.79
56,21,2.217,-0.0004,0.5,4.564,0.0005,2,4.87,10249.54
57,21,-3.3,-0.0001,0.5,0.156,-0.0,2,-0.46,10249.07
58,21,-2.71,-0.0006,0.0,0.0,-0.0003,2,-3.31,10245.7
59,21,5.076,-0.0001,0.6667,6.662,0.0007,3,7.29,10252.9
60,21,6.781,-0.0003,1.0,inf,0.0011,2,11.28,10263.98
61,21,6.653,-0.0002,1.0,inf,0.0009,2,9.0,10272.87
62,21,3.23,-0.001,1.0,inf,0.0014,1,14.69,10287.38
63,21,-0.312,-0.0001,0.0,0.0,-0.0,1,-0.16,10287.2
64,21,-2.316,-0.0011,0.3333,0.43,-0.0006,3,-5.88,10281.07
65,21,3.579,-0.0005,0.5,8.465,0.0006,2,5.8,10286.69
66,21,8.286,-0.0002,0.5,21.967,0.0011,2,11.01,10297.56
67,21,-1.85,-0.0016,0.3333,0.478,-0.0006,3,-6.42,10290.86
68,21,1.293,-0.0004,0.6667,1.547,0.0002,3,1.93,10292.67
69,21,4.496,-0.0003,0.6667,3.17,0.0007,3,7.43,10299.89
70,21,3.801,-0.0001,1.0,inf,0.0001,1,1.28,10301.15
71,21,3.996,-0.0009,0.6667,2.648,0.0014,3,14.23,10314.94
72,21,0.143,-0.0012,1.0,inf,0.0001,1,0.57,10315.39
73,21,1.474,-0.0008,1.0,inf,0.0005,1,5.11,10320.39
74,21,-3.592,-0.0019,0.0,0.0,-0.0013,2,-13.12,10307.0
75,21,-1.267,-0.0015,0.5,0.257,-0.0008,2,-7.77,10298.92
76,21,4.044,-0.0006,0.6,4.21,0.0018,5,18.22,10316.91
77,21,6.532,-0.0002,1.0,inf,0.0012,2,12.16,10328.95
78,21,6.237,-0.0006,0.5,inf,0.0024,2,24.99,10353.57
79,21,2.392,-0.0008,1.0,inf,0.0007,1,6.93,10360.33
80,21,0.517,-0.0006,1.0,inf,0.0001,1,1.08,10361.29
81,21,9.751,-0.0005,1.0,inf,0.0018,1,18.28,10379.4
82,21,1.913,-0.0011,0.6667,1.912,0.0008,3,8.56,10387.62
83,21,1.643,-0.0011,0.25,1.552,0.0005,4,5.52,10392.76
84,21,0.069,-0.001,0.5,1.049,0.0,2,0.4,10392.86
85,21,-1.003,-0.0009,0.0,0.0,-0.0003,1,-3.36,10389.35
86,21,1.53,-0.0005,1.0,inf,0.0004,1,4.18,10393.42
