window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,63,-1.24,-0.0013,0.375,0.719,-0.0006,16,-5.66,9993.76
2,63,0.945,-0.0001,0.7143,1.699,0.0001,7,1.38,9994.81
3,63,3.426,-0.0,1.0,inf,0.0002,2,2.19,9996.88
4,63,1.548,-0.0,1.0,inf,0.0001,1,0.65,9997.38
5,63,0.0,0.0,0.0,inf,0.0,0,0.0,9997.38
6,63,-2.061,-0.0004,0.3333,0.512,-0.0003,6,-2.09,9994.35
7,63,1.921,-0.0002,0.6667,3.509,0.0003,9,4.42,9997.29
8,63,-1.297,-0.0001,0.5,0.192,-0.0001,2,-0.67,9996.42
9,63,-2.969,-0.0018,0.4444,0.482,-0.0014,18,-12.25,9982.31
10,63,-1.795,-0.0002,0.4286,0.523,-0.0002,7,-1.37,9980.41
11,63,0.0,0.0,0.0,inf,0.0,0,0.0,9980.41
12,63,0.0,0.0,0.0,inf,0.0,0,0.0,9980.41
13,63,1.855,-0.0,1.0,inf,0.0001,1,1.19,9981.5
14,63,-2.151,-0.0003,0.0,0.0,-0.0003,1,-2.82,9978.51
15,63,0.0,0.0,0.0,inf,0.0,0,0.0,9978.51
16,63,1.702,-0.0,1.0,inf,0.0001,1,1.01,9979.36
17,63,0.0,0.0,0.0,inf,0.0,0,0.0,9979.36
18,63,-2.376,-0.0,0.0,0.0,-0.0,1,-0.03,9979.15
19,63,-2.558,-0.0,0.0,0.0,-0.0,1,-0.35,9978.7
20,63,0.0,0.0,0.0,inf,0.0,0,0.0,9978.7
21,63,-2.282,-0.0001,0.0,0.0,-0.0001,1,-0.83,9977.76
22,63,0.0,0.0,0.0,inf,0.0,0,0.0,9977.76
23,63,2.178,-0.0,1.0,inf,0.0002,4,2.85,9979.81
24,63,-1.144,-0.0002,0.5,0.664,-0.0001,4,-0.71,9978.62
