window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,63,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
2,63,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
3,63,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
4,63,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
5,63,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
6,63,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
7,63,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
8,63,0.0,0.0,0.0,inf,0.0,0,0.0,10000.0
9,63,-1.249,-0.0004,0.3333,0.452,-0.0002,3,-1.63,9998.05
10,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
11,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
12,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
13,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
14,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
15,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
16,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
17,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
18,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
19,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
20,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
21,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
22,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
23,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
24,63,0.0,0.0,0.0,inf,0.0,0,0.0,9998.05
