window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,63,-1.648,-0.0016,0.375,0.417,-0.0009,8,-8.84,9990.87
2,63,0.945,-0.0001,0.7143,1.699,0.0001,7,1.38,9991.92
3,63,3.426,-0.0,1.0,inf,0.0002,2,2.19,9993.99
4,63,1.548,-0.0,1.0,inf,0.0001,1,0.64,9994.49
5,63,0.0,0.0,0.0,inf,0.0,0,0.0,9994.49
6,63,-2.061,-0.0004,0.3333,0.512,-0.0003,6,-2.09,9991.46
7,63,1.921,-0.0002,0.6667,3.509,0.0003,9,4.42,9994.4
8,63,-1.297,-0.0001,0.5,0.192,-0.0001,2,-0.67,9993.53
9,63,-3.07,-0.0018,0.3571,0.273,-0.0014,14,-12.54,9979.59
10,63,-1.795,-0.0002,0.4286,0.523,-0.0002,7,-1.37,9977.69
11,63,0.0,0.0,0.0,inf,0.0,0,0.0,9977.69
12,63,0.0,0.0,0.0,inf,0.0,0,0.0,9977.69
13,63,1.855,-0.0,1.0,inf,0.0001,1,1.19,9978.78
14,63,-2.151,-0.0003,0.0,0.0,-0.0003,1,-2.82,9975.8
15,63,0.0,0.0,0.0,inf,0.0,0,0.0,9975.8
16,63,1.702,-0.0,1.0,inf,0.0001,1,1.01,9976.65
17,63,0.0,0.0,0.0,inf,0.0,0,0.0,9976.65
18,63,-2.376,-0.0,0.0,0.0,-0.0,1,-0.03,9976.44
19,63,-2.558,-0.0,0.0,0.0,-0.0,1,-0.35,9975.99
20,63,0.0,0.0,0.0,inf,0.0,0,0.0,9975.99
21,63,-2.282,-0.0001,0.0,0.0,-0.0001,1,-0.83,9975.05
22,63,0.0,0.0,0.0,inf,0.0,0,0.0,9975.05
23,63,2.178,-0.0,1.0,inf,0.0002,4,2.85,9977.1
24,63,-1.144,-0.0002,0.5,0.664,-0.0001,4,-0.71,9975.91
