window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.516,-0.0005,0.5,3.106,0.0011,4,11.2,10010.92
2,21,-4.861,-0.0005,0.0,0.0,-0.0005,3,-5.32,10005.49
3,21,2.127,-0.001,1.0,inf,0.0009,1,8.91,10014.22
4,21,10.793,-0.0001,1.0,inf,0.0017,1,16.55,10030.6
5,21,-4.017,-0.003,0.0,0.0,-0.0025,3,-25.04,10004.98
6,21,3.475,-0.0006,0.6667,2.526,0.0009,3,9.49,10014.21
7,21,3.679,-0.0006,1.0,inf,0.001,1,10.26,10024.29
8,21,-0.65,-0.001,0.5,0.621,-0.0003,2,-3.34,10020.74
9,21,0.98,-0.0005,1.0,inf,0.0002,1,2.04,10022.67
10,21,4.484,-0.0004,0.5,4.799,0.0011,2,10.87,10033.37
11,21,7.873,-0.0004,1.0,inf,0.002,1,19.68,10052.82
12,21,-0.501,-0.0013,0.5,0.909,-0.0001,2,-1.21,10051.22
13,21,3.921,-0.0018,1.0,inf,0.0025,1,25.19,10076.12
14,21,-2.933,-0.0015,0.0,0.0,-0.0007,3,-7.18,10068.75
15,21,-1.961,-0.0017,0.4,0.592,-0.001,10,-9.39,10059.1
16,21,-0.03,-0.001,0.4,1.013,-0.0,5,0.11,10058.98
17,21,5.399,-0.0007,0.6667,6.039,0.0016,3,16.01,10074.73
18,21,1.358,-0.002,1.0,inf,0.0011,1,11.13,10085.66
19,21,7.044,-0.0007,1.0,inf,0.0035,2,35.09,10120.46
20,21,6.864,-0.0017,1.0,inf,0.0042,2,42.88,10163.01
21,21,-2.579,-0.0022,0.25,0.351,-0.0011,4,-10.89,10151.79
22,21,0.901,-0.0014,1.0,inf,0.0004,1,4.52,10156.18
23,21,4.837,-0.0012,0.5,2032.832,0.0038,2,39.1,10195.01
24,21,4.071,-0.0008,1.0,inf,0.0012,1,12.66,10207.5
25,21,1.28,-0.0016,1.0,inf,0.0011,1,11.36,10218.58
26,21,-0.078,-0.0024,0.0,0.0,-0.0,1,-0.44,10217.98
27,21,1.04,-0.0016,0.5,1.384,0.0006,4,6.18,10223.73
28,21,7.245,-0.0003,0.5,872.305,0.0016,2,15.9,10239.52
29,21,-1.115,-0.0031,0.3333,0.738,-0.0008,3,-8.18,10230.64
30,21,7.03,-0.0007,1.0,inf,0.004,1,40.94,10271.26
31,21,3.765,-0.0015,1.0,inf,0.002,1,20.91,10291.85
32,21,2.85,-0.001,1.0,inf,0.001,1,10.51,10302.12
33,21,-2.703,-0.0022,0.5,0.37,-0.0012,2,-12.27,10289.31
34,21,4.909,-0.0007,1.0,inf,0.0017,1,17.81,10306.96
35,21,4.13,-0.0005,1.0,inf,0.0009,1,9.04,10315.88
36,21,2.067,-0.0011,0.5,8.8,0.0009,2,8.9,10324.65
37,21,-10.005,-0.0055,0.0,0.0,-0.0055,6,-55.9,10267.63
38,21,3.935,-0.0011,0.6667,3.391,0.0019,3,20.06,10287.35
39,21,2.023,-0.0028,0.5,1.741,0.0016,4,17.21,10303.95
40,21,-5.835,-0.0032,0.0,0.0,-0.0031,5,-31.77,10271.6
41,21,-1.23,-0.0018,0.3333,0.421,-0.0006,3,-5.53,10265.87
42,21,3.559,-0.0005,0.75,4.613,0.0009,4,9.5,10275.24
43,21,3.519,-0.0004,0.3333,5.202,0.0007,3,7.6,10282.7
44,21,1.902,-0.0009,0.3333,2.115,0.0007,3,7.18,10289.65
45,21,-3.222,-0.0022,0.0,0.0,-0.0014,4,-14.11,10275.19
46,21,-1.297,-0.0008,0.3333,0.081,-0.0003,3,-2.82,10272.29
47,21,6.193,-0.0002,0.75,5.998,0.001,4,10.17,10282.32
48,21,4.268,-0.0005,0.25,4.646,0.001,4,10.58,10292.76
49,21,0.856,-0.0002,0.3333,1.325,0.0001,3,0.81,10293.46
50,21,3.062,-0.0008,0.3333,5.12,0.0012,3,12.6,10305.88
51,21,4.127,-0.0002,1.0,inf,0.0003,1,3.08,10308.94
52,21,2.237,-0.0011,0.5,6.645,0.001,2,10.39,10319.09
53,21,6.41,-0.0004,0.5,57.943,0.0021,2,21.54,10340.46
54,21,0.267,-0.0002,0.3333,1.232,0.0,3,0.34,10340.72
55,21,-0.181,-0.001,0.5,0.898,-0.0001,2,-0.48,10339.97
56,21,1.435,-0.001,0.3333,1.756,0.0005,3,5.75,10345.39
57,21,3.212,-0.0001,0.5,6.226,0.0003,2,2.93,10348.26
58,21,-2.42,-0.0007,0.0,0.0,-0.0004,2,-4.16,10344.02
59,21,6.049,-0.0003,0.6667,6.618,0.0016,3,16.73,10360.51
60,21,6.774,-0.0005,1.0,inf,0.0021,1,21.95,10382.28
61,21,5.427,-0.0004,1.0,inf,0.0013,1,13.19,10395.36
62,21,3.231,-0.0016,1.0,inf,0.0023,1,24.3,10419.36
63,21,-0.312,-0.0001,0.0,0.0,-0.0,1,-0.1,10419.25
64,21,-1.94,-0.0017,0.3333,0.476,-0.0008,3,-7.86,10410.99
65,21,8.893,-0.0001,0.5,34.322,0.0011,2,11.13,10422.03
66,21,9.798,-0.0002,0.6667,10.963,0.0017,3,17.35,10439.14
67,21,-1.812,-0.0026,0.3333,0.372,-0.0011,3,-10.82,10427.85
68,21,1.176,-0.0006,0.3333,1.446,0.0003,3,2.9,10430.55
69,21,5.341,-0.0004,0.6667,4.029,0.0012,3,12.27,10442.52
70,21,3.801,-0.0001,1.0,inf,0.0001,1,1.33,10443.83
71,21,3.459,-0.0012,1.0,inf,0.0015,1,15.93,10459.58
72,21,0.145,-0.0019,1.0,inf,0.0001,1,0.95,10460.31
73,21,1.474,-0.0007,1.0,inf,0.0004,1,4.57,10464.79
74,21,-3.31,-0.0023,0.0,0.0,-0.0016,3,-16.37,10447.92
75,21,-1.26,-0.0025,0.5,0.258,-0.0012,2,-12.52,10434.89
76,21,4.098,-0.0007,0.6,4.514,0.0023,5,24.38,10458.98
77,21,6.532,-0.0003,1.0,inf,0.0014,2,14.56,10473.4
78,21,6.3,-0.0008,1.0,inf,0.0034,1,35.17,10508.28
79,21,2.393,-0.0011,1.0,inf,0.0009,1,9.19,10517.26
80,21,0.517,-0.0008,1.0,inf,0.0001,1,1.32,10518.45
81,21,9.752,-0.0007,1.0,inf,0.0026,1,26.87,10545.06
82,21,0.779,-0.0015,0.3333,1.317,0.0004,3,4.23,10548.94
83,21,4.037,-0.0007,0.3333,2.871,0.0013,3,13.53,10562.18
84,21,0.509,-0.0012,0.5,1.244,0.0002,2,2.44,10564.21
85,21,-0.48,-0.0013,0.5,0.762,-0.0002,2,-2.15,10561.63
86,21,1.53,-0.0006,1.0,inf,0.0005,1,4.97,10566.47
