window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.516,-0.0005,0.5,3.106,0.0011,4,11.2,10010.92
2,21,-3.456,-0.0004,0.0,0.0,-0.0004,5,-3.94,10006.68
3,21,5.426,-0.0007,0.3333,45.351,0.0017,3,17.29,10023.72
4,21,10.793,-0.0001,1.0,inf,0.0017,1,16.56,10040.12
5,21,-5.715,-0.0039,0.0,0.0,-0.0039,4,-38.2,10001.04
6,21,2.843,-0.0006,0.5,2.091,0.0008,4,8.1,10008.81
7,21,0.297,-0.001,0.5,1.245,0.0001,4,1.36,10009.37
8,21,-0.65,-0.001,0.5,0.621,-0.0003,2,-3.34,10005.82
9,21,0.98,-0.0005,1.0,inf,0.0002,1,2.03,10007.75
10,21,4.484,-0.0004,0.5,4.799,0.0011,2,10.85,10018.44
11,21,7.732,-0.0001,1.0,inf,0.0011,2,11.2,10029.36
12,21,-2.273,-0.0013,0.8,0.602,-0.0006,5,-5.3,10023.48
13,21,4.6,-0.0009,0.3333,4.074,0.0022,3,22.69,10045.72
14,21,-5.045,-0.003,0.2857,0.175,-0.0027,7,-26.52,10018.62
15,21,-1.494,-0.0016,0.4545,0.698,-0.0007,11,-6.97,10011.36
16,21,2.677,-0.0002,0.6,3.303,0.0006,5,6.01,10017.25
17,21,3.813,-0.0003,0.5714,3.353,0.0007,7,7.77,10024.35
18,21,4.995,-0.0006,1.0,inf,0.0015,3,15.81,10039.65
19,21,2.755,-0.001,0.6,3.137,0.0013,5,13.55,10052.5
20,21,6.851,-0.0017,1.0,inf,0.0042,2,42.49,10094.66
21,21,-3.323,-0.0034,0.5,0.316,-0.0025,6,-24.32,10069.76
22,21,0.685,-0.0015,0.25,1.279,0.0003,4,4.0,10073.13
23,21,3.737,-0.0012,0.8,21.183,0.0028,5,28.34,10100.93
24,21,4.071,-0.0008,1.0,inf,0.0012,1,12.55,10113.31
25,21,1.28,-0.0016,1.0,inf,0.0011,1,11.25,10124.29
26,21,-0.078,-0.0024,0.0,0.0,-0.0,1,-0.43,10123.69
27,21,1.164,-0.0016,0.5714,1.458,0.0007,7,8.12,10130.85
28,21,3.602,-0.0005,1.0,inf,0.0008,3,8.81,10139.34
29,21,-1.953,-0.0031,0.6,0.593,-0.0013,5,-12.57,10125.91
30,21,7.03,-0.0007,1.0,inf,0.004,1,40.52,10166.11
31,21,4.278,-0.0002,1.0,inf,0.0009,2,9.0,10174.73
32,21,2.85,-0.001,1.0,inf,0.001,1,10.39,10184.88
33,21,-2.703,-0.0022,0.5,0.37,-0.0012,2,-12.13,10172.22
34,21,4.016,-0.0007,1.0,inf,0.0014,2,14.01,10185.93
35,21,3.696,-0.0005,1.0,inf,0.0007,2,7.27,10192.97
36,21,1.658,-0.0009,0.6,1.869,0.0006,5,6.7,10199.19
37,21,-10.005,-0.0055,0.0,0.0,-0.0055,6,-55.22,10142.86
38,21,-2.402,-0.0025,0.1667,0.517,-0.0012,6,-12.16,10130.08
39,21,2.023,-0.0028,0.5,1.741,0.0016,4,16.95,10146.42
40,21,-6.243,-0.0034,0.1667,0.005,-0.0034,6,-33.69,10112.08
41,21,-1.23,-0.0018,0.3333,0.421,-0.0006,3,-5.45,10106.44
42,21,3.559,-0.0005,0.75,4.613,0.0009,4,9.36,10115.66
43,21,3.519,-0.0004,0.3333,5.202,0.0007,3,7.48,10123.0
44,21,1.902,-0.0009,0.3333,2.115,0.0007,3,7.07,10129.84
45,21,-3.222,-0.0022,0.0,0.0,-0.0014,4,-13.89,10115.6
46,21,-1.297,-0.0008,0.3333,0.081,-0.0003,3,-2.77,10112.74
47,21,6.193,-0.0002,0.75,5.998,0.001,4,10.02,10122.62
48,21,4.268,-0.0005,0.25,4.646,0.001,4,10.41,10132.9
49,21,2.748,-0.0002,0.5,2.759,0.0002,2,2.07,10134.92
50,21,0.0,0.0,0.0,inf,0.0,0,0.0,10134.92
51,21,0.947,-0.0005,0.5,1.346,0.0002,6,1.98,10136.62
52,21,1.321,-0.0004,0.5,3.967,0.0002,2,2.15,10138.66
53,21,6.007,-0.0002,1.0,inf,0.001,5,10.39,10148.68
54,21,0.0,0.0,0.0,inf,0.0,0,0.0,10148.68
55,21,3.906,-0.0003,1.0,inf,0.0005,1,5.58,10154.19
56,21,1.435,-0.001,0.3333,1.756,0.0005,3,5.64,10159.52
57,21,-0.188,-0.0003,0.2,0.997,-0.0,5,-0.01,10159.29
58,21,-0.301,-0.0006,0.25,0.909,-0.0,4,-0.25,10158.74
59,21,7.532,-0.0,1.0,inf,0.0007,3,7.69,10166.29
60,21,9.091,-0.0002,1.0,inf,0.0014,5,15.01,10180.58
61,21,3.971,-0.0004,0.5,3.561,0.0014,4,14.53,10194.47
62,21,3.688,-0.0007,0.75,68.108,0.0015,4,15.87,10209.79
63,21,2.503,-0.0008,1.0,inf,0.0007,2,7.6,10217.19
64,21,-1.94,-0.0017,0.3333,0.476,-0.0008,3,-7.71,10209.09
65,21,5.793,-0.0002,0.8,5.266,0.0008,5,8.56,10217.2
66,21,2.372,-0.0002,0.5,5.399,0.0002,6,3.24,10219.59
67,21,-0.275,-0.0015,0.5,0.896,-0.0001,4,-0.98,10218.18
68,21,-1.426,-0.0006,0.4,0.557,-0.0003,5,-2.44,10215.49
69,21,2.37,-0.0005,0.6,2.201,0.0006,5,6.46,10221.5
70,21,-1.083,-0.0005,0.0,0.0,-0.0002,4,-1.23,10219.88
71,21,3.459,-0.0012,1.0,inf,0.0015,1,15.59,10235.29
72,21,0.145,-0.0019,1.0,inf,0.0001,1,0.93,10236.01
73,21,4.8,-0.0007,1.0,inf,0.0012,2,12.65,10248.42
74,21,-2.684,-0.0019,0.25,0.324,-0.0013,4,-12.59,10235.18
75,21,-1.26,-0.0025,0.5,0.258,-0.0012,2,-12.26,10222.42
76,21,4.098,-0.0007,0.6,4.514,0.0023,5,23.89,10246.02
77,21,6.532,-0.0003,1.0,inf,0.0014,2,14.26,10260.15
78,21,6.3,-0.0008,1.0,inf,0.0034,1,34.45,10294.32
79,21,2.638,-0.0006,1.0,inf,0.0005,2,5.68,10299.68
80,21,-1.291,-0.0013,0.0,0.0,-0.0004,2,-3.55,10295.77
81,21,10.544,-0.0001,0.75,21.205,0.0012,4,12.23,10307.45
82,21,-1.312,-0.0015,0.6,0.542,-0.0006,5,-5.97,10301.08
83,21,4.58,-0.0008,0.5,3.629,0.0014,4,14.96,10315.72
84,21,-0.57,-0.0015,0.5,0.859,-0.0003,4,-2.11,10312.87
85,21,-0.48,-0.0013,0.5,0.762,-0.0002,2,-2.1,10310.35
86,21,0.49,-0.0005,0.75,1.247,0.0001,4,1.28,10311.32
