window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,63,5.503,-0.0002,0.7143,33.337,0.0017,7,18.23,10017.25
2,63,-3.071,-0.0029,0.1667,0.167,-0.0024,6,-23.19,9993.32
3,63,-0.017,-0.0002,0.6667,1.09,-0.0,6,0.16,9993.27
4,63,-1.299,-0.0004,0.5714,0.673,-0.0002,7,-1.56,9991.4
5,63,-1.071,-0.0003,0.5,0.573,-0.0002,6,-1.12,9989.9
6,63,-1.16,-0.0003,0.3333,0.784,-0.0002,12,-0.72,9988.32
7,63,0.894,-0.0008,0.4375,1.357,0.0003,16,3.8,9991.3
8,63,-1.1,-0.0003,0.4286,0.725,-0.0002,14,-1.55,9989.48
9,63,3.851,-0.0001,0.8182,6.313,0.0007,11,7.19,9996.1
10,63,4.696,-0.0002,0.875,26.686,0.0009,8,9.41,10005.1
11,63,1.834,-0.0003,0.75,3.598,0.0006,4,6.4,10011.08
12,63,2.461,-0.0001,0.6667,5.933,0.0003,3,2.61,10013.55
13,63,1.57,-0.0009,1.0,inf,0.0008,2,7.94,10021.09
14,63,3.847,-0.0002,1.0,inf,0.0012,4,12.55,10033.27
15,63,-1.259,-0.0016,0.4,0.508,-0.0008,5,-7.13,10025.64
16,63,-2.609,-0.0008,0.2857,0.074,-0.0007,7,-6.75,10018.62
17,63,-0.659,-0.0003,0.5385,0.89,-0.0001,13,-0.44,10017.79
18,63,-0.515,-0.0003,0.5,0.754,-0.0001,12,-0.33,10017.13
19,63,1.125,-0.0003,0.5455,1.654,0.0002,11,2.56,10019.2
20,63,-0.055,-0.0003,0.375,1.114,-0.0,8,0.25,10019.14
21,63,0.567,-0.0003,0.5556,1.337,0.0001,9,1.17,10019.84
22,63,-3.348,-0.0004,0.3333,0.351,-0.0003,9,-2.88,10016.46
23,63,2.023,-0.0002,0.7,8.848,0.0004,10,4.6,10020.36
24,63,0.934,-0.0002,0.6667,1.938,0.0001,9,1.52,10021.33
25,63,-0.545,-0.0009,0.5,0.818,-0.0002,6,-1.34,10019.54
26,63,0.499,-0.0004,0.5,1.488,0.0002,4,1.9,10021.05
27,63,-0.977,-0.0015,0.5,0.165,-0.0005,2,-5.19,10015.61
28,63,3.072,-0.0002,0.8,7.798,0.0009,5,9.12,10024.55
29,63,3.62,-0.0006,1.0,inf,0.0018,3,18.19,10042.22
30,63,0.65,-0.0013,1.0,inf,0.0005,1,5.23,10047.2
