window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,63,-1.808,-0.0011,0.4091,0.656,-0.0008,22,-7.41,9991.64
2,63,1.329,-0.0003,0.6364,1.611,0.0003,11,3.23,9994.54
3,63,6.091,-0.0001,1.0,inf,0.0007,9,7.47,10001.47
4,63,-0.173,-0.0004,0.625,1.012,-0.0,8,0.03,10001.17
5,63,0.573,-0.0004,0.5455,1.385,0.0001,11,2.01,10002.44
6,63,2.412,-0.0003,0.8,17.955,0.0005,5,4.97,10007.04
7,63,1.124,-0.0005,0.625,2.38,0.0003,8,4.07,10010.11
8,63,0.84,-0.0005,0.6364,1.856,0.0003,11,3.38,10012.61
9,63,-1.225,-0.0016,0.375,0.632,-0.0007,8,-6.74,10005.05
10,63,-2.581,-0.0012,0.5333,0.395,-0.001,15,-9.41,9994.94
11,63,-1.051,-0.0007,0.5333,0.821,-0.0002,15,-1.53,9992.77
12,63,0.191,-0.0002,0.5455,1.379,0.0,11,0.58,9992.95
13,63,-0.814,-0.0003,0.6364,0.865,-0.0001,11,-0.67,9991.72
14,63,2.668,-0.0002,0.8,32.707,0.0005,5,5.22,9996.62
15,63,1.244,-0.0003,0.625,2.058,0.0002,8,2.82,9998.78
16,63,0.832,-0.0002,0.6667,1.914,0.0001,6,1.33,9999.72
17,63,4.091,-0.0002,0.7273,7.13,0.0008,11,8.98,10007.84
18,63,1.449,-0.0001,0.6667,3.205,0.0002,9,2.51,10009.62
19,63,-1.618,-0.0004,0.625,0.519,-0.0003,8,-2.16,10006.92
20,63,-0.632,-0.0006,0.3333,0.789,-0.0002,6,-1.11,10005.25
21,63,-3.385,-0.0006,0.1667,0.1,-0.0006,12,-5.5,9999.13
22,63,-0.316,-0.0002,0.25,0.918,-0.0,4,-0.15,9998.79
23,63,2.758,-0.0003,1.0,inf,0.0005,3,5.45,10003.97
24,63,-1.235,-0.0007,0.4286,0.589,-0.0004,7,-3.62,9999.69
