window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,42,4.146,-0.0003,0.75,37.333,0.0014,4,14.46,10013.7
2,42,-3.47,-0.005,0.4,0.082,-0.0046,5,-43.92,9967.72
3,42,-1.942,-0.0044,0.3333,0.442,-0.0019,6,-17.65,9948.74
4,42,-3.613,-0.0011,0.4,0.221,-0.0008,5,-7.92,9940.26
5,42,1.507,-0.0003,0.5,2.375,0.0003,4,3.7,9943.44
6,42,-2.641,-0.0021,0.2857,0.26,-0.0015,7,-14.8,9927.65
7,42,-0.452,-0.0012,0.3333,0.777,-0.0003,3,-2.21,9924.9
8,42,2.195,-0.0013,0.6,2.865,0.0019,5,19.9,9943.69
9,42,-1.147,-0.0005,0.4,0.782,-0.0002,5,-1.06,9941.6
10,42,-0.328,-0.0027,0.3333,0.914,-0.0003,6,-1.5,9938.82
11,42,2.263,-0.0007,0.5,1.934,0.0011,12,11.87,9950.03
12,42,3.241,-0.0003,0.5714,2.858,0.0009,7,9.81,9959.33
13,42,7.173,-0.0003,1.0,inf,0.0026,2,26.48,9985.36
14,42,-0.54,-0.0011,0.5714,0.889,-0.0002,7,-1.37,9982.81
15,42,4.378,-0.0001,1.0,inf,0.0007,5,6.95,9989.35
16,42,2.95,-0.0006,1.0,inf,0.0013,3,13.66,10002.4
17,42,3.172,-0.0007,0.6,12.135,0.0017,5,17.93,10019.3
18,42,1.505,-0.002,1.0,inf,0.0014,1,14.07,10032.86
19,42,2.66,-0.001,1.0,inf,0.0016,1,15.67,10048.16
20,42,0.919,-0.002,0.5,1.595,0.0008,2,8.08,10055.46
21,42,1.809,-0.0009,1.0,inf,0.0009,1,9.39,10064.64
22,42,-1.215,-0.003,0.25,0.63,-0.0012,4,-10.75,10052.69
23,42,1.137,-0.0006,0.7143,1.555,0.0004,7,4.28,10056.26
24,42,-4.444,-0.0022,0.2222,0.054,-0.0018,9,-17.63,10038.03
25,42,-0.199,-0.001,0.25,0.992,-0.0001,8,-0.06,10037.32
26,42,0.084,-0.0003,0.5,1.209,0.0,12,0.71,10037.41
27,42,0.688,-0.0004,0.6667,1.749,0.0001,3,1.13,10038.41
28,42,1.591,-0.0007,0.3333,2.179,0.0007,6,7.36,10045.15
29,42,0.29,-0.0006,0.6667,1.237,0.0001,3,1.25,10046.03
30,42,2.893,-0.0001,0.8571,4.507,0.0003,7,4.01,10049.37
31,42,-3.928,-0.0013,0.25,0.127,-0.001,4,-9.6,10039.1
32,42,-4.434,-0.001,0.2,0.052,-0.001,5,-9.33,10028.91
33,42,-4.894,-0.001,0.0,0.0,-0.001,6,-9.81,10018.45
34,42,3.245,-0.0004,0.6667,32.563,0.0014,3,14.07,10031.9
35,42,-0.579,-0.0008,0.4,0.66,-0.0001,5,-0.9,10030.32
36,42,2.877,-0.0003,0.8,410.402,0.0005,5,5.93,10035.73
37,42,0.982,-0.0017,0.6,1.532,0.0006,5,7.01,10041.53
38,42,2.437,-0.0005,0.5,6.152,0.0009,2,9.02,10049.97
39,42,-0.295,-0.0014,0.5,0.82,-0.0002,2,-1.57,10047.89
40,42,-0.573,-0.0018,0.0,0.0,-0.0004,1,-3.94,10043.65
41,42,0.401,-0.0032,0.5,1.217,0.0007,6,7.84,10050.16
42,42,5.604,-0.0002,1.0,inf,0.0011,2,11.17,10061.14
43,42,2.317,-0.0012,1.0,inf,0.0017,2,17.35,10077.86
44,42,3.061,-0.0006,1.0,inf,0.001,3,10.57,10087.85
45,42,-1.122,-0.0014,0.3333,0.718,-0.0007,3,-5.61,10080.8
46,42,-0.645,-0.0007,0.5,0.212,-0.0003,2,-2.75,10077.65
