window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,42,5.668,-0.0003,0.8,63.27,0.0024,5,24.78,10023.35
2,42,-3.639,-0.0039,0.4,0.105,-0.0035,5,-33.45,9988.3
3,42,-1.397,-0.0024,0.3333,0.59,-0.0007,6,-6.86,9980.7
4,42,-0.495,-0.0003,0.5,0.895,-0.0001,6,-0.38,9979.89
5,42,2.357,-0.0003,0.6,5.18,0.0005,5,5.94,9985.03
6,42,-2.389,-0.0021,0.4286,0.321,-0.0014,7,-13.38,9970.62
7,42,-1.927,-0.0007,0.25,0.209,-0.0004,4,-3.83,9966.37
8,42,-1.837,-0.0008,0.5,0.384,-0.0004,8,-3.03,9962.46
9,42,-3.074,-0.0007,0.3333,0.49,-0.0005,6,-3.64,9957.83
10,42,2.953,-0.0006,0.375,2.903,0.0013,8,13.62,9970.08
11,42,0.558,-0.0005,0.5,1.196,0.0002,12,1.91,9971.62
12,42,-0.965,-0.0007,0.3333,0.776,-0.0003,9,-1.98,9969.03
13,42,4.562,-0.0002,0.8333,10.702,0.001,6,10.94,9979.14
14,42,-0.017,-0.0011,0.8,1.053,-0.0,5,0.36,9978.96
15,42,4.385,-0.0003,1.0,inf,0.001,4,10.23,9988.74
16,42,1.413,-0.0006,0.5,2.497,0.0007,4,7.37,9995.27
17,42,3.702,-0.0007,0.75,31.894,0.002,4,20.17,10014.74
18,42,1.505,-0.002,1.0,inf,0.0014,1,14.06,10028.3
19,42,2.965,-0.001,1.0,inf,0.0018,2,18.05,10045.55
20,42,-0.263,-0.002,0.6667,0.889,-0.0002,3,-1.51,10043.07
21,42,1.809,-0.0009,1.0,inf,0.0009,1,9.38,10052.24
22,42,-2.724,-0.003,0.25,0.255,-0.0022,4,-21.65,10029.68
23,42,-0.022,-0.0007,0.4286,1.044,-0.0,7,0.42,10029.49
24,42,-1.87,-0.0014,0.2857,0.407,-0.0007,7,-6.33,10022.73
25,42,-2.464,-0.0007,0.375,0.332,-0.0004,8,-3.27,10018.98
26,42,0.702,-0.0003,0.5455,1.904,0.0002,11,1.96,10020.39
27,42,-0.278,-0.0004,0.6,0.859,-0.0,5,-0.23,10019.94
28,42,1.12,-0.0007,0.5,1.575,0.0003,8,3.58,10022.77
29,42,-2.505,-0.001,0.6,0.255,-0.0007,5,-6.8,10015.44
30,42,3.989,-0.0002,1.0,inf,0.0004,6,4.28,10019.35
31,42,-0.646,-0.0006,0.5,0.896,-0.0001,6,-0.71,10017.92
32,42,-5.762,-0.0009,0.125,0.058,-0.0009,8,-8.18,10008.99
33,42,-3.646,-0.0004,0.1429,0.341,-0.0004,7,-3.34,10004.89
34,42,1.502,-0.0004,0.5714,6.363,0.0005,7,5.42,10009.25
35,42,-1.034,-0.0008,0.3333,0.499,-0.0002,6,-1.75,10006.7
36,42,2.309,-0.0003,0.8571,51.861,0.0004,7,5.18,10010.93
37,42,-0.639,-0.0017,0.6,0.83,-0.0003,5,-2.23,10007.87
38,42,3.635,-0.0004,0.5,21.153,0.001,2,10.23,10017.8
39,42,-0.101,-0.001,0.6667,0.99,-0.0,3,-0.07,10017.27
40,42,-0.573,-0.0018,0.0,0.0,-0.0004,1,-3.93,10013.05
41,42,-1.228,-0.0028,0.5,0.602,-0.0012,6,-11.29,10000.98
42,42,5.604,-0.0002,1.0,inf,0.0011,2,11.11,10011.9
43,42,2.317,-0.0012,1.0,inf,0.0017,2,17.27,10028.54
44,42,2.394,-0.0006,1.0,inf,0.0008,2,8.44,10036.61
45,42,-0.235,-0.0014,0.3333,0.958,-0.0001,3,-0.62,10035.04
46,42,-0.645,-0.0007,0.5,0.212,-0.0003,2,-2.74,10031.91
