window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,5.706,-0.0003,0.5,28.177,0.001,4,10.81,10010.06
2,21,5.092,-0.0008,1.0,inf,0.0016,1,15.7,10025.18
3,21,2.272,-0.0003,0.6667,9.694,0.0003,3,3.52,10027.7
4,21,-5.552,-0.0033,0.0,0.0,-0.0032,3,-31.13,9995.65
5,21,0.802,-0.0006,0.3333,1.263,0.0001,3,1.36,9996.69
6,21,-2.615,-0.0016,0.4286,0.584,-0.0007,7,-6.18,9989.76
7,21,1.188,-0.0002,0.75,1.748,0.0001,4,1.23,9990.74
8,21,-5.632,-0.0003,0.0,0.0,-0.0003,3,-2.39,9988.15
9,21,0.865,-0.0003,0.5,2.143,0.0001,2,1.39,9989.18
10,21,4.557,-0.0,1.0,inf,0.0001,2,1.58,9990.59
11,21,-4.542,-0.0021,0.25,0.08,-0.0018,4,-17.43,9972.41
12,21,6.15,-0.0001,0.75,8.176,0.0006,4,5.88,9977.95
13,21,2.064,-0.0001,1.0,inf,0.0001,1,1.65,9979.41
14,21,-2.35,-0.0003,0.3333,0.566,-0.0002,6,-1.64,9977.36
15,21,-1.813,-0.0001,0.5,0.908,-0.0001,4,-0.08,9976.79
16,21,2.338,-0.0002,1.0,inf,0.0003,2,3.15,9979.67
17,21,-2.061,-0.0004,0.5,0.636,-0.0002,2,-1.25,9978.08
18,21,-12.452,-0.0009,0.0,0.0,-0.0009,5,-8.04,9969.17
19,21,6.481,-0.0002,0.5,18.595,0.0014,4,15.02,9983.1
20,21,-1.184,-0.0004,0.3333,0.702,-0.0002,3,-1.43,9981.33
21,21,-1.153,-0.0005,0.375,0.783,-0.0002,8,-1.36,9979.77
22,21,1.804,-0.0002,0.6,1.625,0.0002,5,1.84,9981.46
23,21,2.614,-0.0003,0.5,2.631,0.0003,4,3.31,9984.47
24,21,-4.329,-0.0007,0.5,0.184,-0.0007,8,-6.51,9977.51
25,21,4.033,-0.0002,1.0,inf,0.0004,1,4.24,9981.65
26,21,8.108,-0.0001,0.8,13.23,0.0011,5,11.31,9992.13
27,21,-3.476,-0.0011,0.3333,0.064,-0.0008,3,-7.61,9984.1
28,21,7.925,-0.0001,1.0,inf,0.0006,2,5.8,9989.79
29,21,6.778,-0.0001,1.0,inf,0.0006,3,6.1,9995.63
30,21,2.781,-0.0003,1.0,inf,0.0003,1,3.45,9998.9
31,21,1.917,-0.0006,0.5,3.244,0.0006,2,5.7,10004.04
32,21,6.394,-0.0002,0.3333,5.271,0.0009,3,8.93,10012.58
33,21,2.34,-0.0007,1.0,inf,0.0008,1,7.86,10020.15
34,21,4.087,-0.0002,0.6667,4.292,0.0003,3,3.49,10023.36
35,21,0.446,-0.002,1.0,inf,0.0002,1,2.42,10025.27
36,21,3.142,-0.0007,1.0,inf,0.0007,1,7.49,10032.42
37,21,2.832,-0.001,1.0,inf,0.0009,1,9.27,10041.33
38,21,2.546,-0.0003,1.0,inf,0.0004,2,3.81,10044.63
39,21,-1.726,-0.0015,0.5,0.626,-0.0005,2,-5.09,10038.76
40,21,5.361,-0.0004,1.0,inf,0.0015,1,14.74,10053.2
41,21,5.343,-0.0002,1.0,inf,0.0005,1,5.06,10058.06
42,21,2.403,-0.0009,0.3333,2.44,0.0011,3,10.96,10068.39
43,21,-9.571,-0.0022,0.0,0.0,-0.0022,3,-21.68,10046.0
44,21,-0.514,-0.001,0.5,0.819,-0.0001,2,-1.0,10044.76
45,21,3.324,-0.0006,0.75,2.788,0.0006,4,6.35,10050.74
46,21,-6.615,-0.0011,0.0,0.0,-0.001,4,-9.97,10040.39
47,21,-1.933,-0.0009,0.3333,0.186,-0.0004,3,-3.79,10036.41
48,21,-2.41,-0.0002,0.25,0.509,-0.0002,4,-1.57,10034.67
49,21,-5.064,-0.0003,0.2,0.067,-0.0003,5,-3.1,10031.29
50,21,2.278,-0.0,0.6,17.491,0.0001,5,1.14,10032.17
51,21,0.612,-0.0002,0.3333,1.478,0.0,6,0.77,10032.56
52,21,-0.763,-0.0004,0.0,0.0,-0.0001,2,-0.8,10031.66
53,21,-1.847,-0.0003,0.5,0.006,-0.0002,2,-1.5,10030.08
54,21,1.301,-0.0002,0.5,1.849,0.0001,2,0.73,10030.7
55,21,-8.093,-0.0005,0.2,0.041,-0.0005,5,-4.5,10025.86
56,21,2.071,-0.0002,1.0,inf,0.0002,3,2.09,10027.7
57,21,-1.644,-0.0005,0.5,0.418,-0.0003,2,-2.54,10024.95
58,21,-2.22,-0.0003,0.3333,0.268,-0.0002,3,-1.49,10023.21
59,21,1.993,-0.0,1.0,inf,0.0001,5,0.82,10023.73
60,21,1.517,-0.0004,0.5,1.64,0.0002,6,2.55,10025.29
61,21,-5.422,-0.0006,0.0,0.0,-0.0004,2,-3.92,10021.06
62,21,-1.493,-0.0002,0.2,0.707,-0.0001,5,-0.19,10020.4
63,21,-4.01,-0.0004,0.25,0.14,-0.0003,4,-3.1,10016.84
64,21,-6.727,-0.0005,0.0,0.0,-0.0005,4,-4.54,10011.89
65,21,-9.044,-0.0003,0.0,0.0,-0.0003,4,-2.82,10008.82
66,21,-2.554,-0.0002,0.5,0.434,-0.0001,2,-0.97,10007.61
67,21,3.641,-0.0003,0.5,15.202,0.0006,2,6.32,10013.46
68,21,2.316,-0.0001,0.5,2.855,0.0002,6,2.06,10014.79
69,21,4.133,-0.0002,1.0,inf,0.0004,3,4.21,10018.6
70,21,-4.401,-0.0004,0.25,0.015,-0.0004,4,-3.35,10014.84
71,21,1.308,-0.0003,0.6667,7.746,0.0001,3,1.66,10016.17
72,21,3.674,-0.0001,0.8,19.079,0.0003,5,3.71,10018.82
73,21,-2.428,-0.0012,0.6667,0.257,-0.0006,3,-5.68,10012.62
74,21,3.514,-0.0003,1.0,inf,0.0004,1,4.44,10016.96
75,21,4.985,-0.0004,1.0,inf,0.0008,1,7.53,10024.31
76,21,3.297,-0.0003,1.0,inf,0.0006,1,6.46,10030.49
77,21,5.662,-0.0003,1.0,inf,0.0006,1,6.26,10036.64
78,21,-1.972,-0.001,0.0,0.0,-0.0006,1,-6.31,10030.04
79,21,2.696,-0.0007,1.0,inf,0.0009,1,8.69,10038.43
80,21,-3.948,-0.0014,0.0,0.0,-0.001,2,-9.71,10028.23
81,21,-1.063,-0.001,0.5,0.631,-0.0003,2,-3.11,10024.7
82,21,3.401,-0.0004,0.75,4.981,0.001,4,10.7,10035.13
83,21,5.376,-0.0002,1.0,inf,0.0006,2,6.41,10041.35
84,21,7.589,-0.0002,1.0,inf,0.0009,1,8.58,10049.78
85,21,2.074,-0.0012,1.0,inf,0.0007,2,7.69,10056.84
86,21,0.335,-0.0003,1.0,inf,0.0,2,0.7,10057.23
87,21,5.511,-0.0003,1.0,inf,0.0004,2,4.63,10061.5
88,21,1.375,-0.0015,1.0,inf,0.0008,1,8.07,10069.05
89,21,-0.085,-0.0014,0.5,0.996,-0.0,2,-0.05,10068.46
90,21,0.171,-0.0006,1.0,inf,0.0,1,0.26,10068.5
91,21,0.01,-0.0006,0.5,2.308,0.0,2,0.42,10068.52
92,21,0.561,-0.0004,1.0,inf,0.0001,1,1.1,10069.42
