window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,42,6.09,-0.0002,0.8571,33.922,0.0015,7,16.21,10014.87
2,42,-3.171,-0.004,0.25,0.01,-0.0037,4,-36.08,9977.6
3,42,-1.992,-0.0021,0.25,0.427,-0.0009,4,-8.52,9968.58
4,42,-0.989,-0.0004,0.4,0.673,-0.0001,5,-1.1,9967.13
5,42,2.066,-0.0005,0.8,20.159,0.0007,5,7.43,9973.84
6,42,-1.906,-0.0019,0.5556,0.425,-0.001,9,-9.6,9963.12
7,42,-1.465,-0.0007,0.4545,0.653,-0.0003,11,-2.01,9960.0
8,42,-0.847,-0.0005,0.4444,0.87,-0.0001,9,-0.58,9958.49
9,42,4.68,-0.0001,0.6667,7.455,0.0006,6,6.97,9964.6
10,42,2.246,-0.0006,0.5,2.215,0.0006,8,7.0,9970.72
11,42,-0.271,-0.0009,0.3571,0.971,-0.0001,14,-0.37,9969.92
12,42,2.024,-0.0002,0.4444,2.37,0.0004,9,4.3,9973.8
13,42,6.294,-0.0003,0.6667,inf,0.002,3,20.54,9993.85
14,42,-2.082,-0.0013,0.4286,0.412,-0.0009,7,-7.69,9985.14
15,42,3.396,-0.0003,0.8333,11.031,0.0009,6,9.65,9994.15
16,42,0.271,-0.0007,0.5,1.211,0.0001,4,1.46,9994.92
17,42,3.461,-0.0005,0.75,16.152,0.0012,4,12.16,10006.63
18,42,1.504,-0.0017,1.0,inf,0.0012,1,11.92,10018.12
19,42,2.788,-0.0004,1.0,inf,0.001,3,10.72,10028.01
20,42,-0.443,-0.0018,0.6667,0.814,-0.0003,3,-2.37,10024.78
21,42,2.207,-0.0006,0.4,2.987,0.0008,5,8.99,10033.09
22,42,-3.009,-0.0033,0.25,0.283,-0.0024,4,-23.27,10008.8
23,42,0.025,-0.0006,0.4286,1.061,0.0,7,0.54,10008.76
24,42,-0.617,-0.0008,0.3333,0.692,-0.0002,6,-1.4,10007.03
25,42,-3.433,-0.0005,0.125,0.35,-0.0003,8,-3.01,10003.6
26,42,0.806,-0.0004,0.5556,1.7,0.0002,9,2.08,10005.17
27,42,-0.604,-0.0003,0.625,0.762,-0.0001,8,-0.61,10004.24
28,42,-3.306,-0.0006,0.4,0.19,-0.0004,5,-3.37,10000.62
29,42,-1.173,-0.0005,0.4,0.421,-0.0002,5,-1.9,9998.39
30,42,3.79,-0.0002,1.0,inf,0.0005,7,4.99,10002.92
31,42,-0.607,-0.0004,0.7143,0.881,-0.0001,7,-0.39,10001.91
32,42,-6.154,-0.001,0.1429,0.058,-0.0009,7,-8.56,9992.67
33,42,-4.864,-0.0007,0.4286,0.115,-0.0007,7,-5.93,9985.98
34,42,3.506,-0.0004,0.8,inf,0.0009,5,9.85,9994.93
35,42,-2.215,-0.0006,0.4,0.226,-0.0005,5,-4.2,9990.08
36,42,2.862,-0.0004,0.875,31.362,0.0006,8,7.33,9996.37
37,42,1.689,-0.0008,0.5,1.808,0.0005,8,5.89,10001.34
38,42,3.425,-0.0004,0.5,14.501,0.001,2,9.89,10010.89
39,42,0.411,-0.0011,0.3333,1.256,0.0002,3,2.21,10012.57
40,42,-0.573,-0.0019,0.0,0.0,-0.0004,1,-4.02,10008.25
41,42,-1.117,-0.0024,0.5,0.648,-0.001,6,-9.05,9998.38
42,42,5.695,-0.0003,1.0,inf,0.0019,2,18.68,10016.75
43,42,2.266,-0.0009,1.0,inf,0.0012,2,12.46,10028.8
44,42,1.819,-0.0004,0.5,5.588,0.0004,6,5.28,10033.08
45,42,-0.645,-0.0016,0.3333,0.815,-0.0004,3,-3.01,10029.09
46,42,-0.948,-0.0002,0.5,0.086,-0.0001,2,-1.36,10027.59
