window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,42,2.936,-0.0004,0.6,3.671,0.0007,5,7.1,10006.36
2,42,-2.972,-0.0056,0.25,0.007,-0.0053,4,-51.72,9952.84
3,42,-2.318,-0.0036,0.25,0.416,-0.0018,4,-17.19,9934.67
4,42,-3.752,-0.0013,0.4,0.184,-0.0011,5,-10.01,9923.95
5,42,0.935,-0.0005,0.4,2.807,0.0003,5,3.87,9926.96
6,42,-2.009,-0.0018,0.5,0.394,-0.0011,6,-10.44,9915.65
7,42,1.961,-0.0007,0.875,108.139,0.0007,8,7.84,9922.59
8,42,1.906,-0.0012,0.2857,2.826,0.0015,7,16.25,9937.65
9,42,6.029,-0.0004,1.0,inf,0.0012,2,12.81,9950.02
10,42,-1.276,-0.0021,0.5,0.603,-0.0006,6,-5.73,9943.41
11,42,2.28,-0.001,0.3571,1.944,0.0016,14,16.72,9959.23
12,42,-1.1,-0.0008,0.2222,0.702,-0.0003,9,-2.52,9956.23
13,42,6.227,-0.0003,1.0,inf,0.0023,2,22.87,9978.62
14,42,-0.761,-0.0013,0.25,0.751,-0.0003,4,-2.56,9975.26
15,42,2.079,-0.0002,0.7,2.84,0.0004,10,4.36,9978.72
16,42,3.071,-0.0005,1.0,inf,0.001,3,10.3,9988.55
17,42,3.003,-0.0005,1.0,inf,0.001,6,10.63,9998.22
18,42,1.504,-0.0017,1.0,inf,0.0012,1,11.91,10009.7
19,42,2.801,-0.0003,1.0,inf,0.001,4,10.34,10019.04
20,42,0.558,-0.0018,0.5,1.321,0.0004,2,4.08,10022.46
21,42,2.644,-0.001,0.4,5.008,0.0017,5,18.12,10039.57
22,42,-1.161,-0.0034,0.25,0.676,-0.0012,4,-10.51,10027.69
23,42,0.964,-0.0006,0.625,1.459,0.0003,8,3.62,10030.56
24,42,-1.249,-0.0008,0.2857,0.449,-0.0003,7,-2.72,10027.49
25,42,-0.119,-0.0008,0.1667,1.008,-0.0,6,0.06,10027.1
26,42,0.893,-0.0004,0.6364,1.764,0.0002,11,2.21,10028.77
27,42,-0.331,-0.0003,0.5,0.877,-0.0001,6,-0.32,10028.22
28,42,-2.918,-0.0006,0.5,0.26,-0.0003,4,-3.07,10024.94
29,42,0.346,-0.0004,0.6667,1.3,0.0001,3,1.03,10025.7
30,42,1.857,-0.0001,0.7143,8.905,0.0002,7,2.13,10027.38
31,42,-4.074,-0.0013,0.2857,0.209,-0.001,7,-9.19,10017.17
32,42,-2.952,-0.0024,0.0,0.0,-0.0017,4,-16.51,9999.92
33,42,-3.233,-0.0005,0.4286,0.307,-0.0004,7,-3.76,9995.41
34,42,3.977,-0.0003,1.0,inf,0.0013,3,13.29,10008.26
35,42,-0.199,-0.0003,0.5,0.898,-0.0,2,-0.17,10007.92
36,42,2.42,-0.0004,0.5714,18.149,0.0005,7,6.05,10013.09
37,42,1.56,-0.0008,0.5,2.265,0.0008,8,9.24,10021.02
38,42,2.96,-0.0004,0.5,8.883,0.0009,2,9.45,10030.02
39,42,0.046,-0.0016,0.5,1.078,0.0,2,0.79,10030.18
40,42,-0.573,-0.0019,0.0,0.0,-0.0004,1,-4.03,10025.85
41,42,0.502,-0.0028,0.5,1.281,0.0009,6,9.93,10034.23
42,42,5.695,-0.0003,1.0,inf,0.0019,2,18.75,10052.66
43,42,2.266,-0.0009,1.0,inf,0.0012,2,12.5,10064.75
44,42,1.775,-0.0004,0.5,5.438,0.0004,6,5.13,10068.93
45,42,-1.345,-0.0016,0.3333,0.649,-0.0008,3,-7.22,10060.31
46,42,-0.948,-0.0002,0.5,0.086,-0.0001,2,-1.37,10058.8
