window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,7.374,-0.0002,0.6,19.803,0.0009,5,9.2,10008.53
2,21,5.092,-0.0006,1.0,inf,0.0012,1,12.4,10020.47
3,21,1.627,-0.0003,1.0,inf,0.0002,2,1.96,10022.08
4,21,-4.832,-0.0042,0.0,0.0,-0.0041,3,-40.13,9980.78
5,21,-0.559,-0.0006,0.0,0.0,-0.0001,1,-0.75,9979.94
6,21,-3.102,-0.0017,0.4286,0.525,-0.0008,7,-7.67,9971.49
7,21,2.477,-0.0001,0.75,3.162,0.0002,4,2.05,9973.27
8,21,-5.053,-0.0002,0.4,0.233,-0.0002,5,-1.53,9971.42
9,21,0.599,-0.0005,1.0,inf,0.0001,1,1.29,9972.48
10,21,5.042,-0.0,0.75,10.953,0.0002,4,2.3,9974.32
11,21,-4.115,-0.0018,0.5,0.085,-0.0015,4,-14.5,9959.17
12,21,6.296,-0.0001,0.75,8.579,0.0007,4,6.88,9965.61
13,21,2.524,-0.0002,0.8,36.989,0.0002,5,2.69,9967.72
14,21,-4.743,-0.0004,0.2,0.208,-0.0004,5,-4.13,9963.26
15,21,-4.398,-0.0001,0.2,0.431,-0.0001,5,-0.62,9962.15
16,21,1.557,-0.0002,1.0,inf,0.0001,1,0.98,9963.07
17,21,7.619,-0.0001,1.0,inf,0.0005,1,5.35,9968.25
18,21,-5.393,-0.0003,0.25,0.283,-0.0003,4,-2.13,9965.69
19,21,6.859,-0.0002,0.75,inf,0.0009,4,9.16,9974.22
20,21,-4.612,-0.001,0.0,0.0,-0.0008,4,-8.24,9965.67
21,21,-5.121,-0.0009,0.2,0.366,-0.0006,10,-5.91,9959.55
22,21,3.642,-0.0002,0.6,2.557,0.0004,5,4.27,9963.64
23,21,0.845,-0.0002,0.3333,1.776,0.0001,3,1.02,9964.48
24,21,-0.295,-0.0005,0.5,0.992,-0.0,8,-0.04,9963.96
25,21,4.033,-0.0002,1.0,inf,0.0005,1,4.86,9968.71
26,21,11.959,-0.0002,1.0,inf,0.002,2,19.76,9987.89
27,21,-3.354,-0.0013,0.0,0.0,-0.0008,2,-7.79,9979.85
28,21,1.489,-0.0005,0.3333,1.653,0.0002,3,2.79,9982.18
29,21,4.074,-0.0001,0.8,6.052,0.0005,5,4.85,9986.6
30,21,2.781,-0.0004,1.0,inf,0.0005,1,5.09,9991.43
31,21,2.607,-0.0005,0.5,6.766,0.0006,2,5.87,9996.89
32,21,4.894,-0.0003,0.3333,3.619,0.0006,3,6.46,10002.9
33,21,2.339,-0.0005,1.0,inf,0.0005,1,5.04,10007.75
34,21,5.503,-0.0003,0.75,6.661,0.0007,4,7.4,10014.52
35,21,0.445,-0.0017,1.0,inf,0.0002,1,2.02,10016.12
36,21,3.142,-0.0011,1.0,inf,0.0011,1,11.21,10026.81
37,21,3.5,-0.0003,1.0,inf,0.0007,2,6.97,10033.27
38,21,2.28,-0.0004,1.0,inf,0.0005,4,5.38,10037.51
39,21,-2.315,-0.0014,0.5,0.519,-0.0006,2,-6.09,10030.75
40,21,5.029,-0.0003,0.5,inf,0.0009,2,9.66,10040.01
41,21,2.016,-0.0003,0.6667,3.117,0.0002,3,1.93,10041.49
42,21,2.201,-0.0006,0.3333,2.24,0.0006,3,6.66,10047.67
43,21,-9.487,-0.0028,0.0,0.0,-0.0028,3,-27.16,10019.7
44,21,-0.492,-0.0014,0.5,0.828,-0.0002,2,-1.35,10018.0
45,21,3.052,-0.0006,0.75,2.566,0.0006,4,5.85,10023.48
