window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,0.408,-0.001,0.6667,1.302,0.0001,3,1.92,10000.68
2,21,4.101,-0.001,1.0,inf,0.0015,2,15.79,10015.35
3,21,5.261,-0.0001,0.6667,9.745,0.0004,3,4.71,10019.36
4,21,-5.774,-0.0079,0.0,0.0,-0.0079,4,-76.97,9940.2
5,21,-1.211,-0.0008,0.3333,0.739,-0.0002,3,-1.84,9937.83
6,21,-2.039,-0.0017,0.5,0.558,-0.0006,6,-5.57,9931.4
7,21,0.368,-0.0004,0.6667,1.282,0.0001,3,0.98,9931.95
8,21,-6.951,-0.001,0.3333,0.011,-0.001,3,-9.7,9921.77
9,21,3.013,-0.0003,0.6667,3.932,0.0004,3,3.86,9925.09
10,21,-7.62,-0.0004,0.0,0.0,-0.0004,4,-2.98,9921.56
11,21,-4.519,-0.0029,0.25,0.055,-0.0024,4,-23.66,9897.0
12,21,4.04,-0.0005,0.6667,2.984,0.0008,3,8.48,9904.64
13,21,-2.355,-0.0002,0.5714,0.782,-0.0002,7,-0.42,9903.02
14,21,-1.622,-0.0004,0.4286,0.71,-0.0003,7,-2.19,9900.14
15,21,-3.681,-0.0002,0.25,0.209,-0.0002,4,-1.07,9898.59
16,21,-1.556,-0.0004,0.0,0.0,-0.0001,1,-1.36,9897.15
17,21,-1.017,-0.0003,0.5,0.812,-0.0001,2,-0.46,9896.34
18,21,-6.556,-0.0009,0.2,0.217,-0.0008,5,-6.52,9888.54
19,21,1.783,-0.0013,1.0,inf,0.0008,1,7.94,9895.97
20,21,-3.027,-0.0011,0.0,0.0,-0.0006,2,-6.19,9889.62
21,21,-6.347,-0.0013,0.1667,0.33,-0.001,12,-9.68,9879.59
22,21,3.211,-0.0004,0.6,2.331,0.0005,5,5.62,9884.94
23,21,2.11,-0.0003,0.5,2.266,0.0003,6,3.22,9887.6
24,21,-1.674,-0.0006,0.3333,0.658,-0.0004,6,-3.17,9883.99
25,21,1.318,-0.0003,0.3333,2.305,0.0002,3,1.87,9885.56
26,21,3.618,-0.0004,0.6,2.925,0.0006,5,6.95,9891.37
27,21,-0.441,-0.0008,0.5,0.926,-0.0001,4,-0.51,9890.28
28,21,5.435,-0.0002,0.6667,inf,0.0006,3,6.75,9896.55
29,21,2.567,-0.0006,0.6,2.619,0.0005,5,5.54,9901.34
30,21,2.781,-0.0004,1.0,inf,0.0005,1,4.94,9906.02
31,21,-0.319,-0.0007,0.3333,0.9,-0.0001,3,-0.57,9904.73
32,21,7.376,-0.0003,0.6667,237.373,0.0015,3,15.65,9919.79
33,21,2.262,-0.0007,0.5,inf,0.0007,2,7.1,9926.46
34,21,1.198,-0.0006,0.5,1.863,0.0003,4,3.74,9929.23
35,21,0.446,-0.0023,1.0,inf,0.0003,1,2.68,9931.35
36,21,3.142,-0.0016,1.0,inf,0.0016,1,15.78,9946.41
37,21,2.833,-0.0017,1.0,inf,0.0015,1,15.33,9961.13
38,21,1.861,-0.0005,1.0,inf,0.0004,3,4.61,9964.76
