window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,-5.703,-0.0007,0.25,0.264,-0.0006,4,-4.84,9994.32
2,21,-0.612,-0.0024,0.3333,0.827,-0.0003,3,-2.92,9990.71
3,21,-1.156,-0.0012,0.3333,0.266,-0.0006,3,-5.42,9984.54
4,21,0.896,-0.0004,1.0,inf,0.0002,1,1.59,9986.0
5,21,3.768,-0.0003,0.25,4.424,0.0006,4,7.08,9992.16
6,21,-0.31,-0.0005,0.5,1.112,-0.0,4,0.39,9991.71
7,21,5.928,-0.0002,0.6667,inf,0.0009,3,9.5,10000.58
8,21,5.092,-0.0007,1.0,inf,0.0013,1,13.11,10013.21
9,21,0.239,-0.0002,1.0,inf,0.0,1,0.23,10013.33
10,21,-5.285,-0.0057,0.0,0.0,-0.0055,3,-54.3,9957.52
11,21,-1.572,-0.0007,0.3333,0.633,-0.0002,3,-1.99,9955.13
12,21,-2.526,-0.0012,0.5714,0.478,-0.0005,7,-4.74,9949.87
13,21,2.477,-0.0001,0.5,7.911,0.0002,2,2.04,9951.78
14,21,-6.753,-0.0013,0.0,0.0,-0.0013,2,-12.39,9938.84
15,21,1.609,-0.0006,0.5,18.685,0.0004,2,4.81,9943.23
16,21,-4.73,-0.0006,0.0,0.0,-0.0005,3,-4.58,9938.13
17,21,-4.382,-0.001,0.25,0.03,-0.0008,4,-7.83,9929.95
18,21,5.967,-0.0003,0.3333,4.959,0.0009,3,9.36,9938.89
19,21,0.937,-0.0003,0.3333,2.82,0.0001,3,1.48,9939.81
20,21,0.492,-0.001,0.3333,2.2,0.0002,3,2.33,9941.66
21,21,-0.553,-0.0003,0.25,1.04,-0.0,4,0.06,9941.21
22,21,-1.934,-0.0007,0.3333,0.298,-0.0003,3,-2.46,9938.34
23,21,0.875,-0.0002,0.25,1.753,0.0001,4,1.38,9938.94
24,21,-3.025,-0.0005,0.5,0.456,-0.0003,4,-2.16,9935.87
25,21,2.895,-0.0004,1.0,inf,0.0003,2,3.52,9939.11
26,21,-6.343,-0.0027,0.2857,0.091,-0.0025,7,-23.59,9914.36
27,21,-2.499,-0.0009,0.3333,0.545,-0.0004,9,-3.99,9910.17
28,21,6.072,-0.0001,0.7143,5.356,0.0004,7,4.37,9914.3
29,21,-2.086,-0.0002,0.1667,0.516,-0.0002,6,-1.08,9912.7
30,21,0.005,-0.0004,0.5,1.063,0.0,6,0.35,9912.66
31,21,6.29,-0.0002,1.0,inf,0.0006,4,6.99,9919.05
32,21,6.449,-0.0002,0.4,8.727,0.001,5,10.5,9928.29
33,21,-1.482,-0.0009,0.5,0.657,-0.0004,4,-3.16,9924.48
34,21,1.913,-0.0007,0.4,1.852,0.0004,5,5.11,9928.6
35,21,6.899,-0.0002,0.6667,14.692,0.0012,3,11.57,9939.91
36,21,2.781,-0.0004,1.0,inf,0.0005,1,5.09,9944.74
37,21,2.124,-0.0007,0.6667,3.793,0.0008,3,8.41,9952.22
38,21,10.913,-0.0,0.8,125.656,0.0012,5,12.49,9964.15
39,21,2.242,-0.0007,0.5,inf,0.0007,2,7.19,9970.84
40,21,6.336,-0.0001,0.8571,116.535,0.0004,7,4.48,9974.5
41,21,0.445,-0.0018,1.0,inf,0.0002,1,2.12,9976.18
