window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,5.328,-0.0001,0.8333,12.575,0.0007,6,7.43,10006.3
2,21,4.154,-0.0008,1.0,inf,0.0013,2,13.49,10018.77
3,21,0.766,-0.0001,0.5,2.966,0.0,2,0.61,10018.97
4,21,-4.981,-0.0054,0.0,0.0,-0.0053,3,-51.79,9965.69
5,21,1.914,-0.0003,0.3333,1.768,0.0002,3,2.26,9967.62
6,21,-2.593,-0.0018,0.4,0.577,-0.0008,5,-7.21,9959.79
7,21,-0.752,-0.0002,0.5,0.706,-0.0001,2,-0.48,9959.2
8,21,-7.813,-0.0008,0.25,0.01,-0.0008,4,-7.98,9950.71
9,21,-1.47,-0.0005,0.3333,0.671,-0.0002,3,-1.4,9948.64
10,21,-3.795,-0.0002,0.2,0.505,-0.0002,5,-1.04,9946.89
11,21,-3.818,-0.0021,0.3333,0.006,-0.0016,3,-16.09,9930.2
12,21,7.594,-0.0003,1.0,inf,0.0012,1,12.0,9942.01
13,21,1.571,-0.0002,0.8,3.384,0.0001,5,1.13,9942.7
14,21,-2.888,-0.0005,0.25,0.24,-0.0004,4,-3.33,9939.01
15,21,-6.857,-0.0002,0.0,0.0,-0.0002,4,-1.7,9936.59
16,21,2.772,-0.0003,1.0,inf,0.0004,1,3.83,9940.28
17,21,5.397,-0.0001,1.0,inf,0.0003,2,3.01,9943.02
18,21,-5.785,-0.0004,0.2,0.248,-0.0004,5,-2.9,9939.28
19,21,-2.027,-0.0006,0.25,0.681,-0.0002,4,-1.58,9936.9
20,21,0.651,-0.0004,0.5,1.656,0.0001,2,1.02,9937.71
21,21,-7.849,-0.001,0.1,0.224,-0.0009,10,-8.48,9929.01
22,21,4.448,-0.0002,0.6667,6.419,0.0006,3,5.73,9934.63
23,21,1.219,-0.0003,0.5,1.693,0.0001,4,1.69,9936.02
24,21,-3.106,-0.0004,0.4,0.152,-0.0004,5,-3.28,9932.34
25,21,1.691,-0.0003,0.6667,2.688,0.0003,3,3.33,9935.0
26,21,10.673,-0.0001,0.75,36.013,0.0016,4,16.44,9950.62
27,21,-3.093,-0.0012,0.0,0.0,-0.0007,2,-7.18,9943.18
28,21,2.725,-0.0002,0.5,4.864,0.0003,2,3.27,9946.28
29,21,1.787,-0.0005,0.5,1.757,0.0003,4,2.96,9948.77
30,21,2.781,-0.0004,1.0,inf,0.0005,1,4.92,9953.43
31,21,-1.171,-0.0006,0.3333,0.548,-0.0002,3,-2.24,9950.54
32,21,4.971,-0.0003,0.5,7.794,0.0006,2,5.65,9955.88
33,21,2.34,-0.0006,1.0,inf,0.0006,1,6.22,9961.87
34,21,7.101,-0.0002,0.5,51.861,0.001,2,10.1,9971.69
35,21,0.446,-0.002,1.0,inf,0.0002,1,2.38,9973.57
36,21,3.142,-0.0013,1.0,inf,0.0013,1,13.0,9985.97
37,21,3.628,-0.0005,1.0,inf,0.0009,2,9.29,9994.63
38,21,1.807,-0.0005,1.0,inf,0.0004,3,4.36,9998.06
39,21,-2.274,-0.0014,0.0,0.0,-0.0006,1,-6.37,9991.33
40,21,2.711,-0.0003,0.75,inf,0.0005,4,5.79,9996.38
41,21,2.123,-0.0001,0.8,3.823,0.0001,5,1.13,9997.04
42,21,2.082,-0.0005,1.0,inf,0.0005,1,5.05,10001.92
43,21,-9.447,-0.0033,0.0,0.0,-0.0033,3,-32.32,9968.64
44,21,0.457,-0.0012,0.5,1.231,0.0001,2,1.56,9969.83
45,21,3.999,-0.0007,1.0,inf,0.001,2,9.71,9979.29
46,21,-6.726,-0.0006,0.4,0.075,-0.0006,5,-5.85,9973.09
47,21,-2.516,-0.0011,0.25,0.164,-0.0006,4,-5.33,9967.44
48,21,-1.044,-0.0004,0.6667,0.512,-0.0001,3,-1.04,9966.23
49,21,-4.529,-0.0005,0.3333,0.238,-0.0004,3,-3.61,9962.42
50,21,2.806,-0.0002,0.6667,3.301,0.0003,6,3.06,9965.03
51,21,0.223,-0.0005,0.4,1.146,0.0,5,0.68,9965.24
52,21,-2.211,-0.0009,0.0,0.0,-0.0005,3,-4.44,9960.56
53,21,-0.67,-0.0004,0.5,0.792,-0.0001,4,-0.61,9959.67
54,21,5.515,-0.0002,1.0,inf,0.0006,1,5.61,9965.19
55,21,-6.947,-0.0006,0.25,0.009,-0.0005,4,-5.1,9959.84
56,21,7.272,-0.0002,1.0,inf,0.0006,4,6.49,9966.01
57,21,-2.46,-0.0006,0.5,0.138,-0.0004,2,-3.9,9961.91
58,21,-2.31,-0.0003,0.0,0.0,-0.0001,3,-1.31,9960.39
59,21,2.873,-0.0001,0.6667,3.256,0.0001,6,1.68,9961.71
60,21,-4.626,-0.0005,0.0,0.0,-0.0004,3,-3.61,9957.72
61,21,-3.295,-0.0003,0.25,0.405,-0.0002,4,-1.39,9955.95
62,21,-2.718,-0.0004,0.0,0.0,-0.0003,3,-3.03,9952.6
63,21,-4.6,-0.0008,0.0,0.0,-0.0007,3,-6.56,9945.58
64,21,-7.279,-0.0007,0.0,0.0,-0.0007,6,-6.44,9938.52
65,21,-5.646,-0.0006,0.5,0.033,-0.0006,2,-5.33,9932.96
66,21,-0.261,-0.0002,0.8333,1.175,-0.0,6,0.38,9932.7
67,21,4.513,-0.0002,0.75,inf,0.0006,4,6.63,9938.66
68,21,2.148,-0.0004,0.5,4.232,0.0003,6,3.32,9940.96
69,21,6.038,-0.0002,1.0,inf,0.0006,2,6.5,9947.11
70,21,-0.435,-0.0004,0.5,0.731,-0.0001,4,-0.44,9945.92
71,21,-2.591,-0.0005,0.2,0.584,-0.0002,5,-1.8,9943.38
72,21,1.115,-0.0001,0.6,3.391,0.0001,5,1.68,9944.02
73,21,-6.078,-0.0007,0.3333,0.07,-0.0006,3,-6.02,9937.61
74,21,3.514,-0.0003,1.0,inf,0.0004,1,4.35,9941.87
75,21,4.985,-0.0004,1.0,inf,0.0008,1,7.47,9949.16
76,21,3.296,-0.0002,1.0,inf,0.0003,1,3.31,9952.33
77,21,5.663,-0.0006,1.0,inf,0.0013,1,13.15,9965.23
78,21,-3.349,-0.0012,0.0,0.0,-0.001,2,-10.12,9954.63
79,21,2.697,-0.0009,1.0,inf,0.0011,1,10.8,9965.06
80,21,-3.973,-0.0012,0.0,0.0,-0.0009,2,-8.42,9956.14
81,21,-0.778,-0.0011,0.0,0.0,-0.0003,1,-2.77,9953.12
82,21,2.76,-0.0004,0.5,3.512,0.0008,4,8.6,9961.38
83,21,5.232,-0.0006,1.0,inf,0.0015,1,15.13,9976.28
84,21,7.588,-0.0002,1.0,inf,0.0011,1,10.61,9986.71
85,21,-0.702,-0.0003,0.3333,0.675,-0.0001,3,-0.32,9986.1
86,21,-0.175,-0.0005,0.6667,3.458,-0.0,3,0.22,9985.72
87,21,0.465,-0.0003,0.5714,1.474,0.0,7,1.15,9985.92
88,21,1.375,-0.0013,1.0,inf,0.0007,1,6.72,9992.2
89,21,0.845,-0.0017,1.0,inf,0.0003,1,3.47,9995.29
90,21,2.039,-0.0002,1.0,inf,0.0002,2,1.71,9996.57
91,21,-0.484,-0.0004,0.6,0.978,-0.0001,5,-0.04,9995.79
92,21,0.561,-0.0003,1.0,inf,0.0001,1,0.73,9996.39
