window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,5.463,-0.0003,0.6667,17.173,0.0012,3,12.03,10011.52
2,21,5.243,-0.0002,1.0,inf,0.0005,2,5.55,10016.75
3,21,-1.199,-0.0006,0.0,0.0,-0.0002,2,-1.74,10014.72
4,21,-4.839,-0.005,0.0,0.0,-0.0049,4,-47.85,9965.33
5,21,-2.129,-0.0008,0.5,0.012,-0.0004,2,-3.5,9961.62
6,21,-1.129,-0.0013,0.5,0.718,-0.0003,6,-2.48,9958.67
7,21,0.099,-0.0001,0.25,1.136,0.0,4,0.15,9958.69
8,21,-1.592,-0.0002,0.5714,0.414,-0.0001,7,-0.36,9957.75
9,21,0.717,-0.0006,0.6667,1.453,0.0002,3,1.78,9959.07
10,21,9.719,-0.0001,0.5,inf,0.001,2,10.01,9968.72
11,21,-4.253,-0.0014,0.0,0.0,-0.0012,2,-11.61,9956.75
12,21,-0.656,-0.0004,0.5,0.748,-0.0001,4,-0.68,9955.75
13,21,1.705,-0.0003,0.3333,2.263,0.0002,3,2.05,9957.4
14,21,-0.429,-0.0006,0.5,0.733,-0.0001,2,-1.2,9955.95
15,21,0.979,-0.0002,1.0,inf,0.0001,1,0.65,9956.53
16,21,4.643,-0.0001,1.0,inf,0.0003,2,3.06,9959.44
17,21,5.788,-0.0001,0.75,8.492,0.0007,4,7.1,9965.74
18,21,-6.099,-0.0003,0.3333,0.151,-0.0003,6,-2.62,9962.28
19,21,6.949,-0.0002,0.5,inf,0.0011,2,10.75,9972.79
20,21,-5.638,-0.0025,0.4286,0.068,-0.0025,7,-23.69,9948.22
21,21,-1.915,-0.0008,0.4545,0.661,-0.0004,11,-3.97,9943.94
22,21,0.501,-0.0005,0.5714,1.227,0.0001,7,1.24,9944.83
23,21,1.846,-0.0002,0.6667,6.315,0.0002,3,1.72,9946.39
24,21,4.339,-0.0002,0.75,23.67,0.0008,4,8.78,9954.59
25,21,2.006,-0.0005,0.5,2.812,0.0004,2,3.96,9958.32
26,21,6.864,-0.0009,1.0,inf,0.0021,2,21.5,9979.46
27,21,-1.734,-0.0014,0.5,0.517,-0.0005,4,-4.7,9974.3
28,21,6.701,-0.0004,1.0,inf,0.0016,3,16.14,9990.08
29,21,4.55,-0.0006,0.75,7.677,0.0019,4,19.15,10008.79
30,21,4.07,-0.0004,1.0,inf,0.0007,1,7.15,10015.75
31,21,1.278,-0.0009,1.0,inf,0.0007,1,6.67,10022.1
32,21,0.121,-0.0009,0.6667,1.116,0.0,3,0.62,10022.15
33,21,1.314,-0.0011,0.6,1.591,0.0005,5,5.7,10026.9
34,21,7.707,-0.0003,0.6667,14.71,0.0015,3,15.51,10041.86
35,21,-1.22,-0.0025,0.6667,0.553,-0.0007,3,-6.42,10034.42
36,21,6.943,-0.0003,0.5,inf,0.0017,2,17.68,10051.65
37,21,4.256,-0.0001,1.0,inf,0.0004,2,4.07,10055.38
38,21,2.849,-0.0007,1.0,inf,0.0007,1,7.02,10062.07
39,21,-3.847,-0.0017,0.5,0.203,-0.0012,2,-11.94,10049.5
40,21,4.909,-0.0004,1.0,inf,0.0011,1,10.86,10060.16
41,21,4.13,-0.0004,1.0,inf,0.0007,1,6.6,10066.58
42,21,-3.434,-0.001,0.5,0.263,-0.0007,4,-6.98,10059.14
43,21,-9.71,-0.0028,0.0,0.0,-0.0028,4,-27.38,10031.04
44,21,-0.144,-0.0005,0.5,0.927,-0.0,2,-0.12,10030.81
45,21,1.17,-0.0013,0.5,1.612,0.0004,4,4.58,10034.99
46,21,-3.63,-0.0007,0.3333,0.287,-0.0006,6,-5.54,10029.02
47,21,-2.129,-0.0008,0.4,0.312,-0.0004,5,-3.51,10025.31
48,21,0.87,-0.0003,0.6,1.528,0.0001,5,1.16,10026.24
49,21,-4.734,-0.0006,0.2,0.166,-0.0005,5,-4.51,10021.49
50,21,-4.136,-0.0006,0.2857,0.405,-0.0004,7,-3.48,10017.69
51,21,-4.004,-0.0009,0.0,0.0,-0.0007,5,-6.5,10010.88
52,21,2.837,-0.0001,0.5,3.872,0.0002,6,2.59,10013.25
53,21,0.416,-0.0003,0.5,1.173,0.0,4,0.54,10013.62
54,21,0.449,-0.0004,0.6,1.207,0.0001,5,0.81,10014.16
55,21,-6.78,-0.0005,0.0,0.0,-0.0005,6,-4.97,10008.92
56,21,2.781,-0.0004,0.3333,3.234,0.0005,3,5.17,10013.88
57,21,-2.781,-0.0002,0.25,0.093,-0.0002,4,-1.44,10012.26
58,21,0.777,-0.0003,0.3333,5.856,0.0001,3,1.29,10013.3
59,21,-0.055,-0.0002,0.4,1.11,-0.0,5,0.2,10013.1
60,21,-3.403,-0.0006,0.3333,0.173,-0.0004,3,-4.09,10008.78
61,21,3.865,-0.0005,1.0,inf,0.0006,3,6.21,10014.63
62,21,-1.402,-0.0007,0.5,0.65,-0.0003,4,-2.38,10011.59
63,21,1.934,-0.0003,0.8,2.7,0.0002,5,2.32,10013.33
64,21,-4.294,-0.0007,0.1667,0.348,-0.0005,6,-4.72,10007.85
65,21,-1.368,-0.0006,0.4,0.768,-0.0002,5,-1.67,10005.41
66,21,-1.262,-0.0003,0.5,0.64,-0.0001,4,-1.07,10003.82
67,21,4.889,-0.0002,0.6667,inf,0.0006,3,5.88,10009.35
68,21,3.629,-0.0002,0.5,9.884,0.0007,2,7.51,10016.44
69,21,2.118,-0.0005,1.0,inf,0.0004,1,3.86,10020.12
70,21,-2.929,-0.0013,0.0,0.0,-0.0008,2,-7.8,10011.95
71,21,1.67,-0.0004,0.2,1.789,0.0002,5,2.54,10013.98
72,21,6.331,-0.0002,1.0,inf,0.0008,3,8.62,10022.17
73,21,-1.177,-0.0017,0.3333,0.65,-0.0005,3,-4.52,10016.99
74,21,2.293,-0.0006,0.6667,2.237,0.0007,3,7.62,10024.08
75,21,4.205,-0.0006,0.3333,14.89,0.0012,3,11.81,10035.51
76,21,-3.185,-0.0003,0.0,0.0,-0.0002,3,-2.09,10033.0
77,21,3.19,-0.0009,0.6667,2.222,0.001,3,10.66,10042.88
78,21,-1.635,-0.001,0.5,0.435,-0.0005,4,-4.14,10038.14
79,21,2.798,-0.0005,0.5,9.331,0.0005,2,4.63,10042.6
80,21,1.985,-0.0007,0.6667,2.948,0.0005,3,4.88,10047.02
81,21,-1.328,-0.0014,0.5,0.248,-0.0007,2,-6.76,10039.72
82,21,3.323,-0.0003,0.75,4.4,0.0008,4,7.66,10047.19
83,21,5.53,-0.0001,1.0,inf,0.0002,2,2.19,10049.28
84,21,6.157,-0.0004,0.5,inf,0.0017,2,17.71,10066.42
85,21,2.344,-0.0004,1.0,inf,0.0004,2,3.79,10069.78
86,21,-1.494,-0.0011,0.0,0.0,-0.0003,2,-3.02,10066.24
87,21,10.781,-0.0,1.0,inf,0.0005,4,5.39,10070.98
88,21,-1.279,-0.0013,0.5,0.174,-0.0006,4,-5.63,10064.8
89,21,-1.169,-0.0006,0.3333,0.683,-0.0002,3,-1.43,10063.04
90,21,1.378,-0.0002,0.5,7.381,0.0001,2,0.75,10063.67
91,21,-1.004,-0.0008,0.0,0.0,-0.0003,1,-2.85,10060.56
92,21,0.546,-0.0003,0.5,1.858,0.0001,2,0.88,10061.23
