window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,5.328,-0.0001,0.8333,12.575,0.0007,6,7.43,10006.3
2,21,4.154,-0.0008,1.0,inf,0.0013,2,13.49,10018.77
3,21,0.766,-0.0001,0.5,2.966,0.0,2,0.61,10018.97
4,21,-4.981,-0.0054,0.0,0.0,-0.0053,3,-51.79,9965.69
5,21,-0.912,-0.0007,0.3333,0.816,-0.0001,3,-1.18,9964.15
6,21,-3.006,-0.002,0.3333,0.534,-0.0009,6,-8.57,9954.78
7,21,0.295,-0.0003,0.6667,1.236,0.0,3,0.55,9955.06
8,21,-7.813,-0.0008,0.25,0.01,-0.0008,4,-7.97,9946.57
9,21,-1.47,-0.0005,0.3333,0.671,-0.0002,3,-1.4,9944.5
10,21,-3.795,-0.0002,0.2,0.505,-0.0002,5,-1.04,9942.75
11,21,-4.541,-0.0023,0.5,0.066,-0.0019,4,-18.88,9923.12
12,21,6.307,-0.0003,0.5,25.482,0.0011,2,10.99,9933.67
13,21,1.571,-0.0002,0.8,3.384,0.0001,5,1.13,9934.36
14,21,-2.123,-0.0005,0.4,0.504,-0.0003,5,-2.77,9931.11
15,21,-6.857,-0.0002,0.0,0.0,-0.0002,4,-1.7,9928.7
16,21,2.772,-0.0003,1.0,inf,0.0004,1,3.82,9932.39
17,21,5.397,-0.0001,1.0,inf,0.0003,2,3.01,9935.12
18,21,-5.785,-0.0004,0.2,0.248,-0.0004,5,-2.9,9931.38
19,21,-2.027,-0.0006,0.25,0.681,-0.0002,4,-1.58,9929.0
20,21,0.651,-0.0004,0.5,1.656,0.0001,2,1.02,9929.81
21,21,-5.355,-0.001,0.1667,0.385,-0.0007,12,-6.85,9922.67
22,21,3.691,-0.0003,0.6,2.649,0.0005,5,5.28,9927.74
23,21,1.219,-0.0003,0.5,1.693,0.0001,4,1.69,9929.13
24,21,-3.175,-0.0004,0.3333,0.148,-0.0004,6,-3.36,9925.32
25,21,1.691,-0.0003,0.6667,2.688,0.0003,3,3.32,9927.98
26,21,10.673,-0.0001,0.75,36.013,0.0016,4,16.43,9943.59
27,21,-3.093,-0.0012,0.0,0.0,-0.0007,2,-7.18,9936.16
28,21,2.725,-0.0002,0.5,4.864,0.0003,2,3.26,9939.26
29,21,2.371,-0.0004,0.5,2.097,0.0003,4,3.59,9942.44
30,21,2.781,-0.0004,1.0,inf,0.0005,1,4.91,9947.1
31,21,-1.171,-0.0006,0.3333,0.548,-0.0002,3,-2.24,9944.21
32,21,8.637,-0.0001,0.6667,11.324,0.0008,3,8.57,9952.4
33,21,2.34,-0.0006,1.0,inf,0.0006,1,6.21,9958.39
34,21,7.101,-0.0002,0.5,51.861,0.001,2,10.1,9968.2
35,21,0.446,-0.002,1.0,inf,0.0002,1,2.38,9970.08
36,21,3.142,-0.0013,1.0,inf,0.0013,1,12.99,9982.48
37,21,3.628,-0.0005,1.0,inf,0.0009,2,9.29,9991.14
38,21,1.807,-0.0005,1.0,inf,0.0004,3,4.35,9994.56
39,21,-2.215,-0.0015,0.5,0.536,-0.0007,2,-6.23,9987.61
40,21,2.711,-0.0003,0.75,inf,0.0005,4,5.79,9992.65
41,21,2.123,-0.0001,0.8,3.823,0.0001,5,1.13,9993.31
42,21,2.68,-0.0007,0.3333,2.826,0.0009,3,9.35,10002.16
43,21,-9.447,-0.0033,0.0,0.0,-0.0033,3,-32.32,9968.88
44,21,0.457,-0.0012,0.5,1.231,0.0001,2,1.56,9970.07
45,21,3.345,-0.0007,0.75,2.694,0.0008,4,7.96,9977.56
46,21,-6.365,-0.0007,0.2,0.024,-0.0007,5,-6.88,9970.33
47,21,-2.421,-0.001,0.25,0.178,-0.0005,4,-4.84,9965.18
48,21,-1.044,-0.0004,0.6667,0.512,-0.0001,3,-1.04,9963.97
49,21,-4.529,-0.0005,0.3333,0.238,-0.0004,3,-3.61,9960.17
50,21,2.806,-0.0002,0.6667,3.301,0.0003,6,3.06,9962.78
51,21,-0.251,-0.0005,0.4,1.003,-0.0,5,0.02,9962.32
52,21,-2.211,-0.0009,0.0,0.0,-0.0005,3,-4.44,9957.64
53,21,-0.784,-0.0004,0.25,0.682,-0.0001,4,-0.77,9956.6
54,21,5.507,-0.0002,0.5,49.309,0.0005,2,5.61,9962.07
55,21,-6.328,-0.0006,0.0,0.0,-0.0005,4,-4.71,9957.14
56,21,7.272,-0.0002,1.0,inf,0.0006,4,6.49,9963.31
57,21,-2.46,-0.0006,0.5,0.138,-0.0004,2,-3.9,9959.21
58,21,-2.31,-0.0003,0.0,0.0,-0.0001,3,-1.31,9957.69
59,21,2.873,-0.0001,0.6667,3.256,0.0001,6,1.68,9959.01
60,21,-0.26,-0.0006,0.25,1.052,-0.0,4,0.32,9958.56
61,21,-3.295,-0.0003,0.25,0.405,-0.0002,4,-1.39,9956.79
62,21,-2.718,-0.0004,0.0,0.0,-0.0003,3,-3.03,9953.44
63,21,-4.6,-0.0008,0.0,0.0,-0.0007,3,-6.56,9946.42
64,21,-7.279,-0.0007,0.0,0.0,-0.0007,6,-6.44,9939.36
65,21,-5.786,-0.0006,0.3333,0.032,-0.0006,3,-5.62,9933.26
66,21,-0.261,-0.0002,0.8333,1.175,-0.0,6,0.38,9933.0
67,21,4.513,-0.0002,0.75,inf,0.0006,4,6.63,9938.96
68,21,2.148,-0.0004,0.5,4.232,0.0003,6,3.32,9941.26
69,21,6.038,-0.0002,1.0,inf,0.0006,2,6.5,9947.41
70,21,-0.435,-0.0004,0.5,0.731,-0.0001,4,-0.44,9946.22
71,21,-2.591,-0.0005,0.2,0.584,-0.0002,5,-1.8,9943.68
72,21,1.115,-0.0001,0.6,3.391,0.0001,5,1.68,9944.32
73,21,-6.078,-0.0007,0.3333,0.07,-0.0006,3,-6.03,9937.91
74,21,3.514,-0.0003,1.0,inf,0.0004,1,4.35,9942.17
75,21,4.985,-0.0004,1.0,inf,0.0008,1,7.47,9949.46
76,21,3.296,-0.0002,1.0,inf,0.0003,1,3.31,9952.63
77,21,5.663,-0.0006,1.0,inf,0.0013,1,13.15,9965.53
78,21,-3.349,-0.0012,0.0,0.0,-0.001,2,-10.12,9954.93
79,21,2.697,-0.0009,1.0,inf,0.0011,1,10.8,9965.36
80,21,-3.973,-0.0012,0.0,0.0,-0.0009,2,-8.42,9956.44
81,21,-0.951,-0.0011,0.5,0.663,-0.0003,2,-3.15,9952.82
82,21,3.136,-0.0004,0.75,3.878,0.001,4,9.85,9962.32
83,21,6.468,-0.0002,1.0,inf,0.0014,2,14.39,9976.4
84,21,7.588,-0.0002,1.0,inf,0.0011,1,10.61,9986.83
85,21,-0.702,-0.0003,0.3333,0.675,-0.0001,3,-0.32,9986.22
86,21,-0.175,-0.0005,0.6667,3.458,-0.0,3,0.22,9985.84
87,21,0.465,-0.0003,0.5714,1.474,0.0,7,1.15,9986.04
88,21,1.375,-0.0013,1.0,inf,0.0007,1,6.72,9992.32
89,21,-0.77,-0.0018,0.5,0.791,-0.0003,2,-2.69,9989.03
90,21,2.039,-0.0002,1.0,inf,0.0002,2,1.71,9990.31
91,21,-0.484,-0.0004,0.6,0.978,-0.0001,5,-0.04,9989.53
92,21,0.561,-0.0003,1.0,inf,0.0001,1,0.73,9990.13
