window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,4.086,-0.0001,0.6667,11.749,0.0004,3,4.87,10004.5
2,21,3.412,-0.0002,0.75,11.35,0.0004,4,4.34,10007.91
3,21,-6.342,-0.002,0.5,0.017,-0.0018,2,-17.06,9989.85
4,21,-2.686,-0.0004,0.4,0.44,-0.0002,5,-1.98,9987.15
5,21,0.939,-0.0006,1.0,inf,0.0001,1,1.69,9988.56
6,21,-3.144,-0.0006,0.6667,0.494,-0.0003,3,-2.68,9985.37
7,21,1.479,-0.0003,0.75,10.735,0.0001,4,1.52,9986.46
8,21,-1.231,-0.0003,0.6667,0.879,-0.0001,6,-0.33,9985.33
9,21,-4.505,-0.0009,0.3333,0.29,-0.0006,3,-5.3,9979.51
10,21,-0.704,-0.0004,0.5,0.82,-0.0001,4,-0.35,9978.29
11,21,2.529,-0.0001,1.0,inf,0.0001,3,1.11,9979.12
12,21,-2.237,-0.0004,0.4,0.636,-0.0002,5,-1.04,9977.07
13,21,-1.017,-0.0003,0.5,0.825,-0.0001,4,-0.47,9976.18
14,21,-0.211,-0.0009,0.8,1.039,-0.0,5,0.34,9975.74
15,21,-1.509,-0.0012,0.75,0.56,-0.0003,4,-2.52,9972.66
16,21,-3.137,-0.0005,0.0,0.0,-0.0003,2,-2.67,9969.64
17,21,-3.739,-0.0008,0.6667,0.348,-0.0006,6,-4.85,9963.98
18,21,-0.146,-0.0007,0.3333,1.016,-0.0,3,0.04,9963.2
19,21,2.901,-0.0003,0.75,15.004,0.0006,4,6.28,9968.89
20,21,5.508,-0.0001,1.0,inf,0.0003,1,3.09,9971.92
21,21,1.253,-0.0012,0.5,1.451,0.0004,6,4.22,9975.82
22,21,-3.968,-0.0002,0.25,0.049,-0.0001,4,-1.24,9974.43
23,21,-1.113,-0.0004,0.3333,0.412,-0.0001,3,-1.04,9972.93
24,21,0.262,-0.0011,0.5,1.154,0.0001,6,1.46,9973.41
25,21,-8.317,-0.0008,0.0,0.0,-0.0008,5,-7.73,9964.94
26,21,-3.073,-0.0009,0.5,0.256,-0.0006,4,-5.04,9959.01
27,21,3.292,-0.0005,1.0,inf,0.0007,1,7.11,9965.85
28,21,-1.497,-0.0011,0.0,0.0,-0.0003,2,-3.05,9962.38
29,21,0.081,-0.0003,0.5,1.565,0.0,6,0.87,9962.47
30,21,1.142,-0.0002,0.75,2.932,0.0001,4,0.92,9963.02
31,21,2.682,-0.0002,1.0,inf,0.0002,2,2.06,9964.86
32,21,-0.716,-0.0011,0.5,0.552,-0.0002,4,-1.62,9962.76
33,21,-2.281,-0.0007,0.3333,0.396,-0.0004,3,-4.02,9958.19
34,21,-0.214,-0.0002,0.5,1.298,-0.0,6,0.45,9957.93
35,21,1.294,-0.0004,0.5,3.32,0.0002,2,1.93,9959.55
36,21,-4.849,-0.0019,0.0,0.0,-0.0015,2,-14.79,9944.12
37,21,0.435,-0.0003,0.5,1.38,0.0,6,0.68,9944.32
38,21,-2.537,-0.0005,0.5,0.432,-0.0003,4,-2.23,9941.51
39,21,-4.029,-0.0005,0.5,0.269,-0.0005,4,-4.2,9936.66
40,21,-1.539,-0.0003,0.25,0.298,-0.0002,4,-1.36,9934.94
41,21,0.126,-0.0006,1.0,inf,0.0,1,0.27,9935.04
42,21,-0.009,-0.0008,0.25,1.05,-0.0,4,0.42,9934.81
43,21,-4.033,-0.0006,0.5,0.419,-0.0005,6,-4.09,9930.08
44,21,3.483,-0.0002,0.5,3.138,0.0003,4,3.68,9933.33
45,21,5.62,-0.0002,0.75,324.594,0.0012,4,12.37,9945.22
46,21,6.408,-0.0001,0.4,14.876,0.0007,5,6.76,9951.61
47,21,-2.521,-0.0004,0.5,0.373,-0.0003,4,-2.4,9948.79
48,21,-3.676,-0.0008,0.6,0.306,-0.0005,5,-4.9,9943.53
49,21,-3.701,-0.0008,0.3333,0.098,-0.0006,3,-5.77,9937.39
50,21,0.672,-0.0003,0.6667,2.019,0.0001,3,1.11,9938.28
51,21,-2.219,-0.0003,0.5,0.651,-0.0001,6,-0.85,9936.99
52,21,-2.471,-0.0015,0.2,0.374,-0.0006,5,-5.35,9931.14
53,21,-6.437,-0.0011,0.25,0.006,-0.001,4,-9.74,9921.04
54,21,-0.9,-0.0007,0.25,0.8,-0.0002,4,-1.3,9919.4
55,21,-1.303,-0.0005,0.5,0.733,-0.0002,6,-1.33,9917.62
56,21,4.952,-0.0001,1.0,inf,0.0003,4,3.56,9920.87
57,21,-0.174,-0.0006,0.6667,0.954,-0.0,3,-0.16,9920.38
58,21,-2.69,-0.0009,0.25,0.255,-0.0005,4,-4.17,9915.63
59,21,7.896,-0.0001,1.0,inf,0.0005,4,4.77,9920.15
60,21,-0.61,-0.0003,0.5,0.44,-0.0001,2,-0.52,9919.43
61,21,0.4,-0.0003,0.5,1.194,0.0,4,0.53,9919.64
62,21,-0.979,-0.0003,0.4286,0.675,-0.0001,7,-0.49,9918.46
63,21,6.172,-0.0001,0.75,14.262,0.0006,4,6.37,9924.54
64,21,-2.73,-0.0008,0.4,0.14,-0.0005,5,-4.97,9919.07
65,21,0.548,-0.0006,0.4,1.476,0.0001,5,1.49,9919.99
66,21,1.026,-0.0002,0.5,2.373,0.0001,4,1.2,9920.84
67,21,4.368,-0.0001,0.5,13.461,0.0004,6,4.34,9924.58
68,21,2.519,-0.0004,0.5,2.66,0.0004,6,4.3,9928.14
69,21,1.893,-0.0002,0.8,9.117,0.0001,5,1.8,9929.44
70,21,3.869,-0.0002,0.8,10.064,0.0005,5,5.34,9934.24
71,21,-1.587,-0.0004,0.5,0.627,-0.0002,4,-0.97,9932.56
72,21,0.097,-0.0015,0.5,1.055,0.0,2,0.66,9932.6
73,21,-1.671,-0.0005,0.0,0.0,-0.0002,3,-1.59,9930.65
74,21,2.66,-0.0002,0.6667,10.454,0.0005,3,4.68,9934.97
75,21,-5.532,-0.0004,0.6,0.229,-0.0004,5,-3.25,9931.21
76,21,-9.766,-0.0007,0.125,0.029,-0.0007,8,-6.21,9924.23
77,21,2.522,-0.0002,1.0,inf,0.0004,2,3.59,9927.62
78,21,-2.024,-0.0008,0.8,0.591,-0.0003,5,-1.81,9924.99
79,21,-0.016,-0.0002,0.6667,1.294,-0.0,6,0.49,9924.83
80,21,-3.024,-0.0006,0.5714,0.359,-0.0004,7,-3.29,9920.72
81,21,-1.543,-0.0004,0.25,0.362,-0.0002,4,-1.27,9919.01
82,21,-3.457,-0.0006,0.5,0.365,-0.0004,6,-3.97,9914.58
83,21,-3.902,-0.0002,0.3333,0.351,-0.0002,3,-1.54,9912.85
84,21,-3.157,-0.0003,0.3333,0.162,-0.0002,6,-1.7,9910.55
85,21,-0.226,-0.0003,0.5,1.184,-0.0,4,0.36,9910.35
86,21,-0.797,-0.0003,0.3333,0.96,-0.0001,6,-0.05,9909.39
87,21,1.791,-0.0005,1.0,inf,0.0003,2,3.04,9912.13
88,21,3.786,-0.0002,0.6667,11.629,0.0004,3,4.36,9916.05
89,21,1.968,-0.0001,0.8,11.353,0.0001,5,1.16,9916.84
90,21,-3.317,-0.0005,0.0,0.0,-0.0005,2,-4.19,9912.1
91,21,0.369,-0.0002,0.625,1.467,0.0,8,1.02,9912.23
