window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,4.503,-0.0003,0.3333,6.67,0.0009,3,8.96,10008.55
2,21,5.92,-0.0003,1.0,inf,0.0007,1,6.67,10015.06
3,21,-0.571,-0.0005,0.5,0.482,-0.0001,2,-0.73,10014.07
4,21,-4.916,-0.0037,0.0,0.0,-0.0037,4,-35.45,9977.16
5,21,-2.141,-0.0008,0.5,0.01,-0.0004,2,-3.64,9973.32
6,21,-0.546,-0.001,0.5714,0.895,-0.0001,7,-0.82,9972.0
7,21,1.978,-0.0001,0.5,39.4,0.0001,4,1.19,9973.06
8,21,-1.243,-0.0001,0.6667,1.468,-0.0,6,0.07,9972.71
9,21,5.331,-0.0004,0.5,60.577,0.0009,2,8.58,9981.01
10,21,10.793,-0.0001,1.0,inf,0.0011,1,11.18,9991.96
11,21,-4.385,-0.0014,0.0,0.0,-0.0012,2,-12.29,9979.3
12,21,3.182,-0.0002,0.5,5.054,0.0004,4,4.61,9983.61
13,21,2.255,-0.0002,0.5,11.303,0.0002,2,2.12,9985.51
14,21,-1.508,-0.0005,0.5,0.395,-0.0003,2,-3.21,9982.1
15,21,0.979,-0.0002,1.0,inf,0.0001,1,0.65,9982.68
16,21,3.06,-0.0002,1.0,inf,0.0003,1,3.26,9985.85
17,21,6.874,-0.0002,0.3333,8.483,0.0008,3,8.61,9993.6
18,21,-0.601,-0.0004,0.5714,1.181,-0.0001,7,0.2,9992.89
19,21,3.917,-0.0007,1.0,inf,0.001,1,9.5,10002.17
20,21,-2.775,-0.0011,0.25,0.446,-0.0006,4,-5.44,9996.34
21,21,-2.183,-0.0008,0.4,0.612,-0.0005,10,-4.47,9991.58
22,21,2.535,-0.0001,0.4286,2.515,0.0003,7,3.63,9994.98
23,21,2.638,-0.0002,0.6667,9.627,0.0002,3,2.45,9997.26
24,21,9.047,-0.0003,0.5,6.938,0.0016,4,16.75,10013.43
25,21,2.897,-0.0005,0.75,2.812,0.0007,4,7.82,10020.64
26,21,7.4,-0.0008,1.0,inf,0.0021,2,21.13,10041.41
27,21,-3.221,-0.0018,0.4,0.155,-0.001,5,-9.86,10031.05
28,21,0.845,-0.0007,0.3333,1.369,0.0002,3,2.63,10033.2
29,21,4.848,-0.0006,0.6667,8.328,0.0018,3,18.43,10051.27
30,21,4.07,-0.0004,1.0,inf,0.0007,1,7.05,10058.13
31,21,1.943,-0.0007,0.5,4.935,0.0008,2,8.15,10065.88
32,21,-0.478,-0.0015,0.3333,0.901,-0.0002,3,-1.2,10064.09
33,21,-0.601,-0.0009,0.6,0.836,-0.0002,5,-1.3,10062.1
34,21,5.35,-0.0004,1.0,inf,0.0012,2,12.49,10074.19
35,21,-1.062,-0.0021,0.5,0.576,-0.0005,2,-5.03,10068.53
36,21,6.923,-0.0003,0.5,inf,0.0016,2,16.18,10084.2
37,21,3.762,-0.0006,1.0,inf,0.0008,1,7.9,10091.86
38,21,2.849,-0.0006,1.0,inf,0.0006,1,6.2,10097.77
39,21,-3.391,-0.0013,0.5,0.269,-0.0009,2,-8.6,10088.62
40,21,4.909,-0.0003,1.0,inf,0.0008,1,8.21,10096.68
41,21,4.13,-0.0005,1.0,inf,0.0007,1,7.44,10103.92
42,21,0.526,-0.0007,0.5,1.353,0.0002,2,1.75,10105.36
43,21,-9.365,-0.0025,0.0,0.0,-0.0024,4,-24.22,10080.51
44,21,-0.846,-0.0007,0.5,0.471,-0.0001,2,-1.3,10079.1
45,21,1.432,-0.0011,0.6,1.822,0.0005,5,5.03,10083.66
46,21,-5.901,-0.0009,0.0,0.0,-0.0008,4,-8.07,10075.34
47,21,-2.109,-0.0007,0.3333,0.26,-0.0003,3,-3.3,10071.91
48,21,-2.496,-0.0006,0.5,0.306,-0.0003,4,-3.1,10068.65
49,21,-5.851,-0.0004,0.2,0.044,-0.0003,5,-2.74,10065.74
50,21,-9.474,-0.0004,0.1667,0.012,-0.0004,6,-3.96,10061.58
51,21,-5.268,-0.0007,0.0,0.0,-0.0006,5,-5.42,10055.91
52,21,3.674,-0.0001,0.5714,3.991,0.0002,7,2.36,10058.05
53,21,0.07,-0.0003,0.5,1.055,0.0,4,0.15,10058.07
54,21,0.159,-0.0003,0.6,1.119,0.0,5,0.35,10058.16
55,21,-7.1,-0.0006,0.0,0.0,-0.0006,6,-5.58,10052.35
56,21,2.36,-0.0003,0.3333,2.53,0.0003,3,3.36,10055.52
57,21,-1.208,-0.0001,0.6667,0.525,-0.0,3,-0.31,10055.11
58,21,-0.109,-0.0001,0.5,inf,-0.0,2,0.14,10055.05
59,21,-0.054,-0.0002,0.4,1.136,-0.0,5,0.17,10054.9
60,21,-3.562,-0.0005,0.0,0.0,-0.0003,2,-3.41,10051.34
61,21,1.432,-0.0005,0.8,8.704,0.0002,5,2.5,10053.22
62,21,-3.001,-0.0004,0.5,0.317,-0.0004,6,-2.83,10049.43
63,21,-2.842,-0.0003,0.6,0.408,-0.0002,5,-1.33,10047.8
64,21,-3.747,-0.001,0.3333,0.459,-0.0006,6,-4.75,10042.05
65,21,-3.324,-0.0006,0.4,0.418,-0.0005,5,-3.9,10037.47
66,21,4.039,-0.0002,0.8,3.262,0.0003,5,2.97,10040.04
67,21,0.545,-0.0002,0.6667,1.582,0.0001,3,1.02,10040.66
68,21,3.374,-0.0003,0.75,17.614,0.0006,4,6.49,10046.6
69,21,2.014,-0.0004,1.0,inf,0.0003,1,3.1,10049.55
70,21,-2.537,-0.001,0.0,0.0,-0.0005,2,-5.28,10043.98
71,21,5.306,-0.0001,0.6667,15.2,0.0005,6,5.63,10048.98
72,21,2.909,-0.0001,0.8,5.341,0.0002,5,2.47,10050.86
73,21,-1.609,-0.0014,0.5,0.488,-0.0006,4,-5.47,10044.69
74,21,2.323,-0.0005,0.6667,2.216,0.0006,3,6.49,10050.73
75,21,4.28,-0.0006,0.3333,18.505,0.0012,3,12.48,10062.83
