window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,4.431,-0.0003,0.3333,6.266,0.0009,3,8.86,10008.45
2,21,5.92,-0.0003,1.0,inf,0.0007,1,6.67,10014.96
3,21,-0.571,-0.0005,0.5,0.482,-0.0001,2,-0.73,10013.97
4,21,-4.904,-0.0037,0.0,0.0,-0.0036,4,-35.45,9977.39
5,21,-2.141,-0.0008,0.5,0.01,-0.0004,2,-3.64,9973.55
6,21,-0.546,-0.001,0.5714,0.895,-0.0001,7,-0.82,9972.23
7,21,1.992,-0.0001,0.5,39.4,0.0001,4,1.19,9973.3
8,21,-1.105,-0.0001,0.6667,1.468,-0.0,6,0.07,9972.99
9,21,5.262,-0.0004,0.5,35.359,0.0008,2,8.48,9981.18
10,21,10.793,-0.0001,1.0,inf,0.0011,1,11.18,9992.13
11,21,-4.385,-0.0014,0.0,0.0,-0.0012,2,-12.29,9979.47
12,21,3.182,-0.0002,0.5,5.054,0.0004,4,4.61,9983.78
13,21,2.165,-0.0002,0.5,8.267,0.0002,2,2.05,9985.61
14,21,-1.508,-0.0005,0.5,0.395,-0.0003,2,-3.21,9982.2
15,21,0.979,-0.0002,1.0,inf,0.0001,1,0.65,9982.78
16,21,3.06,-0.0002,1.0,inf,0.0003,1,3.26,9985.95
17,21,7.248,-0.0001,0.3333,8.483,0.0008,3,8.61,9994.03
18,21,-0.392,-0.0004,0.5714,1.181,-0.0,7,0.2,9993.51
19,21,3.917,-0.0007,1.0,inf,0.001,1,9.5,10002.79
20,21,-2.755,-0.0011,0.25,0.446,-0.0006,4,-5.44,9997.04
21,21,-2.183,-0.0008,0.4,0.612,-0.0005,10,-4.47,9992.28
22,21,2.52,-0.0001,0.375,2.515,0.0003,8,3.63,9995.66
23,21,2.638,-0.0002,0.6667,9.627,0.0002,3,2.45,9997.94
24,21,9.105,-0.0003,0.5,6.938,0.0016,4,16.75,10014.16
25,21,2.897,-0.0005,0.75,2.812,0.0007,4,7.82,10021.37
26,21,7.369,-0.0008,1.0,inf,0.0021,2,20.99,10042.0
27,21,-3.221,-0.0018,0.4,0.155,-0.001,5,-9.86,10031.64
28,21,0.845,-0.0007,0.3333,1.369,0.0002,3,2.63,10033.79
29,21,4.848,-0.0006,0.6667,8.328,0.0018,3,18.44,10051.87
30,21,4.07,-0.0004,1.0,inf,0.0007,1,7.05,10058.73
31,21,1.943,-0.0007,0.5,4.935,0.0008,2,8.15,10066.48
32,21,-0.478,-0.0015,0.3333,0.901,-0.0002,3,-1.2,10064.69
33,21,-0.601,-0.0009,0.6,0.836,-0.0002,5,-1.3,10062.7
34,21,5.35,-0.0004,1.0,inf,0.0012,2,12.49,10074.79
35,21,-1.062,-0.0021,0.5,0.576,-0.0005,2,-5.03,10069.13
36,21,6.926,-0.0003,0.5,inf,0.0016,2,16.18,10084.82
37,21,3.762,-0.0006,1.0,inf,0.0008,1,7.9,10092.48
38,21,2.849,-0.0006,1.0,inf,0.0006,1,6.2,10098.39
39,21,-3.391,-0.0013,0.5,0.269,-0.0009,2,-8.6,10089.23
40,21,4.909,-0.0003,1.0,inf,0.0008,1,8.21,10097.29
41,21,4.13,-0.0005,1.0,inf,0.0007,1,7.44,10104.53
42,21,0.526,-0.0007,0.5,1.353,0.0002,2,1.75,10105.97
43,21,-9.365,-0.0025,0.0,0.0,-0.0024,4,-24.22,10081.12
44,21,-0.846,-0.0007,0.5,0.471,-0.0001,2,-1.3,10079.71
45,21,1.468,-0.0011,0.75,1.822,0.0005,4,5.03,10084.39
46,21,-5.901,-0.0009,0.0,0.0,-0.0008,4,-8.07,10076.07
47,21,-2.109,-0.0007,0.3333,0.26,-0.0003,3,-3.3,10072.64
48,21,-2.51,-0.0006,0.4,0.306,-0.0003,5,-3.1,10069.37
49,21,-5.918,-0.0004,0.2,0.043,-0.0003,5,-2.79,10066.41
50,21,-9.471,-0.0004,0.1667,0.012,-0.0004,6,-3.96,10062.25
51,21,-5.268,-0.0007,0.0,0.0,-0.0006,5,-5.42,10056.58
52,21,3.794,-0.0001,0.6667,3.991,0.0002,6,2.36,10058.78
53,21,0.07,-0.0003,0.5,1.055,0.0,4,0.15,10058.8
54,21,0.211,-0.0003,0.6,1.119,0.0,5,0.35,10058.95
55,21,-7.149,-0.0006,0.0,0.0,-0.0006,6,-5.63,10053.09
56,21,2.36,-0.0003,0.3333,2.53,0.0003,3,3.36,10056.26
57,21,-1.208,-0.0001,0.6667,0.525,-0.0,3,-0.31,10055.85
58,21,0.106,-0.0001,0.5,inf,0.0,2,0.14,10055.91
59,21,-0.054,-0.0002,0.4,1.136,-0.0,5,0.17,10055.76
60,21,-3.562,-0.0005,0.0,0.0,-0.0003,2,-3.41,10052.2
61,21,1.321,-0.0005,0.6,6.889,0.0002,5,2.35,10053.93
62,21,-2.792,-0.0004,0.5,0.317,-0.0003,6,-2.83,10050.41
63,21,-2.842,-0.0003,0.6,0.408,-0.0002,5,-1.33,10048.78
64,21,-3.535,-0.0009,0.3333,0.459,-0.0005,6,-4.76,10043.36
65,21,-3.181,-0.0006,0.4,0.432,-0.0004,5,-3.69,10038.99
66,21,4.039,-0.0002,0.8,3.262,0.0003,5,2.97,10041.56
67,21,0.545,-0.0002,0.6667,1.582,0.0001,3,1.02,10042.18
68,21,3.374,-0.0003,0.75,17.614,0.0006,4,6.49,10048.12
69,21,2.117,-0.0004,1.0,inf,0.0003,1,3.25,10051.22
70,21,-2.537,-0.001,0.0,0.0,-0.0005,2,-5.28,10045.65
71,21,5.405,-0.0001,0.6667,15.2,0.0005,6,5.63,10050.73
72,21,2.909,-0.0001,0.8,5.341,0.0002,5,2.47,10052.61
73,21,-1.609,-0.0014,0.5,0.488,-0.0006,4,-5.47,10046.44
74,21,2.323,-0.0005,0.6667,2.216,0.0006,3,6.49,10052.48
75,21,4.299,-0.0006,0.5,18.505,0.0012,2,12.48,10064.63
76,21,-0.947,-0.0005,0.25,0.53,-0.0001,4,-0.83,10063.33
77,21,3.934,-0.0008,0.6667,2.702,0.0012,3,12.43,10075.04
78,21,-0.82,-0.0008,0.5,0.559,-0.0002,2,-2.04,10072.61
79,21,1.474,-0.0006,1.0,inf,0.0004,1,3.75,10076.2
80,21,2.054,-0.0005,0.6667,3.106,0.0004,3,4.33,10080.12
81,21,-1.314,-0.0012,0.5,0.251,-0.0006,2,-5.91,10073.74
82,21,3.213,-0.0004,0.75,3.958,0.0008,4,7.83,10081.35
83,21,6.494,-0.0001,1.0,inf,0.0006,2,6.43,10087.65
84,21,6.15,-0.0003,0.5,inf,0.0014,2,13.93,10101.11
85,21,2.392,-0.0006,1.0,inf,0.0005,1,5.03,10105.9
86,21,0.517,-0.0007,1.0,inf,0.0001,1,1.12,10106.79
87,21,10.702,-0.0001,1.0,inf,0.0006,4,5.87,10112.2
88,21,-0.002,-0.0011,0.5,1.031,-0.0,2,0.07,10111.87
89,21,0.498,-0.0007,0.5,1.246,0.0001,2,1.08,10112.71
90,21,-0.101,-0.0006,0.5,3.062,-0.0,2,0.08,10112.49
91,21,-1.004,-0.0008,0.0,0.0,-0.0003,1,-2.78,10109.46
92,21,1.529,-0.0003,1.0,inf,0.0002,1,2.33,10111.68
