window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,7.553,-0.0001,0.6667,14.375,0.0007,6,8.07,10007.27
2,21,5.092,-0.0006,1.0,inf,0.0013,1,12.88,10019.67
3,21,1.653,-0.0001,1.0,inf,0.0001,1,0.6,10020.19
4,21,-4.761,-0.0042,0.0,0.0,-0.0041,3,-40.58,9978.43
5,21,-2.688,-0.001,0.25,0.565,-0.0005,4,-4.19,9973.68
6,21,-3.233,-0.0018,0.375,0.513,-0.0009,8,-8.21,9964.59
7,21,0.784,-0.0002,0.6667,1.541,0.0001,3,0.94,9965.3
8,21,-4.657,-0.0002,0.5,0.225,-0.0002,4,-1.61,9963.38
9,21,0.943,-0.0004,0.5,2.35,0.0002,2,1.89,9964.84
10,21,4.037,-0.0001,0.75,19.391,0.0002,4,2.3,9966.64
11,21,-3.671,-0.0018,0.3333,0.167,-0.0013,3,-13.12,9952.93
12,21,5.504,-0.0002,0.6667,5.154,0.0006,3,5.97,9958.57
13,21,1.787,-0.0003,0.6667,4.051,0.0002,6,2.36,9960.15
14,21,-3.214,-0.0002,0.2,0.337,-0.0002,5,-1.99,9957.88
15,21,-4.83,-0.0001,0.3333,0.532,-0.0001,6,-0.57,9956.72
16,21,2.577,-0.0002,0.5,2.275,0.0003,2,2.96,9959.49
17,21,6.321,-0.0001,1.0,inf,0.0004,2,4.76,9963.93
18,21,-7.06,-0.0004,0.25,0.185,-0.0004,4,-3.36,9960.03
19,21,7.244,-0.0003,0.75,inf,0.001,4,10.36,9969.72
20,21,-4.447,-0.0011,0.0,0.0,-0.0009,4,-8.49,9960.9
21,21,-3.788,-0.001,0.25,0.521,-0.0006,12,-5.24,9955.37
22,21,3.857,-0.0002,0.75,5.294,0.0005,4,4.7,9959.93
23,21,1.287,-0.0003,0.6,1.413,0.0002,5,1.97,9961.5
24,21,2.219,-0.0004,0.5714,1.877,0.0003,7,3.16,9964.23
25,21,2.646,-0.0003,0.5,11.961,0.0004,2,3.77,9967.71
26,21,12.038,-0.0002,1.0,inf,0.0019,2,19.3,9986.44
27,21,-2.844,-0.0013,0.5,0.424,-0.0007,4,-6.91,9978.9
28,21,1.203,-0.0004,0.3333,1.53,0.0002,3,2.18,9980.62
29,21,5.053,-0.0001,0.8,7.774,0.0006,5,5.99,9986.2
30,21,2.781,-0.0004,1.0,inf,0.0005,1,4.65,9990.61
31,21,0.705,-0.001,1.0,inf,0.0003,1,3.02,9993.25
32,21,4.599,-0.0003,0.5,3.582,0.0006,4,6.18,9998.94
33,21,1.684,-0.0005,0.6667,1.73,0.0003,3,3.72,10002.14
34,21,5.285,-0.0002,0.75,5.868,0.0006,4,6.5,10008.06
35,21,-1.021,-0.0018,0.5,0.695,-0.0004,2,-3.91,10003.46
36,21,3.142,-0.0011,1.0,inf,0.0011,1,11.32,10014.26
37,21,2.832,-0.0012,1.0,inf,0.0011,1,10.59,10024.43
38,21,2.339,-0.0004,1.0,inf,0.0005,4,5.52,10028.78
39,21,-2.438,-0.0015,0.5,0.498,-0.0007,2,-6.83,10021.25
40,21,5.029,-0.0003,0.5,inf,0.001,2,9.73,10030.57
41,21,0.518,-0.0003,0.75,1.301,0.0,4,0.77,10030.82
42,21,2.351,-0.0007,0.3333,2.398,0.0007,3,7.53,10037.85
43,21,-9.484,-0.0026,0.0,0.0,-0.0026,4,-25.16,10011.68
44,21,-0.755,-0.0013,0.5,0.574,-0.0002,2,-2.05,10009.31
45,21,2.718,-0.0007,0.75,2.392,0.0006,4,5.89,10014.79
46,21,-6.477,-0.0007,0.0,0.0,-0.0006,5,-6.11,10008.35
47,21,-2.123,-0.0007,0.2,0.25,-0.0003,5,-3.03,10005.06
48,21,-2.913,-0.0004,0.3333,0.022,-0.0003,3,-2.99,10001.91
49,21,-7.576,-0.0005,0.0,0.0,-0.0005,4,-5.25,9996.38
50,21,2.252,-0.0001,0.5714,2.948,0.0001,7,1.96,9997.88
51,21,-2.342,-0.0003,0.2,0.486,-0.0002,5,-1.46,9996.09
52,21,-0.187,-0.0004,0.4,0.998,-0.0,5,-0.01,9995.81
53,21,-2.868,-0.0003,0.2,0.095,-0.0002,5,-2.14,9993.47
54,21,3.065,-0.0002,1.0,inf,0.0002,2,2.02,9995.38
55,21,-9.186,-0.0005,0.2,0.012,-0.0005,5,-4.32,9990.74
56,21,4.193,-0.0001,0.5,12.903,0.0003,2,3.6,9994.19
57,21,-1.807,-0.0004,0.5,0.325,-0.0002,2,-1.98,9992.04
58,21,0.773,-0.0002,0.5,inf,0.0,2,0.62,9992.54
59,21,1.555,-0.0001,0.6,2.754,0.0001,5,0.75,9992.98
60,21,1.388,-0.0004,0.25,1.521,0.0002,4,2.43,9994.74
61,21,-2.984,-0.0004,0.3333,0.288,-0.0002,3,-2.04,9992.35
62,21,-2.001,-0.0002,0.25,0.357,-0.0001,4,-0.66,9991.3
63,21,-6.452,-0.0007,0.25,0.102,-0.0006,4,-5.53,9985.29
64,21,-4.488,-0.0005,0.1667,0.29,-0.0004,6,-3.17,9981.52
65,21,-8.563,-0.0005,0.0,0.0,-0.0005,3,-4.81,9976.47
66,21,-0.731,-0.0002,0.8,0.988,-0.0,5,-0.02,9975.99
67,21,4.965,-0.0002,0.75,16.853,0.0007,4,7.02,9982.4
68,21,3.32,-0.0002,0.6,4.894,0.0002,5,2.5,9984.4
69,21,4.124,-0.0002,1.0,inf,0.0004,2,3.92,9988.1
70,21,-2.696,-0.0006,0.25,0.114,-0.0004,4,-3.49,9983.98
71,21,1.584,-0.0004,0.6667,8.912,0.0002,3,2.55,9986.11
72,21,5.409,-0.0001,0.75,8.688,0.0003,4,3.63,9989.2
73,21,-4.182,-0.0006,0.4,0.356,-0.0004,5,-3.87,9984.79
74,21,4.119,-0.0003,0.6667,3.57,0.0007,3,6.79,9991.23
75,21,4.985,-0.0004,1.0,inf,0.0007,1,7.42,9998.48
76,21,3.296,-0.0002,1.0,inf,0.0004,1,3.89,10002.2
77,21,5.507,-0.0004,1.0,inf,0.0008,2,8.59,10010.46
78,21,-2.859,-0.0012,0.5,0.074,-0.0009,2,-9.26,10000.76
79,21,2.696,-0.0008,1.0,inf,0.0009,1,9.05,10009.5
80,21,-3.843,-0.0012,0.0,0.0,-0.0008,2,-8.24,10000.86
81,21,-1.159,-0.001,0.5,0.517,-0.0004,2,-3.38,9997.06
82,21,3.271,-0.0005,0.75,3.712,0.0009,4,9.64,10006.37
83,21,5.617,-0.0002,1.0,inf,0.0011,2,10.79,10016.9
84,21,7.435,-0.0003,0.5,inf,0.0011,2,11.37,10027.92
85,21,1.963,-0.0009,1.0,inf,0.0005,2,5.34,10032.86
86,21,2.399,-0.0002,1.0,inf,0.0002,1,1.8,10034.56
87,21,3.1,-0.0002,0.6,4.427,0.0002,5,2.27,10036.19
88,21,-1.105,-0.0011,0.3333,0.728,-0.0003,3,-3.09,10032.36
89,21,-0.626,-0.0016,0.5,0.833,-0.0002,2,-1.91,10029.9
90,21,1.533,-0.0006,1.0,inf,0.0003,2,3.86,10033.05
91,21,-0.683,-0.0002,0.5,0.286,-0.0,2,-0.31,10032.61
92,21,0.561,-0.0004,1.0,inf,0.0001,1,0.96,10033.39
