window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,2.676,-0.0002,1.0,inf,0.0003,1,2.69,10002.62
2,21,-8.313,-0.0001,0.25,0.006,-0.0001,4,-0.37,10001.99
3,21,1.902,-0.0005,0.5,19.339,0.0004,2,4.27,10006.02
4,21,10.792,-0.0001,1.0,inf,0.0009,1,8.58,10014.43
5,21,-4.48,-0.0019,0.0,0.0,-0.0016,2,-15.76,9998.21
6,21,5.048,-0.0003,0.5,15.194,0.0009,2,9.11,10007.11
7,21,-0.815,-0.0005,0.3333,0.839,-0.0001,3,-0.49,10006.05
8,21,-1.517,-0.0007,0.5,0.393,-0.0004,2,-4.28,10001.51
9,21,0.98,-0.0003,1.0,inf,0.0001,1,1.17,10002.56
10,21,3.06,-0.0002,1.0,inf,0.0003,1,3.45,10005.92
11,21,8.534,-0.0001,1.0,inf,0.0006,2,5.81,10011.44
12,21,3.823,-0.0006,1.0,inf,0.0007,2,7.0,10018.03
13,21,3.595,-0.0006,0.3333,2.929,0.0009,3,9.49,10026.99
14,21,-3.298,-0.0012,0.25,0.262,-0.0006,4,-5.74,10020.94
15,21,-2.285,-0.001,0.4,0.569,-0.0006,10,-5.58,10015.06
16,21,0.573,-0.0003,0.5,1.294,0.0001,6,0.83,10015.73
17,21,2.615,-0.0002,0.6,6.085,0.0003,5,3.3,10018.57
18,21,8.533,-0.0003,0.6,6.111,0.0016,5,16.53,10034.33
19,21,3.717,-0.0004,0.75,3.588,0.0009,4,9.13,10042.89
20,21,6.956,-0.0008,1.0,inf,0.0019,2,19.18,10061.75
21,21,-3.751,-0.0019,0.5,0.249,-0.0013,6,-13.05,10048.13
22,21,0.469,-0.0007,0.3333,1.211,0.0001,3,1.36,10049.06
23,21,3.66,-0.0006,0.75,6.111,0.0013,4,13.11,10061.71
24,21,4.07,-0.0005,1.0,inf,0.0008,1,7.78,10069.28
25,21,1.277,-0.0008,1.0,inf,0.0006,1,5.65,10074.65
26,21,-0.977,-0.0016,0.3333,0.759,-0.0004,3,-3.23,10070.78
27,21,-0.28,-0.0007,0.3333,0.921,-0.0001,3,-0.48,10069.88
28,21,3.569,-0.0003,1.0,inf,0.0005,2,4.95,10074.59
29,21,-1.616,-0.0014,0.75,0.432,-0.0005,4,-4.49,10069.46
30,21,6.938,-0.0003,0.5,inf,0.0018,2,18.39,10087.35
31,21,3.762,-0.0007,1.0,inf,0.001,1,9.75,10096.8
32,21,2.849,-0.0005,1.0,inf,0.0005,1,5.41,10101.96
33,21,-2.91,-0.0012,0.5,0.341,-0.0007,2,-6.79,10094.62
34,21,4.909,-0.0003,1.0,inf,0.0009,1,8.62,10103.08
35,21,4.13,-0.0005,1.0,inf,0.0007,1,7.5,10110.38
36,21,2.589,-0.0003,0.6,3.677,0.0005,5,5.75,10115.58
37,21,-9.663,-0.0027,0.0,0.0,-0.0027,4,-26.8,10088.08
38,21,-1.527,-0.0008,0.4,0.721,-0.0003,5,-2.37,10085.34
39,21,1.967,-0.001,0.7143,1.593,0.0006,7,7.0,10091.58
40,21,-6.344,-0.0016,0.0,0.0,-0.0016,4,-15.34,10075.82
41,21,-1.89,-0.0009,0.3333,0.329,-0.0004,3,-3.5,10072.16
42,21,-0.529,-0.0005,0.4286,0.889,-0.0001,7,-0.46,10071.43
43,21,1.968,-0.0002,0.25,2.087,0.0002,4,2.04,10073.28
44,21,-4.561,-0.0004,0.25,0.11,-0.0004,4,-4.16,10068.95
45,21,-5.106,-0.0008,0.4,0.14,-0.0007,5,-6.48,10062.13
46,21,2.108,-0.0003,0.6,1.837,0.0002,5,2.05,10063.98
47,21,-2.445,-0.0003,0.5,0.376,-0.0002,4,-1.64,10062.24
48,21,-0.751,-0.0001,0.5,0.94,-0.0,6,-0.05,10062.01
49,21,3.861,-0.0001,0.5,3.24,0.0002,4,2.13,10063.99
50,21,4.141,-0.0003,0.5,29.976,0.0005,2,5.5,10069.37
51,21,5.025,-0.0001,0.75,5.012,0.0003,4,3.15,10072.32
52,21,1.277,-0.0002,0.5,4.524,0.0001,2,1.03,10073.25
53,21,3.019,-0.0001,0.75,inf,0.0002,4,1.94,10074.9
54,21,-3.932,-0.0002,0.25,0.055,-0.0002,4,-1.51,10073.2
55,21,3.15,-0.0002,0.5,3.382,0.0003,4,3.03,10075.95
56,21,-1.343,-0.0005,0.3333,0.564,-0.0002,3,-1.7,10073.95
57,21,-0.226,-0.0001,0.6,1.133,-0.0,5,0.17,10073.84
58,21,-3.37,-0.0002,0.0,0.0,-0.0002,4,-1.77,10071.86
59,21,3.912,-0.0001,0.5,3.854,0.0003,4,3.04,10074.63
60,21,-2.216,-0.0004,0.5,0.54,-0.0002,4,-1.49,10072.76
61,21,5.698,-0.0002,0.6667,5.764,0.0007,3,7.04,10079.48
62,21,5.767,-0.0003,0.6667,inf,0.001,3,10.56,10089.53
63,21,2.073,-0.0003,0.5,28.165,0.0002,2,2.71,10091.98
64,21,-3.198,-0.0008,0.3333,0.185,-0.0005,3,-4.6,10087.1
65,21,3.719,-0.0002,0.6,2.561,0.0003,5,3.02,10089.59
66,21,4.765,-0.0002,0.6667,10.717,0.0004,3,4.01,10093.2
67,21,-1.034,-0.0009,0.5,0.642,-0.0002,4,-2.08,10090.65
68,21,-3.707,-0.0004,0.2857,0.335,-0.0004,7,-3.49,10086.81
69,21,1.936,-0.0003,0.2,3.586,0.0002,5,2.67,10089.07
70,21,-0.804,-0.0003,0.6,0.837,-0.0001,5,-0.3,10088.15
71,21,3.803,-0.0006,0.6667,2.595,0.0009,3,9.12,10096.69
72,21,-0.717,-0.0009,0.6667,0.716,-0.0002,3,-1.76,10094.36
73,21,2.925,-0.0005,0.5,9.295,0.0005,2,5.4,10099.57
74,21,-3.097,-0.0011,0.25,0.335,-0.0007,4,-7.0,10091.98
75,21,-1.307,-0.001,0.5,0.253,-0.0005,2,-5.17,10086.4
76,21,3.273,-0.0004,0.75,4.599,0.0009,4,9.57,10095.73
77,21,6.493,-0.0001,1.0,inf,0.0008,2,7.88,10103.46
78,21,6.169,-0.0004,0.5,inf,0.0016,2,16.16,10119.13
79,21,2.322,-0.0004,1.0,inf,0.0003,2,3.14,10121.92
80,21,0.517,-0.0004,1.0,inf,0.0001,1,0.7,10122.48
81,21,10.765,-0.0001,0.6667,15.503,0.0008,3,8.35,10130.35
82,21,0.402,-0.0007,0.5,1.504,0.0001,2,1.05,10131.13
83,21,4.534,-0.0004,0.5,3.586,0.0007,4,7.63,10138.32
84,21,-0.027,-0.0007,0.5,1.035,-0.0,2,0.19,10138.12
85,21,-1.004,-0.0006,0.0,0.0,-0.0002,1,-2.18,10135.74
86,21,1.529,-0.0003,1.0,inf,0.0003,1,2.72,10138.32
