window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,5.701,-0.0003,1.0,inf,0.0011,1,10.54,10010.32
2,21,4.985,-0.0003,1.0,inf,0.0006,2,6.03,10016.02
3,21,-0.53,-0.0005,0.5,0.88,-0.0001,2,-0.6,10014.99
4,21,-4.854,-0.0041,0.0,0.0,-0.0041,4,-40.04,9973.67
5,21,-0.84,-0.0007,0.3333,0.75,-0.0002,3,-1.4,9971.93
6,21,0.95,-0.0007,0.8,1.516,0.0002,5,2.34,9973.83
7,21,1.704,-0.0002,0.5,2.351,0.0002,2,2.41,9976.08
8,21,0.0,0.0,0.0,inf,0.0,0,0.0,9976.08
9,21,5.887,-0.0001,0.5,8.579,0.0004,4,4.77,9980.11
10,21,7.59,-0.0001,0.6667,inf,0.001,3,10.74,9990.11
11,21,-4.913,-0.0011,0.1667,0.326,-0.0011,6,-10.04,9979.08
12,21,2.451,-0.0002,1.0,inf,0.0003,3,3.03,9981.73
13,21,0.856,-0.0003,0.6667,1.457,0.0001,3,1.43,9982.56
14,21,-2.702,-0.0004,0.25,0.34,-0.0003,4,-2.59,9979.65
15,21,-1.125,-0.0005,0.3333,0.626,-0.0002,3,-1.29,9977.95
16,21,3.261,-0.0004,0.6667,5.579,0.0005,3,5.51,9982.91
17,21,5.563,-0.0,1.0,inf,0.0003,4,3.52,9985.57
18,21,-3.642,-0.0001,0.0,0.0,-0.0001,1,-0.97,9984.42
19,21,7.424,-0.0002,1.0,inf,0.0011,2,11.58,9995.58
20,21,-5.48,-0.0022,0.4,0.115,-0.0022,5,-20.99,9973.8
21,21,0.911,-0.0003,0.5,1.248,0.0002,10,1.98,9975.48
22,21,4.824,-0.0,1.0,inf,0.0002,2,1.87,9977.24
23,21,4.81,-0.0,0.75,inf,0.0003,4,3.29,9980.0
24,21,3.488,-0.0006,0.8,3.782,0.0009,5,9.76,9988.78
25,21,1.724,-0.0005,0.8333,2.078,0.0004,6,4.64,9992.57
26,21,7.369,-0.0008,1.0,inf,0.0021,2,20.93,10013.14
27,21,-2.344,-0.0019,0.6667,0.507,-0.001,6,-9.25,10003.09
28,21,1.871,-0.0007,0.5,1.749,0.0005,4,5.34,10007.79
29,21,0.959,-0.0006,0.8,2.006,0.0002,5,2.52,10009.77
30,21,4.07,-0.0004,1.0,inf,0.0007,1,7.03,10016.61
31,21,1.943,-0.0007,0.5,4.935,0.0008,2,8.12,10024.33
32,21,-0.177,-0.0009,0.6667,0.993,-0.0,3,-0.04,10023.78
33,21,0.655,-0.001,0.625,1.295,0.0002,8,3.15,10025.79
34,21,6.925,-0.0003,0.75,11.887,0.0014,4,14.67,10039.7
35,21,-1.629,-0.0019,0.6,0.701,-0.0006,5,-5.6,10032.86
36,21,6.926,-0.0003,0.5,inf,0.0016,2,16.12,10048.49
37,21,3.795,-0.0003,1.0,inf,0.0004,2,4.54,10052.67
